
[00:00:00.000 --> 00:00:04.920]  我們今天會講以塞雅書第六十章
[00:00:04.920 --> 00:00:07.320]  以塞雅書大家聽過了
[00:00:07.320 --> 00:00:09.680]  看不看得完
[00:00:09.680 --> 00:00:10.560]  看得完吧
[00:00:10.560 --> 00:00:12.760]  有多少卷書
[00:00:12.760 --> 00:00:14.080]  六十六卷
[00:00:14.080 --> 00:00:17.400]  我一定會記得的 因為我姓陸的
[00:00:17.400 --> 00:00:19.160]  比我還多一個陸字
[00:00:19.160 --> 00:00:20.320]  六十六卷
[00:00:20.320 --> 00:00:21.640]  那
[00:00:21.640 --> 00:00:23.080]  就
[00:00:23.080 --> 00:00:25.440]  那六十章
[00:00:25.440 --> 00:00:28.320]  我們很少講以塞雅書的 是不是
[00:00:28.320 --> 00:00:29.320]  是不是
[00:00:29.320 --> 00:00:31.320]  所以回到你心水清會問一問
[00:00:31.320 --> 00:00:36.160]  為什麼選《聖經》的人會選以塞雅書第六十章來說呢
[00:00:36.160 --> 00:00:38.640]  那一定是有它的原因的
[00:00:38.640 --> 00:00:42.080]  以塞雅這個人是先知
[00:00:42.080 --> 00:00:44.280]  叫做一個傳道的先知
[00:00:44.280 --> 00:00:46.600]  因為整卷先知書都瀰漫著
[00:00:46.600 --> 00:00:48.600]  不斷講這個尼塞雅
[00:00:48.600 --> 00:00:51.280]  然後呼召以色列民和全世界的人
[00:00:51.280 --> 00:00:53.120]  是要歸鄉去的
[00:00:53.120 --> 00:00:54.560]  那這位先知
[00:00:54.560 --> 00:00:56.400]  他的功齡也很長
[00:00:56.400 --> 00:00:58.320]  他最少做了五十三年
[00:00:58.320 --> 00:01:00.320]  算不算功齡長
[00:01:00.320 --> 00:01:01.480]  也算吧
[00:01:01.480 --> 00:01:04.200]  五十三年也算很長的了
[00:01:04.200 --> 00:01:06.320]  那以塞雅書有六十六卷
[00:01:06.320 --> 00:01:07.840]  不是 六十六章
[00:01:07.840 --> 00:01:10.560]  那分開三大段的
[00:01:10.560 --> 00:01:12.360]  一到三十九章
[00:01:12.360 --> 00:01:14.240]  就是講大概
[00:01:14.240 --> 00:01:15.280]  講就是
[00:01:15.280 --> 00:01:19.880]  以色列民 猶太 猶大 以色列民的百姓是很反叛的
[00:01:19.880 --> 00:01:21.080]  神的審判
[00:01:21.080 --> 00:01:25.160]  然後就預言猶大和以色列國
[00:01:25.160 --> 00:01:27.840]  都會滅亡 都會被擄
