
[00:00:00.000 --> 00:00:05.840]  這個題目大家看到是"疾住盲島"
[00:00:05.840 --> 00:00:08.320]  其實這個英文翻譯是我翻譯的
[00:00:08.320 --> 00:00:09.760]  叫做"Judgmental"
[00:00:09.760 --> 00:00:12.920]  "疾住盲島"
[00:00:12.920 --> 00:00:15.200]  "Judgmental"
[00:00:15.200 --> 00:00:20.800]  就是一個社會、一個國家、一個文化
[00:00:20.800 --> 00:00:24.680]  如果是流行著這個"Judgmental"的文化
[00:00:24.680 --> 00:00:29.120]  是一個所謂分裂或者撕裂的文化
[00:00:29.120 --> 00:00:30.720]  這段經文我們是很熟悉的
[00:00:30.720 --> 00:00:36.360]  我們會問為什麼上帝創造要擺一棵分別善惡樹
[00:00:36.360 --> 00:00:38.320]  在我們始祖當中
[00:00:38.320 --> 00:00:40.320]  其實當我們讀這段經文的時候
[00:00:40.320 --> 00:00:42.400]  發現上帝是很恩待人的
[00:00:42.400 --> 00:00:45.000]  河流四處都有代表什麼?
[00:00:45.000 --> 00:00:46.960]  神的豐盛的恩典
[00:00:46.960 --> 00:00:50.960]  耶穌基督說我的恩典好像江河流域一樣
[00:00:50.960 --> 00:00:53.000]  樹木是象徵性的
[00:00:53.000 --> 00:00:54.160]  河流也是象徵性的
[00:00:54.160 --> 00:00:57.360]  代表上帝的豐盛一切都是給過人
[00:00:57.360 --> 00:00:59.200]  有金子四道河
[00:00:59.200 --> 00:01:02.520]  而且裡面記得有生命樹是可以吃的
[00:01:02.520 --> 00:01:04.800]  所有的樹隨意可以吃
[00:01:04.800 --> 00:01:06.160]  只是有一棵
[00:01:06.160 --> 00:01:10.840]  這一棵不是一些很怪、很苦澀或者很難看的樹
[00:01:10.840 --> 00:01:16.800]  那是一個指示牌
[00:01:16.800 --> 00:01:18.280]  我們作為人
[00:01:18.280 --> 00:01:22.120]  我們必須要聽從神的命令來過活
[00:01:22.120 --> 00:01:26.520]  這樣我們的生命就有上帝的形象了
[00:01:26.520 --> 00:01:29.360]  就是說當亞當夏娃走過原子
[00:01:29.360 --> 00:01:31.880]  看到不是那棵樹有什麼特別
[00:01:31.880 --> 00:01:34.440]  是樹背後所象徵的
[00:01:34.440 --> 00:01:36.040]  神是我們的主
[00:01:36.040 --> 00:01:38.640]  我們要聽祂的話
[00:01:38.640 --> 00:01:41.040]  這個是最重要的
[00:01:41.040 --> 00:01:46.440]  當然魔鬼最厲害的地方就是挑戰人的本位
[00:01:46.440 --> 00:01:48.440]  你既是神所做的
[00:01:48.440 --> 00:01:51.080]  好像耶穌基督在抗夜
[00:01:51.080 --> 00:01:52.480]  你既是神的兒子
[00:01:52.480 --> 00:01:54.600]  這個挑戰祂的本位
[00:01:54.600 --> 00:01:56.000]  你有這個權柄的
[00:01:56.000 --> 00:01:57.200]  你有這個權力的
[00:01:57.200 --> 00:01:59.280]  為什麼你不吃這棵樹呢?
[00:01:59.280 --> 00:02:00.760]  上帝是說謊的
[00:02:00.760 --> 00:02:02.720]  你吃的時候你知道一切的
[00:02:02.720 --> 00:02:05.600]  所以分別善惡不是等於
[00:02:05.600 --> 00:02:10.600]  分別善惡不是等於我們有道德的分別能力
[00:02:10.600 --> 00:02:12.400]  或者能知過去未來
[00:02:12.400 --> 00:02:15.000]  這個字原文就叫Yada
[00:02:15.000 --> 00:02:17.160]  Yada就是斬
[00:02:17.160 --> 00:02:18.760]  斬,cut
[00:02:18.760 --> 00:02:20.120]  就是很決斷的
[00:02:20.120 --> 00:02:22.960]  我知道這樣是那樣,那樣是那樣
[00:02:22.960 --> 00:02:27.640]  或者Yada的意思就是知道明白
[00:02:27.640 --> 00:02:29.920]  天地要有水分開
[00:02:29.920 --> 00:02:33.360]  所以上帝說天地的水要分開
[00:02:33.360 --> 00:02:36.120]  是就這樣行了,這個叫Yada
[00:02:36.120 --> 00:02:38.160]  我說有光就是有光
[00:02:38.160 --> 00:02:39.640]  就是很決斷的
[00:02:39.640 --> 00:02:41.000]  有光,光就出來了
[00:02:41.000 --> 00:02:41.880]  就是很厲害的
[00:02:41.880 --> 00:02:43.120]  這個叫Yada
[00:02:43.120 --> 00:02:46.160]  這個叫判斷,絕對的判斷
[00:02:46.160 --> 00:02:49.240]  那人獨居不好,是我看你獨居不好
[00:02:49.240 --> 00:02:50.840]  所以我為你預備一個配偶
[00:02:50.840 --> 00:02:53.120]  這個是絕對的判斷
[00:02:53.120 --> 00:02:55.760]  所以第三章二十二節
[00:02:55.760 --> 00:02:58.120]  當人吃了禁果的時候
[00:02:58.120 --> 00:02:59.840]  上帝耶和華就說
[00:02:59.840 --> 00:03:03.000]  那人已經與我們相似
[00:03:03.000 --> 00:03:05.240]  不是像樣貌,不是像什麼
[00:03:05.240 --> 00:03:08.240]  是像那個獨斷的能力
[00:03:08.240 --> 00:03:10.960]  大家知道人都很想做上帝
[00:03:10.960 --> 00:03:14.520]  這個就是所謂罪惡的文化
[00:03:14.520 --> 00:03:17.640]  很多人問罪惡是怎麼遺傳的
[00:03:17.640 --> 00:03:20.200]  大概我們都很難明白這個奧秘
[00:03:20.200 --> 00:03:23.880]  有些人說你的DNA有罪惡
[00:03:23.880 --> 00:03:26.760]  但我相信聖經有些說話告訴我們
[00:03:26.760 --> 00:03:29.400]  罪惡的產生就是因為人
[00:03:29.400 --> 00:03:31.200]  Judgmental
[00:03:31.200 --> 00:03:32.320]  什麼叫Judgmental
[00:03:32.320 --> 00:03:35.800]  上帝是你錯,不是我錯
[00:03:35.800 --> 00:03:37.520]  上帝是你錯,不是我錯
[00:03:37.520 --> 00:03:40.600]  這個就是罪惡的開始
[00:03:40.600 --> 00:03:41.920]  吃的日子
[00:03:41.920 --> 00:03:44.240]  撒旦說眼光就明亮
[00:03:44.240 --> 00:03:45.800]  就好像神
[00:03:45.800 --> 00:03:46.920]  你很清楚的
[00:03:46.920 --> 00:03:48.760]  好像神什麼
[00:03:48.760 --> 00:03:51.920]  能絕對判斷
[00:03:51.920 --> 00:03:55.360]  我們今天不是鼓勵我們沒有判斷力
[00:03:55.360 --> 00:03:56.680]  不是鼓勵你沒有判斷力
[00:03:56.680 --> 00:03:57.680]  什麼都不想
[00:03:57.680 --> 00:03:59.680]  什麼都不去思考
[00:03:59.680 --> 00:04:01.360]  做一個判斷
[00:04:01.360 --> 00:04:06.280]  我們要自知我們不能像上帝一樣
[00:04:06.280 --> 00:04:08.600]  有絕對的智慧能力
[00:04:08.600 --> 00:04:11.440]  去判斷一件事和做一件事
