
[00:00:00.000 --> 00:00:06.200]  亞述在722的時候將這個綠色的地方叫做北角
[00:00:06.200 --> 00:00:08.800]  因為以色列那時候分南和北
[00:00:08.800 --> 00:00:10.300]  北角叫以色列角
[00:00:10.300 --> 00:00:12.000]  就滅了
[00:00:12.000 --> 00:00:13.700]  好了,你想想
[00:00:13.700 --> 00:00:17.800]  即是你現在擺個火在這裡燒一燒個頭,怎麼樣?
[00:00:17.800 --> 00:00:19.100]  生氣的嘛
[00:00:19.100 --> 00:00:23.600]  因為北角和南角是沒有分的
[00:00:23.600 --> 00:00:26.400]  只有條線,條線是沒有形的
[00:00:26.400 --> 00:00:30.700]  所以當北角被亞述滅了的時候
[00:00:30.700 --> 00:00:36.300]  很多大軍隊準備下來粉紅色南角
[00:00:36.300 --> 00:00:37.500]  那南角又怎樣?
[00:00:37.500 --> 00:00:39.200]  就好像這個題目
[00:00:39.200 --> 00:00:42.500]  嘩!很害怕,怎麼辦?
[00:00:42.500 --> 00:00:45.100]  因為已經大軍壓境了
[00:00:45.100 --> 00:00:47.600]  就好像你快要考試
[00:00:47.600 --> 00:00:49.100]  一點功課都沒有做完
[00:00:49.100 --> 00:00:50.300]  一點都沒有掌握
[00:00:50.300 --> 00:00:51.300]  那時候又怎樣?
[00:00:51.300 --> 00:00:53.000]  嘩!怎麼辦?
[00:00:53.000 --> 00:00:55.700]  不過你們不害怕,照教吧
[00:00:55.700 --> 00:00:57.700]  不過當時真的很害怕
[00:00:57.700 --> 00:01:01.100]  好了,那就來了
[00:01:01.100 --> 00:01:03.400]  很害怕的時候,怎樣呢?
[00:01:03.400 --> 00:01:04.600]  你想想當時
[00:01:04.600 --> 00:01:06.800]  當時有個皇帝叫做希西加
[00:01:06.800 --> 00:01:08.200]  那他怎樣呢?
[00:01:08.200 --> 00:01:09.600]  我們看一段經文
[00:01:09.600 --> 00:01:11.700]  看看他有些什麼反應
[00:01:11.700 --> 00:01:13.900]  又看看上帝對他的反應是怎樣
[00:01:13.900 --> 00:01:15.000]  好嗎?我們一起讀
[00:01:15.000 --> 00:01:17.500]  好,預備來
[00:01:17.500 --> 00:01:19.300]  下一章
[00:01:19.300 --> 00:01:21.800]  好,要看書三十章了
[00:01:21.800 --> 00:01:24.800]  看當時很多兵壓境的時候
[00:01:24.800 --> 00:01:26.800]  這個粉紅色的
[00:01:26.800 --> 00:01:27.500]  就在這裏
[00:01:27.500 --> 00:01:29.900]  如果你看到這裏就看到了
[00:01:29.900 --> 00:01:31.600]  這個粉紅色的地方
[00:01:31.600 --> 00:01:32.300]  那些人怎樣呢?
[00:01:32.300 --> 00:01:33.800]  好,我們看一看
[00:01:33.800 --> 00:01:34.800]  由三十章一節
[00:01:34.800 --> 00:01:36.600]  好,我們讀到第三節
[00:01:36.600 --> 00:01:37.400]  然後繼續
[00:01:37.400 --> 00:01:38.900]  1,2,3
[00:01:38.900 --> 00:01:40.300]  「也話說
[00:01:40.300 --> 00:01:43.700]  和在這博奕的兒女
[00:01:43.700 --> 00:01:46.900]  他們同謀卻不由於我
[00:01:46.900 --> 00:01:49.700]  結盟卻不由於我的靈
[00:01:49.700 --> 00:01:52.300]  以至罪上加罪
[00:01:52.300 --> 00:01:54.200]  起身下埃及去
[00:01:54.200 --> 00:01:56.600]  並沒有求民我
[00:01:56.600 --> 00:01:58.700]  要靠法老的力量
[00:01:58.700 --> 00:02:00.800]  加添自己的力量
[00:02:00.800 --> 00:02:03.500]  並投在埃及的任下
[00:02:03.500 --> 00:02:05.900]  所以法老的力量
[00:02:05.900 --> 00:02:08.200]  必作你們的羞辱
[00:02:08.200 --> 00:02:10.200]  投在埃及的任下
[00:02:10.200 --> 00:02:12.500]  要為你們的羞愧」
[00:02:12.500 --> 00:02:14.400]  好,這裏說
[00:02:14.400 --> 00:02:16.200]  大警壓軍很害怕,是嗎?
[00:02:16.200 --> 00:02:17.500]  他就找人求救
[00:02:17.500 --> 00:02:19.200]  找什麼求救?
[00:02:19.200 --> 00:02:20.800]  找埃及求救,是嗎?
[00:02:20.800 --> 00:02:22.200]  好了,然後
[00:02:22.200 --> 00:02:23.400]  當他求救的時候
[00:02:23.400 --> 00:02:25.000]  上帝喜不喜歡他?
[00:02:25.000 --> 00:02:26.100]  我們看一看
[00:02:26.100 --> 00:02:28.200]  下一張PowerPoint
[00:02:28.200 --> 00:02:29.900]  好,1,2,3來
[00:02:29.900 --> 00:02:32.300]  「主耶和華以色列的聖者
[00:02:32.300 --> 00:02:33.900]  曾移處說
[00:02:33.900 --> 00:02:37.900]  你們得救在乎歸回安息
[00:02:37.900 --> 00:02:40.300]  你們得力在乎平靜」
[00:02:40.300 --> 00:02:41.000]  他們肯不肯?
[00:02:41.000 --> 00:02:42.400]  1,2,3
[00:02:42.400 --> 00:02:45.100]  「你們竟自不肯」
[00:02:45.100 --> 00:02:47.100]  原來上帝說你這樣做
[00:02:47.100 --> 00:02:48.900]  不是很好
[00:02:48.900 --> 00:02:49.900]  你回來吧
[00:02:49.900 --> 00:02:50.700]  那他們肯不肯?
[00:02:50.700 --> 00:02:51.500]  他們不肯
