
[00:00:00.000 --> 00:00:03.020]  今天要分享的講道題目叫做
[00:00:03.020 --> 00:00:04.620]  「靈的突破」
[00:00:04.620 --> 00:00:06.080]  「聖靈的靈」
[00:00:06.080 --> 00:00:07.280]  「靈的突破」
[00:00:07.280 --> 00:00:10.240]  很想和你透過《約翰福音》去反省一下
[00:00:10.240 --> 00:00:12.140]  到底聖靈是什麼呢?
[00:00:12.140 --> 00:00:14.340]  聖靈的工作是怎樣呢?
[00:00:14.340 --> 00:00:17.280]  聖靈和我們的關係是怎樣呢?
[00:00:17.280 --> 00:00:19.080]  因為我自己在讀的時候
[00:00:19.080 --> 00:00:21.340]  我發覺有很多新的提醒
[00:00:21.340 --> 00:00:22.280]  對我自己
[00:00:22.280 --> 00:00:25.160]  所以我叫這個做「靈的突破」
[00:00:25.160 --> 00:00:28.480]  我希望你也找到一些突破的地方
[00:00:28.480 --> 00:00:30.780]  今天你看經文好像很長
[00:00:30.780 --> 00:00:32.240]  十四至十六章
[00:00:32.240 --> 00:00:34.300]  因為在整段經文裡面
[00:00:34.300 --> 00:00:36.460]  不停有幾處提到
[00:00:36.460 --> 00:00:38.860]  到底聖靈是怎樣
[00:00:38.860 --> 00:00:41.160]  我不會讀完這三章的聖經
[00:00:41.160 --> 00:00:43.920]  我只是選了裡面的四個段落
[00:00:43.920 --> 00:00:45.300]  和大家分享
[00:00:45.300 --> 00:00:48.200]  不過如果熟悉我的影子妹都知道
[00:00:48.200 --> 00:00:49.760]  其實我讀經是有困難的
[00:00:49.760 --> 00:00:51.680]  我每次都會發抖
[00:00:51.680 --> 00:00:53.460]  還會搞亂你們
[00:00:53.460 --> 00:00:57.200]  所以我邀請你們幫我讀完這些經文
[00:00:57.200 --> 00:01:01.920]  首先想請姐妹幫我讀《約翰福音》
[00:01:01.920 --> 00:01:03.920]  十四章十六、十七節
[00:01:03.920 --> 00:01:05.600]  預備 1、2、3
[00:01:28.200 --> 00:01:32.440]  這段經文正正是耶穌說我要走了
[00:01:32.440 --> 00:01:35.240]  不過我走原本是為你們好的
[00:01:35.240 --> 00:01:37.100]  因為我不走聖靈不來
[00:01:37.100 --> 00:01:40.320]  聖靈來祂的同在是直到永遠
[00:01:40.320 --> 00:01:42.060]  祂不單止要同在
[00:01:42.060 --> 00:01:43.860]  祂還要住在哪裡?
[00:01:43.860 --> 00:01:45.240]  你們裡面
[00:01:45.240 --> 00:01:48.040]  這是一個很大很大很重要的英許
[00:01:48.040 --> 00:01:49.960]  第二段經文請弟兄
[00:01:49.960 --> 00:01:51.720]  預備 1、2、3
[00:01:57.200 --> 00:01:59.560]  所有猜測的聖靈
[00:01:59.560 --> 00:02:02.640]  猜要把一切的私交給你們
[00:02:02.640 --> 00:02:07.620]  並且要知你們想要我對你們所說的一切話
[00:02:07.620 --> 00:02:10.000]  可能說不可能交給你們
[00:02:10.000 --> 00:02:12.720]  可能說不可能私交給你們
[00:02:12.720 --> 00:02:14.600]  我所私交給你們的
[00:02:14.600 --> 00:02:16.600]  是對世人所知的
[00:02:16.600 --> 00:02:18.960]  你們心裡的這種憂愁
[00:02:18.960 --> 00:02:20.720]  猜要把它給你們
[00:02:20.720 --> 00:02:22.320]  這段經文也很簡單
[00:02:22.320 --> 00:02:24.280]  他說了聖靈來其中一個目的
[00:02:24.280 --> 00:02:26.720]  就是成為真理的靈
[00:02:26.720 --> 00:02:29.280]  要教導我們真理
[00:02:29.280 --> 00:02:31.880]  要我們想起耶穌基督的說話
[00:02:31.880 --> 00:02:36.200]  從此而來的就是祂給我們一個與別不同的平安
[00:02:36.200 --> 00:02:38.560]  這是我今天說到其中一個重點
[00:02:38.560 --> 00:02:40.400]  我稍後會解釋多一點
[00:02:40.400 --> 00:02:44.800]  第三段經文在《約翰福音》十五章二十六、二十七節
[00:02:44.800 --> 00:02:46.320]  這麼短 讓我讀
[00:02:46.320 --> 00:02:49.040]  「但我要從父那裡猜保衛斯來
[00:02:49.040 --> 00:02:51.840]  就是從父出來那真理的靈
[00:02:51.840 --> 00:02:56.880]  他來的時候要為我(耶穌基督)作見證
[00:02:56.880 --> 00:02:58.600]  你們也要作見證
[00:02:58.600 --> 00:03:02.240]  因為你們從起初就與我同在」
[00:03:02.240 --> 00:03:04.680]  最後一段經文在《約翰福音》第十六章
[00:03:04.680 --> 00:03:05.720]  經文比較長
[00:03:05.720 --> 00:03:07.680]  請弟兄姊妹同聲頌讀
[00:03:07.680 --> 00:03:09.080]  預備 一二三
[00:03:21.840 --> 00:03:28.600]  「下落的時候 要為罪 為義 為參觀 指定罪人
[00:03:28.600 --> 00:03:31.560]  為罪 指定貪污 不信可
[00:03:31.560 --> 00:03:34.720]  為義 指定惡毒 不怕虐待
[00:03:34.720 --> 00:03:37.040]  請門將來再見到我
[00:03:37.040 --> 00:03:42.600]  為參觀 指定對世界的同義 以後要參觀」
[00:03:42.600 --> 00:03:44.080]  好 我讀了
[00:03:44.080 --> 00:03:45.200]  下半段是這樣的
[00:03:45.200 --> 00:03:47.440]  「我還有好些事要告訴你們
[00:03:47.440 --> 00:03:50.320]  但你們現在擔當不了
[00:03:50.320 --> 00:03:52.480]  但真理的靈來的時候
[00:03:52.480 --> 00:03:55.600]  要引導你們進入一切的真理
[00:03:55.600 --> 00:03:58.560]  因為祂不是憑著自己說的
[00:03:58.560 --> 00:04:01.640]  而是把祂所聽見的都說出來
[00:04:01.640 --> 00:04:05.120]  並且把將要來的事向你們傳達
[00:04:05.120 --> 00:04:07.080]  祂要榮耀我
[00:04:07.080 --> 00:04:15.520]  因為祂要把我從我領受的向你們傳達
[00:04:15.520 --> 00:04:19.120]  凡負所有的都是我的
[00:04:19.120 --> 00:04:23.520]  所以我說 祂要把從我領受的向你們傳達」
[00:04:23.520 --> 00:04:25.280]  經文已經讀完了
[00:04:25.280 --> 00:04:27.000]  大家為電腦祈禱
[00:04:27.000 --> 00:04:28.600]  因為昨天已經說了兩次
[00:04:28.600 --> 00:04:30.280]  今天不知道會不會再說
[00:04:30.280 --> 00:04:32.040]  好 問題就是
[00:04:32.040 --> 00:04:33.600]  讀完四段的聖經
[00:04:33.600 --> 00:04:38.040]  到底《養何福音講聖靈》是怎樣的
[00:04:38.040 --> 00:04:39.920]  名字是甚麼
[00:04:39.920 --> 00:04:40.680]  保衛司
[00:04:40.680 --> 00:04:42.880]  每一個信徒都知道
[00:04:42.880 --> 00:04:45.240]  但保衛司是甚麼
