
[00:00:00.000 --> 00:00:03.680]  請點贊訂閱轉發打賞支持明鏡與點點欄目
[00:00:03.680 --> 00:00:05.320]  各位領袖們平安
[00:00:05.320 --> 00:00:07.800]  在我背後有一塊黑雲
[00:00:07.800 --> 00:00:09.360]  好像遮住了
[00:00:09.360 --> 00:00:11.680]  原來黑雲很快會過
[00:00:11.680 --> 00:00:14.720]  因為現在在鏡頭看不到
[00:00:14.720 --> 00:00:18.880]  原來背後是很多藍天在
[00:00:18.880 --> 00:00:20.280]  我們的人生
[00:00:20.280 --> 00:00:23.080]  有時候好像有些黑雲遮住了
[00:00:23.080 --> 00:00:25.000]  但是讓我們放心
[00:00:25.000 --> 00:00:27.400]  很快天氣就會放晴
[00:00:27.400 --> 00:00:31.360]  有美麗的陽光照著我們
[00:00:31.360 --> 00:00:33.080]  原來我們的人生
[00:00:33.080 --> 00:00:36.240]  從出生到我們離開這個世界
[00:00:36.240 --> 00:00:38.920]  全部在天父的旨意
[00:00:38.920 --> 00:00:40.800]  天父安排當中
[00:00:40.800 --> 00:00:42.960]  我在媽媽的肚子裡
[00:00:42.960 --> 00:00:44.240]  都還沒出生
[00:00:44.240 --> 00:00:46.320]  天父已經知道我
[00:00:46.320 --> 00:00:48.360]  而且他為我的人生
[00:00:48.360 --> 00:00:50.560]  有很好的編排
[00:00:50.560 --> 00:00:53.200]  至於我什麼時候離開這個世界
[00:00:53.200 --> 00:00:54.880]  回到天父那裡
[00:00:54.880 --> 00:00:57.200]  也是天父全部知道
[00:00:57.200 --> 00:00:58.880]  聖經告訴我們
[00:00:58.880 --> 00:01:01.040]  連我頭上的頭髮
[00:01:01.040 --> 00:01:02.200]  他也數過
[00:01:02.200 --> 00:01:04.120]  當然我這麼少頭髮
[00:01:04.120 --> 00:01:05.520]  天父很容易數
[00:01:05.520 --> 00:01:08.000]  有些人特別是女士
[00:01:08.000 --> 00:01:09.240]  頭髮很長
[00:01:09.240 --> 00:01:11.160]  天父真的要數很久
