
[00:00:00.000 --> 00:00:04.360]  感謝神,各位是一個健康的身心靈魂
[00:00:04.360 --> 00:00:07.180]  一起來敬拜主
[00:00:07.180 --> 00:00:14.140]  當我們遇到憂慮和苦難的時候
[00:00:14.140 --> 00:00:19.200]  都希望能夠得到安慰和救助
[00:00:19.200 --> 00:00:22.520]  知道自己無能為力
[00:00:22.520 --> 00:00:27.140]  自然就盼望得到神的眷顧
[00:00:29.700 --> 00:00:31.740]  求神藉著今天的訊息
[00:00:31.740 --> 00:00:35.080]  幫助我們更加深入
[00:00:35.080 --> 00:00:36.100]  認識
[00:00:36.100 --> 00:00:38.160]  祂的智慧
[00:00:38.160 --> 00:00:40.720]  和祂的大能
[00:00:40.720 --> 00:00:45.320]  天父必看顧祢
[00:00:45.320 --> 00:00:47.620]  是今天的講題
[00:00:47.620 --> 00:00:55.820]  很多人都希望有一個安穩而且高貴的生命
[00:00:56.580 --> 00:01:01.440]  好像浮在水上生長的荷花一樣
[00:01:01.440 --> 00:01:08.860]  生之動人出於泥而不染
[00:01:08.860 --> 00:01:12.200]  所以很多社會民族
[00:01:12.200 --> 00:01:17.820]  民間信仰都用荷花來作為他們的標誌
[00:01:17.820 --> 00:01:20.380]  可惜
[00:01:20.380 --> 00:01:22.940]  野火時時燒起
[00:01:22.940 --> 00:01:26.020]  摧毀了他們的
[00:01:26.540 --> 00:01:27.820]  美麗
[00:01:27.820 --> 00:01:44.720]  詩人白居易
[00:01:44.720 --> 00:01:47.520]  所作的詩可以描寫出
[00:01:47.520 --> 00:01:50.340]  荷花的生命
[00:01:50.340 --> 00:01:53.420]  春風吹又殺
[00:01:53.420 --> 00:01:56.240]  荷花又慢慢
[00:01:57.520 --> 00:01:58.280]  長出
[00:01:58.280 --> 00:02:00.320]  起初的樣式
[00:02:00.320 --> 00:02:08.020]  我們信徒的生命亦都像荷花一樣
[00:02:08.020 --> 00:02:11.080]  得到神
[00:02:11.080 --> 00:02:12.620]  的眷顧
[00:02:12.620 --> 00:02:19.280]  人亦都有患難
[00:02:19.280 --> 00:02:23.880]  在感恩節前夕
[00:02:26.180 --> 00:02:29.000]  香港致命的火災
[00:02:29.000 --> 00:02:30.540]  帶來
[00:02:30.540 --> 00:02:32.080]  非常
[00:02:32.080 --> 00:02:34.640]  重大的創傷
[00:02:34.640 --> 00:02:39.240]  同時泰國
[00:02:39.240 --> 00:02:41.540]  又面臨
[00:02:41.540 --> 00:02:43.080]  水災
[00:02:43.080 --> 00:02:46.400]  在美國的首都
[00:02:46.400 --> 00:02:48.960]  有兩位被暗殺
[00:02:48.960 --> 00:02:50.240]  的士兵
[00:02:50.240 --> 00:02:54.860]  令到很多人深受感動
[00:02:56.900 --> 00:02:58.940]  哈馬斯以色列
[00:02:58.940 --> 00:03:00.480]  的戰爭
[00:03:00.480 --> 00:03:05.100]  使得很多人失去親人
[00:03:05.100 --> 00:03:07.400]  和家園
[00:03:07.400 --> 00:03:12.260]  慘痛的人生
[00:03:12.260 --> 00:03:13.800]  亦都出現在
[00:03:13.800 --> 00:03:15.580]  俄羅斯
[00:03:15.580 --> 00:03:17.640]  和烏克蘭
[00:03:17.640 --> 00:03:19.420]  的戰爭裏面
[00:03:19.420 --> 00:03:26.080]  每當我想到
[00:03:26.340 --> 00:03:27.880]  日尼亞
[00:03:27.880 --> 00:03:33.740]  的基督徒被屠殺那些慘痛的情形的時候
[00:03:33.740 --> 00:03:36.320]  我的眼睛充滿
[00:03:36.320 --> 00:03:38.120]  悲痛的淚水
[00:03:38.120 --> 00:03:45.300]  人生雖然有患難
[00:03:45.300 --> 00:03:50.660]  神亦應許賜給我們安穩
