
[00:00:00.000 --> 00:00:08.380]  葛牧師,還有眾位牧者,同工,弟兄姊妹,大家平安!
[00:00:08.380 --> 00:00:13.800]  很榮幸,四五十年前認識葛牧師的時候,
[00:00:13.800 --> 00:00:16.800]  沒有想到有一天會來到洛杉磯。
[00:00:16.800 --> 00:00:25.540]  我是厚的臉皮,請葛牧師讓我可以來這個地方朝聖,順便講個道。
[00:00:25.540 --> 00:00:31.600]  那麼,這是我很大的榮幸,特別很感謝神,
[00:00:31.600 --> 00:00:37.220]  我在這裡也遇到了靈異建牧師,也遇到了楊長老。
[00:00:37.220 --> 00:00:46.020]  好像發現我們,還有別人,發現我們華人基督徒的世界其實很小,
[00:00:46.020 --> 00:00:52.780]  我們有很多共同的朋友,但是我們最好的朋友就是我們的主耶穌基督,
[00:00:52.780 --> 00:01:01.140]  阿們嗎?我們最好的朋友也是教會,教會是我們屬靈的母親,
[00:01:01.140 --> 00:01:08.980]  是我們在地上最美好最榮耀的家,阿們嗎?
[00:01:08.980 --> 00:01:18.220]  大家聲音就小了一點,覺得說我們在這個地上碰到很多很多的難處,
[00:01:18.220 --> 00:01:23.060]  有的時候有些難處也是我們在教會生活裡面必然會有的,
[00:01:23.060 --> 00:01:27.660]  但是我們今天要特別的講究,凡是在這個世界上,
[00:01:27.660 --> 00:01:35.700]  我們所碰到許多跟這個世界的人,都有一樣的困難、問題和難處,
[00:01:35.700 --> 00:01:39.700]  但是我們要求上帝給我們一個恩典,
[00:01:39.700 --> 00:01:48.420]  在教會裡面經歷憂愁之後的喜樂、患難之中的平安,
[00:01:48.420 --> 00:01:53.100]  還有所有這個世界所經過的一切一切,
[00:01:53.100 --> 00:01:57.860]  最終我們都認為是出於上帝的恩典和帶領,
[00:01:57.860 --> 00:02:06.020]  你的生命、你的教會生活、你的這個世界的生活可以在地如同在天,阿們嗎?
[00:02:06.020 --> 00:02:13.460]  所以我們今天要來講同心合一、興旺福音或者團隊侍奉。
[00:02:13.460 --> 00:02:17.940]  在這一段經文裡面,我們常常都會引用,
[00:02:17.940 --> 00:02:27.300]  我們會說上帝必定保守,我深信上帝的保守直到那日。
[00:02:27.300 --> 00:02:34.820]  我們都會說這是講到應許的結果,各位,上帝給我們很多應許,
[00:02:34.820 --> 00:02:40.820]  教會是上帝創建,那麼他一定保守,我們會講到這個部分。
[00:02:40.820 --> 00:02:51.140]  可是那是應許的結果,可是聖經95%以上的應許都是有條件的。
[00:02:51.140 --> 00:02:59.460]  華人教會最大的問題就是只講應許的結果,而沒有講當遵行的條件。
[00:02:59.460 --> 00:03:05.140]  所以當我們碰到問題的時候,我們會禱告,
[00:03:05.140 --> 00:03:12.260]  可是我們不懂得我們要遵行這個條件,上帝就與我們同在。
[00:03:12.260 --> 00:03:21.060]  舉個例子來說,聖經說,你們彼此相愛,別人就認出你們是我的門徒;
[00:03:21.060 --> 00:03:27.620]  你們彼此相愛,別人就認出我在你們中間,阿們嗎?
[00:03:27.620 --> 00:03:34.660]  對,這是條件,如果我們滿足了,就可以有這個結果。
[00:03:34.660 --> 00:03:42.660]  這一段經文,我們要把它濃縮來看,因為否則很複雜,對不對?
[00:03:42.660 --> 00:03:51.300]  我把應許的條件怎麼說呢?就是同心合一,心望福音。
[00:03:51.300 --> 00:03:58.180]  結果就是上帝就必成全這宮,可是這還太複雜。
[00:03:58.180 --> 00:04:09.220]  我再簡念一下,就是同心合一,禱告必蒙垂聽,侍奉必蒙成全。
