
[00:00:00.000 --> 00:00:02.780]  今天的題目頗長
[00:00:02.780 --> 00:00:05.620]  叫建立神的榮耀
[00:00:05.620 --> 00:00:08.120]  不斷增長和滿有士氣
[00:00:08.120 --> 00:00:10.120]  三方面的教會
[00:00:10.120 --> 00:00:12.020]  這個教會真的很厲害
[00:00:12.020 --> 00:00:14.160]  有沒有這樣的教會呢?有的
[00:00:14.160 --> 00:00:17.680]  歷史上我相信最成功的教會
[00:00:17.680 --> 00:00:20.420]  就是今天我們要研究的這個個案
[00:00:20.420 --> 00:00:23.420]  這個個案就記載在《士徒行傳》的第二章
[00:00:23.420 --> 00:00:25.320]  就是最開始的時候
[00:00:25.320 --> 00:00:28.660]  2000年前初期教會開始的時候
[00:00:28.660 --> 00:00:30.880]  那個教會的情況
[00:00:30.880 --> 00:00:34.080]  那一段聖經不如我講到那裏就讀到那裏
[00:00:34.080 --> 00:00:36.780]  那我們就不需要重新再讀一次
[00:00:36.780 --> 00:00:38.180]  可以省下點時間
[00:00:38.180 --> 00:00:40.640]  我們可以在一起思想、欣賞
[00:00:40.640 --> 00:00:43.240]  不過你打開這段聖經也很好
[00:00:43.240 --> 00:00:46.540]  那這段聖經究竟講一個什麼樣的個案呢?
[00:00:46.540 --> 00:00:50.100]  這個就講到教會最初開始的時候
[00:00:50.100 --> 00:00:52.700]  一些的描述和情況
[00:00:52.700 --> 00:00:57.160]  那開始的時候就提出了一件事
[00:00:57.160 --> 00:01:01.780]  首先我們看37節一直到41節那裏記載
[00:01:01.780 --> 00:01:07.220]  他說衆人聽見彼得所講完的道就覺得扎心
[00:01:07.220 --> 00:01:09.880]  於是就對彼得和其他的門徒說
[00:01:09.880 --> 00:01:12.180]  弟兄們,我們應該怎麼做呢?
[00:01:12.180 --> 00:01:14.880]  彼得說你們各人要悔改
[00:01:14.880 --> 00:01:17.220]  奉耶穌基督的名受洗
[00:01:17.220 --> 00:01:18.700]  叫你們的罪德赦免
[00:01:18.700 --> 00:01:20.580]  就必領受所賜的聖令
[00:01:20.580 --> 00:01:23.180]  因爲這個應許是給你們和你們的兒女
[00:01:23.180 --> 00:01:24.960]  並一切遠方的人
[00:01:24.960 --> 00:01:27.500]  就是主我們神所召來的
[00:01:27.500 --> 00:01:29.900]  彼得還有很多其他的說話來作見證
[00:01:29.900 --> 00:01:31.160]  勸勉他們說
[00:01:31.160 --> 00:01:35.500]  你們當救自己脫離這彎曲的世代
[00:01:35.500 --> 00:01:36.520]  41節記載說
[00:01:36.520 --> 00:01:40.480]  於是當日領受祂的話就受了洗的
[00:01:40.480 --> 00:01:45.760]  那一天門徒約添了三千人
[00:01:45.760 --> 00:01:50.020]  這個就是剛纔我說開始的那個記載
[00:01:50.020 --> 00:01:52.280]  這個教會爲什麼這麼爆炸性
[00:01:52.280 --> 00:01:54.520]  我真的覺得是很爆炸性的
[00:01:54.520 --> 00:01:57.460]  因爲只是很簡單從一個很表面的角度來看
[00:01:57.460 --> 00:01:59.200]  人數的增加
[00:01:59.200 --> 00:02:02.020]  就已經顯出這個不同凡響
[00:02:02.020 --> 00:02:04.540]  我們說彼得說完道之後
[00:02:04.540 --> 00:02:06.540]  他們的人心裏面就扎心
[00:02:06.540 --> 00:02:08.640]  彼得說你們要悔改
[00:02:08.640 --> 00:02:09.460]  悔改呢?
[00:02:09.460 --> 00:02:10.760]  他們就說好啊
[00:02:10.760 --> 00:02:11.660]  那怎麼辦呢?
[00:02:11.660 --> 00:02:12.700]  你們要受洗
[00:02:12.700 --> 00:02:14.620]  於是他們就加入教會
[00:02:14.620 --> 00:02:17.780]  那一天聖經說加入教會的有三千人
[00:02:17.780 --> 00:02:22.560]  如果你對照一張史詩第一章十五節說到
[00:02:22.560 --> 00:02:25.860]  當耶穌復活昇天之後
[00:02:25.860 --> 00:02:28.420]  剩下的還沒走的
[00:02:28.420 --> 00:02:30.420]  等候聖靈降臨的
[00:02:30.420 --> 00:02:32.260]  那些基督徒有多少人呢?
[00:02:32.260 --> 00:02:35.420]  一百二十個
[00:02:35.420 --> 00:02:38.080]  就是說由一百二十個人
[00:02:38.080 --> 00:02:41.600]  一天之內變成三千一百二十人
[00:02:41.600 --> 00:02:46.220]  簡單來說就增加了大概二十六倍
[00:02:46.220 --> 00:02:48.080]  二十六倍有多少呢?
[00:02:48.080 --> 00:02:49.880]  我好像沒什麼印象
[00:02:49.880 --> 00:02:52.400]  我問過教會的一些傳道
[00:02:52.400 --> 00:02:58.600]  他說大概我們廣福堂每個星期平均加上來的
[00:02:58.600 --> 00:03:00.640]  參加崇拜的人數大概
[00:03:00.640 --> 00:03:02.740]  計算他一千五百
[00:03:02.740 --> 00:03:03.840]  二十六倍呢
[00:03:03.840 --> 00:03:05.960]  就是由一千五百
[00:03:05.960 --> 00:03:09.500]  一天之內增加到差不多四萬
[00:03:09.500 --> 00:03:13.520]  坐滿整個維多利亞公園
[00:03:13.520 --> 00:03:14.840]  你有沒有想象
[00:03:14.840 --> 00:03:17.680]  這種真的可以說是一個爆炸性
[00:03:17.680 --> 00:03:20.720]  當然這間教會的爆炸性不只是人數
[00:03:20.720 --> 00:03:22.920]  人數多是很顯赫的
[00:03:22.920 --> 00:03:26.240]  但是人數的背後還有更深的
[00:03:26.240 --> 00:03:27.920]  所以今天我跟大家說
[00:03:27.920 --> 00:03:30.600]  還有更深的神的祝福和奇妙
[00:03:30.600 --> 00:03:33.480]  所以今天我想帶這段聖經鼓勵弟兄姊妹
[00:03:33.480 --> 00:03:34.400]  鼓勵廣福堂
[00:03:34.400 --> 00:03:35.720]  鼓勵你和我
[00:03:35.720 --> 00:03:38.560]  都能夠在我們的生命裏面有這種的爆炸性
[00:03:38.560 --> 00:03:39.720]  我們很羨慕
[00:03:39.720 --> 00:03:41.640]  但是這個爆炸性當然不是偶然的
[00:03:41.640 --> 00:03:43.280]  當然是有原因的
[00:03:43.280 --> 00:03:44.280]  原因在哪裏呢?
[00:03:44.280 --> 00:03:45.720]  我們一起去研究一下
[00:03:45.720 --> 00:03:47.280]  它的祕訣在哪裏
[00:03:47.280 --> 00:03:48.880]  首先我們第一個
[00:03:48.880 --> 00:03:50.160]  立刻很直接的
[00:03:50.160 --> 00:03:53.480]  就是他們聽完彼得講道
[00:03:53.480 --> 00:03:54.680]  就改了
[00:03:54.680 --> 00:03:55.760]  就受針了
[00:03:55.760 --> 00:03:58.440]  所以彼得的講道當然是很重要的
[00:03:58.440 --> 00:04:00.080]  今天我們的時間不是很多
[00:04:00.080 --> 00:04:02.240]  沒辦法慢慢研究一下那個講章
[00:04:02.240 --> 00:04:05.840]  幸好聖經是記載了那個講章給你們看的
[00:04:05.840 --> 00:04:09.160]  就是同一章聖經的第十四至三十六節
[00:04:09.160 --> 00:04:11.920]  之前那一段
[00:04:11.920 --> 00:04:15.400]  那一段聖經講了彼得講章講什麼呢?
[00:04:15.400 --> 00:04:18.520]  那個講章其實很特別的
[00:04:18.520 --> 00:04:21.400]  是重複重複那一件事
[00:04:21.400 --> 00:04:25.560]  就是說那位我們猶太人期待的尼塞亞
[00:04:25.560 --> 00:04:27.240]  已經來了
[00:04:27.240 --> 00:04:28.800]  我們怎麼知道他是尼塞亞
[00:04:28.800 --> 00:04:29.680]  因爲他死了
[00:04:29.680 --> 00:04:30.880]  但是他復活
[00:04:30.880 --> 00:04:32.080]  講了三次
[00:04:32.080 --> 00:04:33.560]  他復活了
[00:04:33.560 --> 00:04:36.440]  這個人間沒有可能發生的事
[00:04:36.440 --> 00:04:38.960]  就在耶穌的身上顯出來
[00:04:38.960 --> 00:04:40.520]  所以我們今天不叫他
[00:04:40.520 --> 00:04:42.480]  大家叫他耶穌這個人的名字
[00:04:42.480 --> 00:04:44.520]  就叫做耶穌基督
[00:04:44.520 --> 00:04:46.520]  我們基督徒叫慣了
[00:04:46.520 --> 00:04:47.560]  沒什麼特別感覺
[00:04:47.560 --> 00:04:49.400]  耶穌基督就是耶穌基督
[00:04:49.400 --> 00:04:51.560]  基督Christos這個字
[00:04:51.560 --> 00:04:52.520]  希臘文這個字
[00:04:52.520 --> 00:04:55.680]  其實就等於舊約裏面的希伯來文的
[00:04:55.680 --> 00:04:56.320]  Messiah
[00:04:56.320 --> 00:04:56.800]  大家知道了
[00:04:56.800 --> 00:04:58.440]  尼塞亞
[00:04:58.440 --> 00:05:01.880]  這個就是我們等了幾百年的尼塞亞
[00:05:01.880 --> 00:05:03.200]  所以
[00:05:03.200 --> 00:05:03.920]  你看到了
[00:05:03.920 --> 00:05:05.080]  第三十六節
[00:05:05.080 --> 00:05:08.080]  就是彼得講到最後的結論
[00:05:08.080 --> 00:05:09.840]  那個結論就說
[00:05:09.840 --> 00:05:10.480]  故知以色
[00:05:10.480 --> 00:05:12.200]  你全家應該知道
[00:05:12.200 --> 00:05:15.320]  你們釘在十字架上的這位耶穌
[00:05:15.320 --> 00:05:17.560]  神已經立他爲主
[00:05:17.560 --> 00:05:18.560]  爲基督
[00:05:18.560 --> 00:05:19.560]  你們看到嗎
[00:05:19.560 --> 00:05:20.080]  基督
[00:05:20.080 --> 00:05:21.360]  就是尼塞亞
[00:05:21.360 --> 00:05:23.880]  他就是那位尼塞亞了
[00:05:23.880 --> 00:05:26.200]  於是衆人聽了就扎心
[00:05:26.200 --> 00:05:27.800]  我不知道你們聽完之後
