
[00:00:00.000 --> 00:00:04.560]  今天我們繼續講到我們新年的願望
[00:00:04.560 --> 00:00:06.560]  是期待的幸福
[00:00:06.560 --> 00:00:10.000]  2014年不知道你們等候什麼呢?
[00:00:10.000 --> 00:00:11.000]  是不是幸福呢?
[00:00:11.000 --> 00:00:14.000]  有沒有幸福的感覺呢?
[00:00:14.000 --> 00:00:17.680]  當你睡覺、在這裡吃飯的時候
[00:00:17.680 --> 00:00:19.680]  有一些幸福溫暖的感覺
[00:00:19.680 --> 00:00:20.880]  那是最好的
[00:00:20.880 --> 00:00:23.240]  不過有更多屬靈的福氣
[00:00:23.240 --> 00:00:26.000]  今天我想跟大家分享
[00:00:26.000 --> 00:00:28.760]  我們看《已不鎖書》
[00:00:28.760 --> 00:00:31.600]  第一章第三節
[00:00:31.600 --> 00:00:33.600]  我就讀給大家聽
[00:00:58.760 --> 00:01:03.000]  請我們藉著耶穌基督得兒子的名分
[00:01:03.000 --> 00:01:05.840]  好使他恩典的榮耀得著
[00:01:05.840 --> 00:01:06.840]  稱讚
[00:01:06.840 --> 00:01:10.600]  這恩典是在他愛子裡賜給我們的
[00:01:10.600 --> 00:01:14.000]  我們在他愛子裡藉著他的血
[00:01:14.000 --> 00:01:15.400]  蒙了救贖
[00:01:15.400 --> 00:01:17.600]  過飯得道赦免
[00:01:17.600 --> 00:01:20.600]  都是按著他豐盛的恩典
[00:01:20.600 --> 00:01:24.600]  這恩典是用各樣的智慧和聰明
[00:01:24.600 --> 00:01:28.600]  充充足足地賜給我們的
[00:01:29.600 --> 00:01:31.800]  感謝神將他的話語給了我們
[00:01:31.800 --> 00:01:34.800]  《已不鎖書》是特別講到教會
[00:01:34.800 --> 00:01:38.200]  在教會當中我們如何來服侍神
[00:01:38.200 --> 00:01:40.000]  如何經歷神的恩典
[00:01:40.000 --> 00:01:42.600]  所以我們感謝主讓我們有教會
[00:01:42.600 --> 00:01:44.080]  其實我們大家都知道
[00:01:44.080 --> 00:01:46.800]  沒有一個教會是完全的
[00:01:46.800 --> 00:01:48.800]  因為教會是什麼人呢?
[00:01:48.800 --> 00:01:51.200]  教會都是一群罪人
[00:01:51.200 --> 00:01:52.400]  我們是罪人
[00:01:52.400 --> 00:01:55.000]  蒙主的赦免來到這個地方
[00:01:55.000 --> 00:01:59.000]  一起在這個地方服侍主和我們的神
[00:01:59.000 --> 00:02:01.000]  所以我們感謝神
[00:02:01.000 --> 00:02:03.600]  雖然魔鬼努力要破壞教會
[00:02:03.600 --> 00:02:04.600]  但耶穌說
[00:02:04.600 --> 00:02:08.600]  陰間的權制都不可以勝過教會
[00:02:08.600 --> 00:02:09.600]  所以我們感謝主
[00:02:09.600 --> 00:02:11.600]  神在這裡保守我們
[00:02:11.600 --> 00:02:16.600]  2014年相信大家都有很多的期望
[00:02:16.600 --> 00:02:19.600]  很多的恩典
[00:02:19.600 --> 00:02:21.600]  不過剛才我們所讀的聖經是講到
