
[00:00:00.000 --> 00:00:02.000]  我們一起來禱告好嗎
[00:00:02.000 --> 00:00:05.000]  天主上我們來到您面前
[00:00:05.000 --> 00:00:08.000]  我們祈求您在這個時刻
[00:00:08.000 --> 00:00:10.000]  安靜我們的心
[00:00:10.000 --> 00:00:13.000]  因為您不斷從從小到現在
[00:00:13.000 --> 00:00:17.000]  就是用您的道來賜福給我們
[00:00:17.000 --> 00:00:18.000]  上帝我們願意
[00:00:18.000 --> 00:00:21.000]  我們的心是給您自己來安排
[00:00:21.000 --> 00:00:23.000]  給您自己來預備好
[00:00:23.000 --> 00:00:25.000]  以致無論講的聽的
[00:00:25.000 --> 00:00:28.000]  都能夠給您的話語自己的感動
[00:00:28.000 --> 00:00:30.000]  上帝幫助我們
[00:00:30.000 --> 00:00:31.000]  我們這樣祈禱
[00:00:31.000 --> 00:00:32.000]  奉主耶穌名求
[00:00:32.000 --> 00:00:33.000]  阿們
[00:00:33.000 --> 00:00:34.000]  我想請問大家
[00:00:34.000 --> 00:00:37.000]  你們對馬太福音裡面的
[00:00:37.000 --> 00:00:40.000]  施洗約翰有什麼印象呢
[00:00:40.000 --> 00:00:42.000]  熟不熟的
[00:00:42.000 --> 00:00:46.000]  我們比較熟的是哪些的經文呢
[00:00:46.000 --> 00:00:49.000]  就是他為耶穌施洗
[00:00:49.000 --> 00:00:50.000]  這個最熟的
[00:00:50.000 --> 00:00:52.000]  如果有些大英姐妹
[00:00:52.000 --> 00:00:55.000]  就看慣這個馬太福音
[00:00:55.000 --> 00:00:58.000]  都知道他在另一個經文
[00:00:58.000 --> 00:01:01.000]  就是他來到殉道
[00:01:01.000 --> 00:01:04.000]  但是除此以外
[00:01:04.000 --> 00:01:07.000]  大家還有什麼其他印象呢
[00:01:07.000 --> 00:01:09.000]  我想請問施洗約翰
[00:01:09.000 --> 00:01:11.000]  他在馬太福音
[00:01:11.000 --> 00:01:13.000]  關於他的經文
[00:01:13.000 --> 00:01:14.000]  是出現過幾次
[00:01:14.000 --> 00:01:15.000]  你猜猜
[00:01:15.000 --> 00:01:17.000]  有沒有五次呢
[00:01:17.000 --> 00:01:20.000]  誰覺得有五次呢
[00:01:20.000 --> 00:01:22.000]  有沒有八次呢
[00:01:22.000 --> 00:01:25.000]  誰覺得有八次呢
[00:01:25.000 --> 00:01:27.000]  不知道
[00:01:27.000 --> 00:01:29.000]  十次有這麼多嗎
[00:01:29.000 --> 00:01:32.000]  有些人開始搖頭了
[00:01:32.000 --> 00:01:34.000]  有二十六次
[00:01:34.000 --> 00:01:37.000]  有二十六次
[00:01:37.000 --> 00:01:41.000]  以至耶穌說了一句話
[00:01:41.000 --> 00:01:44.000]  我們很少人去明白
[00:01:44.000 --> 00:01:45.000]  他為什麼這樣說
[00:01:45.000 --> 00:01:48.000]  他說他是最偉大的
[00:01:48.000 --> 00:01:49.000]  施洗約翰
[00:01:49.000 --> 00:01:53.000]  由女人所生出來的
[00:01:53.000 --> 00:01:56.000]  沒有人比施洗約翰更加偉大
[00:01:56.000 --> 00:01:59.000]  耶穌這樣評價過施洗約翰
[00:01:59.000 --> 00:02:01.000]  今天我們要看的三章
[00:02:01.000 --> 00:02:03.000]  買封三章一至十七節
[00:02:03.000 --> 00:02:05.000]  看看裡面有什麼功課
[00:02:05.000 --> 00:02:07.000]  讓我們來學習
[00:02:07.000 --> 00:02:11.000]  我想和大家分享四個功課
[00:02:11.000 --> 00:02:13.000]  第一就是
[00:02:13.000 --> 00:02:17.000]  我們是如先為神所預備的
[00:02:17.000 --> 00:02:20.000]  Prepare for God
[00:02:20.000 --> 00:02:24.000]  我們可不可以看看下面的經文
[00:02:24.000 --> 00:02:26.000]  我的powerpoint
[00:02:26.000 --> 00:02:31.000]  我們是如先為神所預備的
