
[00:00:00.000 --> 00:00:09.000]  有兩兄妹,哥哥十二、三歲,妹妹比他小兩歲,一般都是這個比例
[00:00:09.000 --> 00:00:16.000]  本來他們的關係很好的,但是有一天不知道為什麼,他們就在爭用電腦
[00:00:16.000 --> 00:00:25.000]  用著用著,哥哥突然情緒好像控制不了,大力地一拍,拍了妹妹一下
[00:00:25.000 --> 00:00:31.000]  哇,妹妹很錯愕,平時哥哥很疼她,為什麼突然間打了她一下
[00:00:31.000 --> 00:00:38.000]  這個情景爸爸看在眼中,一見到哥哥這樣的情況,好像不是很妥當
[00:00:38.000 --> 00:00:43.000]  於是就來叫著他,兒子你做什麼事,為什麼打妹妹
[00:00:43.000 --> 00:00:49.000]  哥哥定一定神,都覺得為什麼我會這樣做呢,但是十多歲
[00:00:49.000 --> 00:00:55.000]  即是我們說,孫子有時還沒有生,好像都不知道為什麼自己會有這樣的舉動
[00:00:55.000 --> 00:01:00.000]  平時跟妹妹都是相親相愛,很老友的,但是不知道為什麼突然間
[00:01:00.000 --> 00:01:08.000]  因為爭用電腦就出手來打妹妹,當然當時哥哥不知道怎麼算
[00:01:08.000 --> 00:01:16.000]  就只能夠跟爸爸說對不起,但是爸爸就叫他自己反省下
[00:01:16.000 --> 00:01:22.000]  於是,在那個鐘頭裡,哥哥真的很認真地反省下
[00:01:22.000 --> 00:01:27.000]  看見自己,想想自己為什麼會出手打妹妹
[00:01:27.000 --> 00:01:32.000]  於是過了一個鐘頭之後,就很不好意思地來到爸爸面前,就跟爸爸說
[00:01:32.000 --> 00:01:42.000]  爸爸,爸爸,我覺得很難過,我做錯事,但是我想,為什麼我會這麼做
[00:01:42.000 --> 00:01:47.000]  過了這個鐘頭,我一直想,或者是因為我白天上學的時候
[00:01:47.000 --> 00:01:52.000]  那個數學老師在上課的時候,因為我做錯一點點的事
[00:01:52.000 --> 00:01:57.000]  就當眾在全班的同學面前羞辱我,我覺得很不開心
[00:01:57.000 --> 00:02:01.000]  我都很委屈,我覺得很骨氣
