
[00:00:00.000 --> 00:00:02.000]  各位電影節目來賓,早晨
[00:00:02.000 --> 00:00:05.300]  聽到小朋友的歌聲很雀躍
[00:00:05.300 --> 00:00:10.000]  小朋友帶給我們無限的活力和動感
[00:00:10.000 --> 00:00:13.000]  讓他們的歌聲帶著祝福
[00:00:13.000 --> 00:00:17.000]  向在座每一位的父親加油、努力
[00:00:17.000 --> 00:00:22.000]  所以在電腦簡報也找了一個這樣的圖片
[00:00:22.000 --> 00:00:25.000]  一個爸爸牽著兩個兒女,一個背影
[00:00:25.000 --> 00:00:28.500]  相當溫馨,挺高的溫度
[00:00:28.500 --> 00:00:30.500]  今天和大家分享的題目是
[00:00:30.500 --> 00:00:32.500]  懂愛、敢愛的爸爸
[00:00:32.500 --> 00:00:37.000]  對於愛這個課題,不知道大家心裏怎麼想
[00:00:37.000 --> 00:00:41.500]  有些難度,但是也可以去互動
[00:00:41.500 --> 00:00:47.000]  兩段經文,最初這段是羅家夫音11章9至14節
[00:00:47.000 --> 00:00:49.000]  講到禱告的課題
[00:00:49.000 --> 00:00:52.000]  裏面提到祈求、尋找、求門
[00:00:52.000 --> 00:00:58.500]  也有一段是相類似關乎爸爸的一些比喻的特性
[00:00:58.500 --> 00:01:01.000]  所以羅家夫音15章11至32節
[00:01:01.000 --> 00:01:04.000]  一會兒我會和大家再繼續努力
[00:01:04.000 --> 00:01:06.000]  在這個比喻當中
[00:01:06.000 --> 00:01:09.000]  這位父親給我們有些什麼學習
[00:01:09.000 --> 00:01:10.500]  也有一些幫助
[00:01:10.500 --> 00:01:14.500]  對在座每一位尋找信仰的朋友
[00:01:14.500 --> 00:01:16.500]  成為你的一個鼓勵
[00:01:16.500 --> 00:01:19.000]  也祝福不怕多
[00:01:19.000 --> 00:01:23.000]  在座的父親,再一次用掌聲鼓勵他們
[00:01:23.000 --> 00:01:25.000]  辛苦大家了
[00:01:25.000 --> 00:01:29.000]  作為家中的男士
[00:01:29.000 --> 00:01:33.000]  我們的奴婦都想家人個個開開心心、快快樂樂
[00:01:33.000 --> 00:01:36.000]  保持家裏的溫度和暖度
[00:01:36.000 --> 00:01:39.000]  也想一想父親節的來源
[00:01:39.000 --> 00:01:41.000]  其實多得母親節
[00:01:41.000 --> 00:01:43.000]  所以母親很偉大
[00:01:43.000 --> 00:01:45.000]  如果沒有他們就沒有父親
[00:01:45.000 --> 00:01:47.000]  1905年父親節就開始了
[00:01:47.000 --> 00:01:50.000]  五年之後大約1909年至1910年
[00:01:50.000 --> 00:01:53.000]  第一個父親節就在美國出現
[00:01:53.000 --> 00:01:56.000]  多謝這位道德夫人
[00:01:56.000 --> 00:01:59.000]  她的媽媽比較早逝
[00:01:59.000 --> 00:02:02.000]  所以她的爸爸是一個退伍的軍人
[00:02:02.000 --> 00:02:06.000]  像老虎一樣養大六個子女包括她
[00:02:06.000 --> 00:02:10.000]  所以她都很願意將爸爸這份敬意
[00:02:10.000 --> 00:02:13.000]  帶給地上的每一個家庭
[00:02:13.000 --> 00:02:17.000]  一起努力鼓舞每一個家庭的父親
[00:02:17.000 --> 00:02:22.000]  所以她在1909年就發動一些設立父親節的舉動
[00:02:22.000 --> 00:02:24.000]  1910年就正式設立了
[00:02:24.000 --> 00:02:29.000]  不過當時還不是全國或者一個法定的節日
[00:02:29.000 --> 00:02:31.000]  要去到1972年
[00:02:31.000 --> 00:02:35.000]  李克信總統就簽訂了那個法案
[00:02:35.000 --> 00:02:39.000]  就立定了六月的第三個主日就是父親節
[00:02:39.000 --> 00:02:42.000]  當然很多地方都有不同父親節慶祝的日子
[00:02:42.000 --> 00:02:44.000]  如果台灣的地方或者某些地方
[00:02:44.000 --> 00:02:45.000]  他叫做爸爸
[00:02:45.000 --> 00:02:48.000]  所以八月八號是父親節的日子
[00:02:48.000 --> 00:02:53.000]  所以各式各樣各處一個例
[00:02:53.000 --> 00:02:56.000]  亦都想表達對爸爸的敬意
[00:02:56.000 --> 00:02:57.000]  在在的父親
[00:02:57.000 --> 00:03:01.000]  你可能想一下你自己是屬於哪一類型的人
[00:03:01.000 --> 00:03:02.000]  想一下這張圖
[00:03:02.000 --> 00:03:04.000]  簡單說有五類
[00:03:04.000 --> 00:03:06.000]  但是你試一下找一下網上
[00:03:06.000 --> 00:03:08.000]  八樣九樣都有的
[00:03:08.000 --> 00:03:09.000]  簡單分類一下
[00:03:09.000 --> 00:03:11.000]  或者一些特性就是
[00:03:11.000 --> 00:03:13.000]  會不會有些爸爸都比較嚴肅
[00:03:13.000 --> 00:03:14.000]  比較霸氣
[00:03:14.000 --> 00:03:17.000]  一出來就大家要恭恭敬敬
[00:03:17.000 --> 00:03:18.000]  收聲呢
[00:03:18.000 --> 00:03:21.000]  我小時候爸爸有時候一出來我們就收聲了
[00:03:21.000 --> 00:03:22.000]  很恭敬的
[00:03:22.000 --> 00:03:25.000]  這一類的爸爸不是等於他不關心家裡
[00:03:25.000 --> 00:03:27.000]  他只是較少用言語去表達
[00:03:27.000 --> 00:03:31.000]  但是內心是很想家人個個都平平安安的
[00:03:31.000 --> 00:03:33.000]  另外一類就是愛理不理
[00:03:33.000 --> 00:03:36.000]  但是一個好像旁觀者這樣
[00:03:36.000 --> 00:03:39.000]  但是他事事都能夠細心觀察
[00:03:39.000 --> 00:03:41.000]  一到適合的時候
[00:03:41.000 --> 00:03:44.000]  一句適合的說話或者行動就起了果效
[00:03:44.000 --> 00:03:46.000]  所以有時候這些叫智者
[00:03:46.000 --> 00:03:48.000]  又或者一些暖男的爸爸
[00:03:48.000 --> 00:03:49.000]  比媽媽更厲害
[00:03:49.000 --> 00:03:50.000]  煮得兩手的
[00:03:50.000 --> 00:03:55.000]  所以那些小朋友或者家人就有一個飽福了
[00:03:55.000 --> 00:03:58.000]  或者一些爸爸很和子女打成一片的
[00:03:58.000 --> 00:04:00.000]  好玩得什麼都沒什麼所謂的
[00:04:00.000 --> 00:04:02.000]  子女很喜歡和他玩的
[00:04:02.000 --> 00:04:04.000]  或者一類爸爸很專心他的工作
[00:04:04.000 --> 00:04:07.000]  希望家庭有一個穩固的經濟基礎
[00:04:07.000 --> 00:04:09.000]  無論你是哪一類型的人
[00:04:09.000 --> 00:04:12.000]  或者你在想你爸爸屬於哪一類也好
[00:04:12.000 --> 00:04:17.000]  每一類型的爸爸都有時候有這種的表現
[00:04:17.000 --> 00:04:20.000]  一種叫做外顯式的父職
[00:04:20.000 --> 00:04:23.000]  或者叫做內隱式的父職
[00:04:23.000 --> 00:04:27.000]  外顯式就是用說話用行動去表達那份的愛
[00:04:27.000 --> 00:04:30.000]  會關心你會著重溝通
[00:04:30.000 --> 00:04:32.000]  會彼此互動
[00:04:32.000 --> 00:04:35.000]  又用他各樣可以用到的資源
[00:04:35.000 --> 00:04:38.000]  能夠帶給家人有那份的溫飽安全
[00:04:38.000 --> 00:04:41.000]  以致到有些時候如果子女需要教
[00:04:41.000 --> 00:04:43.000]  這些爸爸都會出聲說的
[00:04:43.000 --> 00:04:46.000]  但是有一類爸爸就是內隱一點
[00:04:46.000 --> 00:04:47.000]  就是內斂一點
[00:04:47.000 --> 00:04:50.000]  他用情緒去做一個回應的
[00:04:50.000 --> 00:04:52.000]  內心常常都想著子女
[00:04:52.000 --> 00:04:55.000]  其實都掛心每一個子女的
[00:04:55.000 --> 00:04:57.000]  好想每一個子女都好好
[00:04:57.000 --> 00:04:59.000]  其實也都很願意支持子女
[00:04:59.000 --> 00:05:01.000]  不過礙於他內斂
[00:05:01.000 --> 00:05:04.000]  他不是很能夠表現出來的
[00:05:04.000 --> 00:05:05.000]  隱藏不露
[00:05:05.000 --> 00:05:07.000]  但是無論外顯還是內顯
[00:05:07.000 --> 00:05:09.000]  無論是哪一類型的爸爸
[00:05:09.000 --> 00:05:11.000]  都是一樣的
[00:05:11.000 --> 00:05:14.000]  有哪一個爸爸不想家裡好
[00:05:14.000 --> 00:05:18.000]  我家裡就太太兩個女兒
[00:05:18.000 --> 00:05:19.000]  我常常都有這句話
[00:05:19.000 --> 00:05:21.000]  弟兄姊妹常常都學我的
[00:05:21.000 --> 00:05:23.000]  我家裡女人好我就好了
[00:05:23.000 --> 00:05:26.000]  不知道在座有沒有同樣類型的爸爸
[00:05:26.000 --> 00:05:27.000]  你的家庭背景都一樣
[00:05:27.000 --> 00:05:29.000]  你會不會共鳴這句話
[00:05:29.000 --> 00:05:31.000]  家人好我們就好了
[00:05:31.000 --> 00:05:33.000]  特別在這個時候
[00:05:33.000 --> 00:05:35.000]  我兩個女兒都已經大學畢業
[00:05:35.000 --> 00:05:36.000]  出來工作了
[00:05:36.000 --> 00:05:37.000]  其中一樣我好開心
[00:05:37.000 --> 00:05:39.000]  就是有家用收
[00:05:39.000 --> 00:05:40.000]  每個月都買一個日子
[00:05:40.000 --> 00:05:42.000]  我戶口就會多一些錢
[00:05:42.000 --> 00:05:43.000]  收到的時候
[00:05:43.000 --> 00:05:46.000]  心裡面都是值得的
[00:05:46.000 --> 00:05:47.000]  但是你要知道
[00:05:47.000 --> 00:05:49.000]  有時候你要在適當的時候
[00:05:49.000 --> 00:05:51.000]  講適當的東西是高難度動作的
[00:05:51.000 --> 00:05:52.000]  你不適當的時候
[00:05:52.000 --> 00:05:54.000]  講適當的東西又死的
[00:05:54.000 --> 00:05:55.000]  你不適當的時候
[00:05:55.000 --> 00:05:58.000]  講適當的東西也是困難
[00:05:58.000 --> 00:05:59.000]  適當的時候
[00:05:59.000 --> 00:06:01.000]  你不懂得講話也是困難
[00:06:01.000 --> 00:06:03.000]  所以我常常都會這樣想
[00:06:03.000 --> 00:06:04.000]  三個女人訓練我
[00:06:04.000 --> 00:06:08.000]  應該我的腦退化會比較遲一些出現
[00:06:08.000 --> 00:06:11.000]  因為常常都考驗我的IQ和EQ
[00:06:11.000 --> 00:06:13.000]  連政府部門都教我們
[00:06:13.000 --> 00:06:15.000]  做父親需要留心
[00:06:15.000 --> 00:06:20.000]  做父親不要只想著賺錢養家
[00:06:20.000 --> 00:06:23.000]  我小時候爸爸是做海員的
[00:06:23.000 --> 00:06:27.000]  他就是船上的大廚
[00:06:27.000 --> 00:06:28.000]  我小時候常常都想
[00:06:28.000 --> 00:06:30.000]  為什麼我爸爸會是這樣的呢
[00:06:30.000 --> 00:06:33.000]  久不久才見他一次
[00:06:33.000 --> 00:06:34.000]  短則幾個月
[00:06:34.000 --> 00:06:36.000]  長則兩年
[00:06:36.000 --> 00:06:37.000]  一次回來的時候
[00:06:37.000 --> 00:06:39.000]  心裡面五歲左右的時候
[00:06:39.000 --> 00:06:41.000]  心裡面不忿
[00:06:41.000 --> 00:06:42.000]  鬧彆扭
[00:06:42.000 --> 00:06:44.000]  爸爸媽媽為什麼要這樣
[00:06:44.000 --> 00:06:47.000]  我就心裡面很想知道
[00:06:47.000 --> 00:06:49.000]  誰搶了我爸爸
[00:06:49.000 --> 00:06:52.000]  就很想去我爸爸工作的地方
