
[00:00:00.000 --> 00:00:02.000]  提醒姐妹們平安
[00:00:02.000 --> 00:00:07.000]  今天我們要思想的一個題目
[00:00:07.000 --> 00:00:12.000]  是叫做再思生命中的大與小
[00:00:12.000 --> 00:00:17.000]  我們會有一段經文是詩篇第八篇
[00:00:17.000 --> 00:00:20.000]  剛才埃塞長老已經跟我們唱了那首歌
[00:00:20.000 --> 00:00:24.000]  就是用經文來唱出裡面的真理
[00:00:24.000 --> 00:00:28.000]  為什麼會有這個思想大和小呢
[00:00:28.000 --> 00:00:32.000]  因為現在這個世界很多人都很希望
[00:00:32.000 --> 00:00:35.000]  自己的目標就是偉大
[00:00:35.000 --> 00:00:38.000]  是不是偉大 國家要偉大
[00:00:38.000 --> 00:00:42.000]  我們的家庭又要很大
[00:00:42.000 --> 00:00:44.000]  就是越多人就越好
[00:00:44.000 --> 00:00:46.000]  越賺得多錢就越好
[00:00:46.000 --> 00:00:50.000]  每個人都在追求大
[00:00:50.000 --> 00:00:52.000]  但是我就在想
[00:00:52.000 --> 00:00:57.000]  究竟聖經怎麼教導我們關於大和小呢
[00:00:57.000 --> 00:01:00.000]  這個是我們在觀念上面
[00:01:00.000 --> 00:01:04.000]  大宇宙 小天地
[00:01:04.000 --> 00:01:07.000]  其實人家多偉大都好
[00:01:07.000 --> 00:01:10.000]  在宇宙裡面是很渺小的
[00:01:10.000 --> 00:01:13.000]  大笨象和小螞蟻
[00:01:13.000 --> 00:01:15.000]  有時候你看
[00:01:15.000 --> 00:01:17.000]  那個大笨象多厲害都好
[00:01:17.000 --> 00:01:19.000]  如果他全身矮
[00:01:19.000 --> 00:01:21.000]  他都搞不定 是不是
[00:01:21.000 --> 00:01:23.000]  他都很難受
[00:01:23.000 --> 00:01:26.000]  所以一物治一物的事
[00:01:26.000 --> 00:01:28.000]  你以為自己很偉大
[00:01:28.000 --> 00:01:32.000]  但是有時候都敵不過一些小的東西
[00:01:32.000 --> 00:01:35.000]  還有就是大事情小事情
[00:01:35.000 --> 00:01:37.000]  我們經常聽到人說
[00:01:37.000 --> 00:01:41.000]  這件小事 為什麼這麼煩呢 是不是
