
[00:00:00.000 --> 00:00:02.000]  靜姐妹早生
[00:00:02.000 --> 00:00:04.000]  讓我再一次同心祈禱
[00:00:04.000 --> 00:00:09.500]  青女姐姐叔叔
[00:00:09.500 --> 00:00:11.500]  我們都感謝你讓我們一起去敬拜你
[00:00:11.500 --> 00:00:15.500]  願意我們真的在你的裏面
[00:00:15.500 --> 00:00:17.500]  你的話常在我們裏面
[00:00:17.500 --> 00:00:20.500]  讓我們真的去明白你自己
[00:00:20.500 --> 00:00:22.500]  亦都緊緊的去跟隨你
[00:00:22.500 --> 00:00:25.500]  聖靈願意你在我中間隨意運行
[00:00:25.500 --> 00:00:27.500]  你幫助我們進入你自己的說話
[00:00:27.500 --> 00:00:28.500]  進入真理中間
[00:00:28.500 --> 00:00:30.500]  我們仰望你
[00:00:30.500 --> 00:00:32.500]  讓我們躺開我們的心
[00:00:32.500 --> 00:00:35.500]  我們去在你面前謙卑受教
[00:00:35.500 --> 00:00:36.500]  多謝你聽我們禱告
[00:00:36.500 --> 00:00:37.500]  共主耶穌的命求
[00:00:37.500 --> 00:00:38.500]  阿們
[00:00:38.500 --> 00:00:41.500]  今日我們會分享到
[00:00:41.500 --> 00:00:43.500]  培立比書第四章
[00:00:43.500 --> 00:00:45.500]  其實培立比書第四章已經是
[00:00:45.500 --> 00:00:49.500]  在這個系列裏面最後的一講
[00:00:49.500 --> 00:00:51.500]  第四章裏面特別講到
[00:00:51.500 --> 00:00:54.500]  我們會怎樣去思想
[00:00:54.500 --> 00:00:56.500]  怎樣去思考
[00:00:57.500 --> 00:00:59.500]  有一幅圖和大家去看
[00:00:59.500 --> 00:01:01.500]  去分享
[00:01:01.500 --> 00:01:04.500]  這幅圖不知你一去看的時候
[00:01:04.500 --> 00:01:06.500]  你望到些甚麼
[00:01:06.500 --> 00:01:09.500]  這幅圖不知你一去看的時候
[00:01:09.500 --> 00:01:11.500]  看到些甚麼
[00:01:11.500 --> 00:01:13.500]  可能你一望
[00:01:13.500 --> 00:01:15.500]  這幅圖一望
[00:01:15.500 --> 00:01:19.500]  最正中有個大頭有個男人
[00:01:19.500 --> 00:01:22.500]  一個男人前面有隻手
[00:01:22.500 --> 00:01:24.500]  就看到這樣
[00:01:24.500 --> 00:01:27.500]  如果你再仔細看的時候
[00:01:27.500 --> 00:01:29.500]  可能你又看多些
[00:01:29.500 --> 00:01:31.500]  其實
[00:01:31.500 --> 00:01:33.500]  個男人前面
[00:01:33.500 --> 00:01:36.500]  你可以看是一隻手
[00:01:36.500 --> 00:01:39.500]  亦都可以看到是一隻狗
[00:01:39.500 --> 00:01:41.500]  個男人隻眼那裏
[00:01:41.500 --> 00:01:43.500]  其實你可以望到
[00:01:43.500 --> 00:01:45.500]  其實有個戴帽的人
[00:01:45.500 --> 00:01:47.500]  隔離
[00:01:47.500 --> 00:01:48.500]  其實有個女人
[00:01:48.500 --> 00:01:50.500]  穿著條裙
[00:01:50.500 --> 00:01:52.500]  抱住個小朋友
[00:01:52.500 --> 00:01:55.500]  我不知你還看到些甚麼
[00:01:55.500 --> 00:01:57.500]  據說
[00:01:57.500 --> 00:01:58.500]  不知是不是
[00:01:58.500 --> 00:02:01.500]  據說如果在這幅圖裏面
[00:02:01.500 --> 00:02:04.500]  你看到有九個面孔
[00:02:04.500 --> 00:02:07.500]  你的IQ大概達到180
[00:02:07.500 --> 00:02:10.500]  我就嘗試去玩一下
[00:02:10.500 --> 00:02:11.500]  去看看
[00:02:11.500 --> 00:02:13.500]  我想我IQ沒有180
[00:02:13.500 --> 00:02:15.500]  不過仔細觀察一下
[00:02:15.500 --> 00:02:18.500]  我都看見這幅圖裏面
[00:02:18.500 --> 00:02:20.500]  有九個面孔
[00:02:20.500 --> 00:02:22.500]  不知你看不看得到
[00:02:22.500 --> 00:02:24.500]  可以拍照回去慢慢看
[00:02:24.500 --> 00:02:26.500]  那九個面孔是怎樣呢
[00:02:26.500 --> 00:02:29.500]  個大頭大男人是第一個
[00:02:29.500 --> 00:02:31.500]  戴著帽的男人
[00:02:31.500 --> 00:02:33.500]  和穿著裙的女人
[00:02:33.500 --> 00:02:35.500]  是第二第三個
[00:02:35.500 --> 00:02:37.500]  抱著的小朋友是第四個
[00:02:37.500 --> 00:02:39.500]  隻狗是第五個
[00:02:39.500 --> 00:02:41.500]  六七八九在哪裏呢
[00:02:41.500 --> 00:02:43.500]  在左上角
[00:02:43.500 --> 00:02:45.500]  隻雀仔那裏
[00:02:45.500 --> 00:02:48.500]  其實有一個樣子是正面望的
[00:02:48.500 --> 00:02:50.500]  這個是第六個
[00:02:50.500 --> 00:02:53.500]  個樣正面的側面
[00:02:53.500 --> 00:02:56.500]  其實有一個樣子是第七個
[00:02:56.500 --> 00:02:57.500]  剛剛望著
[00:02:57.500 --> 00:03:00.500]  即是隻雀仔對著望著的
[00:03:00.500 --> 00:03:02.500]  是第八個
[00:03:02.500 --> 00:03:03.500]  右上角
[00:03:03.500 --> 00:03:06.500]  稍稍有個樣子向這邊望的
[00:03:06.500 --> 00:03:08.500]  是第九個
[00:03:08.500 --> 00:03:10.500]  所以這幅圖
[00:03:10.500 --> 00:03:11.500]  我覺得都幾有趣
[00:03:11.500 --> 00:03:12.500]  你看下去的時候
[00:03:12.500 --> 00:03:14.500]  好像一眼看下去就看完
[00:03:14.500 --> 00:03:15.500]  一個大男人
[00:03:15.500 --> 00:03:19.500]  再看看原來多了很多不同的面貌
[00:03:19.500 --> 00:03:20.500]  最多你可以發現
[00:03:20.500 --> 00:03:23.500]  看到九個樣子在裏面
[00:03:23.500 --> 00:03:24.500]  想說甚麼呢
[00:03:24.500 --> 00:03:26.500]  一幅這樣的圖
[00:03:26.500 --> 00:03:27.500]  其實這幅圖
[00:03:27.500 --> 00:03:29.500]  在乎我們怎樣去看市民
[00:03:29.500 --> 00:03:31.500]  怎樣去想事
[00:03:31.500 --> 00:03:32.500]  你從不同的角度
[00:03:32.500 --> 00:03:33.500]  不同的向度去看的時候
[00:03:33.500 --> 00:03:36.500]  你就會發現到不同的事情
[00:03:36.500 --> 00:03:38.500]  這個就是在裏面
[00:03:38.500 --> 00:03:40.500]  我們怎樣去看
[00:03:40.500 --> 00:03:43.500]  從來都沒有人教過我們怎樣想事
[00:03:43.500 --> 00:03:45.500]  但我們怎樣想事
[00:03:45.500 --> 00:03:47.500]  就足以很重要
[00:03:47.500 --> 00:03:49.500]  影響我們
[00:03:49.500 --> 00:03:50.500]  有人有這番說話
[00:03:50.500 --> 00:03:53.500]  他說心態影響我們的思想
