
[00:00:00.000 --> 00:00:06.400]  今天要和大家結束《馬塔普音》第三章所講天國的比喻
[00:00:06.400 --> 00:00:10.240]  其實都是一個很好的總結
[00:00:10.240 --> 00:00:14.340]  因為給我們有個機會能夠重溫一下
[00:00:14.340 --> 00:00:18.940]  天國其他七個比喻所講過的內容
[00:00:18.940 --> 00:00:23.300]  我們亦都講過天國的比喻
[00:00:23.300 --> 00:00:26.120]  其實是有一個首尾的結構
[00:00:26.120 --> 00:00:29.180]  第一個比喻是殺種的比喻
[00:00:29.440 --> 00:00:32.260]  和今天的比喻就是
[00:00:32.260 --> 00:00:35.840]  取物的比喻
[00:00:35.840 --> 00:00:37.120]  其實是一對的
[00:00:37.120 --> 00:00:40.960]  兩個都是講到神的話語
[00:00:40.960 --> 00:00:44.040]  兩個都是講到祂和人傳福音
[00:00:44.040 --> 00:00:47.100]  而第一個比喻殺種的比喻
[00:00:47.100 --> 00:00:51.200]  所著重的就是
[00:00:51.200 --> 00:00:54.280]  聽了福音的人怎樣來領受
[00:00:54.280 --> 00:00:56.580]  有四種不同的泥土
[00:00:57.080 --> 00:01:00.140]  只有一種能夠結出果實
[00:01:00.140 --> 00:01:01.940]  其他三種
[00:01:01.940 --> 00:01:02.960]  都是
[00:01:02.960 --> 00:01:04.240]  一是聽不明白
[00:01:04.240 --> 00:01:07.060]  一是生命裏面有太多其他的事
[00:01:07.060 --> 00:01:09.360]  令到他們不能夠結出果實
[00:01:09.360 --> 00:01:12.180]  而今天的這個比喻
[00:01:12.180 --> 00:01:14.220]  又是講到神的話語
[00:01:14.220 --> 00:01:16.780]  但是不再是領受
[00:01:16.780 --> 00:01:20.120]  是反過來是頒發
[00:01:20.120 --> 00:01:24.720]  是怎樣將神的話語和人分享
[00:01:24.980 --> 00:01:28.060]  怎樣傳達出神的話語
[00:01:28.060 --> 00:01:31.640]  經文剛才也讀過了
[00:01:31.640 --> 00:01:33.680]  很簡單,兩節的經文
[00:01:33.680 --> 00:01:37.520]  《瑪俠福音》十三章51至52節
[00:01:37.520 --> 00:01:40.600]  耶穌說:這一切的話
[00:01:40.600 --> 00:01:43.160]  你們都明白了嗎?
[00:01:43.160 --> 00:01:45.720]  他們說:我們明白了
[00:01:45.720 --> 00:01:48.540]  他說:凡民事受教
[00:01:48.540 --> 00:01:50.320]  作天國的門徒
[00:01:50.320 --> 00:01:52.380]  就像一個家主
[00:01:52.620 --> 00:01:55.700]  從他父女拿出新舊的東西來
[00:01:55.700 --> 00:01:58.260]  而耶穌基督問門徒
[00:01:58.260 --> 00:02:01.840]  你聽我講了這麼多關於天國的比喻
[00:02:01.840 --> 00:02:04.140]  你們到底明白嗎?
[00:02:04.140 --> 00:02:08.500]  門徒說:我們明白了
[00:02:08.500 --> 00:02:11.060]  然後耶穌基督就說
[00:02:11.060 --> 00:02:14.380]  要做天國的門徒要怎樣?
[00:02:14.380 --> 00:02:17.460]  要好像民事受教
[00:02:17.460 --> 00:02:20.280]  又好像是家主
[00:02:20.540 --> 00:02:24.900]  從倉庫裏面拿出新舊的東西一樣
[00:02:24.900 --> 00:02:28.740]  我們首先看看
[00:02:28.740 --> 00:02:32.060]  耶穌基督問門徒你們明白了嗎?
[00:02:32.060 --> 00:02:35.400]  明白這個字是很有趣
[00:02:35.400 --> 00:02:38.980]  因為不是一般頭腦上的知識
[00:02:38.980 --> 00:02:41.280]  而是耶穌問他們
[00:02:41.280 --> 00:02:44.100]  你有沒有將所有的資料
[00:02:44.100 --> 00:02:46.140]  所有的知識我所講的
[00:02:46.140 --> 00:02:47.680]  拼在一起
