
[00:00:00.000 --> 00:00:03.960]  如果我們細心再研究《耶利米蘇》
[00:00:03.960 --> 00:00:06.220]  就會發現 特別在三章十八節那裏講一下
[00:00:06.220 --> 00:00:08.560]  「萬軍的疑惑是你的名」
[00:00:08.560 --> 00:00:13.300]  不單單講到他那種的能力
[00:00:13.300 --> 00:00:17.660]  而是講其實萬有都在他的主權底下
[00:00:17.660 --> 00:00:22.260]  所以我們無需要懼怕任何惡勢力
[00:00:22.260 --> 00:00:25.520]  或者所謂異端邪說
[00:00:25.520 --> 00:00:27.320]  在繼續講的時候
[00:00:27.320 --> 00:00:30.800]  讓我交代一下經文的背景
[00:00:30.800 --> 00:00:33.800]  大部份的聖經學者
[00:00:33.800 --> 00:00:38.200]  都將《耶利米蘇》三十章至三十三章
[00:00:38.200 --> 00:00:40.920]  看為安慰之書
[00:00:40.920 --> 00:00:45.600]  三十章和三十一章強調的是猶大國的將來
[00:00:45.600 --> 00:00:51.760]  三十二章至三十三章是講回歸到這個地方
[00:00:51.760 --> 00:00:56.600]  而這個地方是以色列人可以復原一個很重要的標記
[00:00:56.600 --> 00:00:58.720]  三十二章所講的事件
[00:00:58.720 --> 00:01:01.920]  是發生在耶路撒冷快要淪陷的時候
[00:01:01.920 --> 00:01:04.500]  是在主前588年
[00:01:04.500 --> 00:01:07.720]  其實如果我們認識猶太人的歷史
[00:01:07.720 --> 00:01:09.320]  我們就會知道
[00:01:09.320 --> 00:01:14.320]  巴比倫大軍第一次進攻耶路撒冷的時候
[00:01:14.320 --> 00:01:17.600]  是在主前597年
[00:01:17.600 --> 00:01:21.720]  巴比雷王帶他的軍隊進攻耶路撒冷
[00:01:21.720 --> 00:01:25.120]  但是沒有將耶路撒冷攻陷
[00:01:25.120 --> 00:01:27.400]  十年之後他們捲土重來
[00:01:27.400 --> 00:01:28.920]  再來一次
[00:01:28.920 --> 00:01:31.320]  當時是猶大王西底加執政
[00:01:31.320 --> 00:01:36.720]  亦都是尼泊格雷撒王統治的時候是第十八年
[00:01:36.720 --> 00:01:39.720]  尼泊格雷撒王的軍隊圍困著耶路撒冷
[00:01:39.720 --> 00:01:41.800]  而耶利米在受神的啟示下
[00:01:41.800 --> 00:01:43.920]  告訴他們要悔改甚至投降
[00:01:43.920 --> 00:01:45.920]  否則國家就會滅亡
[00:01:45.920 --> 00:01:49.400]  但是那些百姓甚至軍王根本不相信耶利米所講的
[00:01:49.400 --> 00:01:55.720]  就將耶利米囚禁在皇宮裡面
[00:01:55.720 --> 00:01:56.600]  在這個時候
[00:01:56.600 --> 00:01:58.200]  上帝的說話臨到耶利米
[00:01:58.200 --> 00:01:59.520]  告訴他
[00:01:59.520 --> 00:02:01.920]  你會有一個堂兄弟
[00:02:01.920 --> 00:02:03.120]  叔叔的兒子
[00:02:03.120 --> 00:02:05.920]  會請求你來這裡買一塊地
[00:02:05.920 --> 00:02:08.000]  你就要買這個地
[00:02:08.000 --> 00:02:10.000]  用以證明你現在買地
[00:02:10.000 --> 00:02:15.520]  其實將來耶路撒冷都會有再買賣房屋
[00:02:15.520 --> 00:02:17.800]  買賣田產、葡萄園
[00:02:17.800 --> 00:02:20.600]  代表著這個國家會復興
[00:02:20.600 --> 00:02:22.600]  耶利米照著上帝的說話
[00:02:22.600 --> 00:02:23.800]  買了那塊地
[00:02:23.800 --> 00:02:25.600]  並且找來見證人
[00:02:25.600 --> 00:02:27.200]  給足錢
[00:02:27.200 --> 00:02:29.600]  又簽了買賣合約
[00:02:29.600 --> 00:02:32.400]  辦好一切的手續
[00:02:32.400 --> 00:02:36.000]  但是耶利米看到當時國家的景況
[00:02:36.000 --> 00:02:38.400]  似乎和上帝所應許的復興
[00:02:38.400 --> 00:02:40.400]  覺得是遙遙無期
[00:02:40.400 --> 00:02:41.600]  或者遙不可及
[00:02:41.600 --> 00:02:43.800]  是不是真的這樣呢?
[00:02:43.800 --> 00:02:48.400]  很難相信所以他做了一個祈禱
