
[00:00:00.000 --> 00:00:02.760]  今日呢我哋分享嘅題目呢
[00:00:02.760 --> 00:00:05.680]  係結局會是怎樣
[00:00:05.680 --> 00:00:06.800]  我唔知大家呢
[00:00:06.800 --> 00:00:09.480]  你睇電視劇或者電影嘅時候呢
[00:00:09.480 --> 00:00:12.520]  你係期待一個乜嘢嘅大結局㗎
[00:00:12.520 --> 00:00:14.400]  咁我哋試下舉下手呀
[00:00:14.400 --> 00:00:17.800]  你呢係鍾意大團圓結局嘅
[00:00:17.800 --> 00:00:19.880]  你舉下手
[00:00:19.880 --> 00:00:22.280]  嘩喺呢堂比較多喎咁
[00:00:22.280 --> 00:00:23.600]  你係鍾意嗰啲呢
[00:00:23.600 --> 00:00:25.280]  有少少唔頂唔掉
[00:00:25.280 --> 00:00:27.720]  唔係好知佢最後想點嘅結局
[00:00:27.720 --> 00:00:30.600]  大家有一啲嘅思想空間嘅結局嘅
[00:00:30.600 --> 00:00:32.200]  你舉手
[00:00:32.200 --> 00:00:34.720]  你都有啲粉絲㗎喎
[00:00:34.720 --> 00:00:37.880]  你鍾意嗰啲反高潮嗰啲結局嘅
[00:00:37.880 --> 00:00:39.640]  你舉手
[00:00:39.640 --> 00:00:41.680]  都有啲粉絲㗎喎
[00:00:41.680 --> 00:00:42.920]  咁我唔知道呢
[00:00:42.920 --> 00:00:44.960]  你睇一套戲或者結局
[00:00:44.960 --> 00:00:47.440]  嗰個結局你係期待唔期待
[00:00:47.440 --> 00:00:50.040]  你嘅感受又會係點樣㗎呢
[00:00:50.040 --> 00:00:51.320]  認識我嘅人呢
[00:00:51.320 --> 00:00:54.640]  知道呢我好鍾意一齣戲㗎
[00:00:54.640 --> 00:00:57.320]  而呢齣戲呢我又好鍾意佢嘅結局
[00:00:57.320 --> 00:00:58.880]  呢一齣戲係咩戲呢
[00:00:58.880 --> 00:01:00.480]  就係
[00:01:00.480 --> 00:01:02.320]  秋天的童話
[00:01:02.320 --> 00:01:05.280]  有人同我一樣鍾意秋天的童話㗎
[00:01:05.280 --> 00:01:07.120]  Yeah
[00:01:07.120 --> 00:01:10.840]  你唔肯舉係咪因為你驚我同我一個年代呀
[00:01:10.840 --> 00:01:13.880]  唔會㗎呢個時間有翻睇㗎嘛
[00:01:13.880 --> 00:01:14.520]  係咪
[00:01:14.520 --> 00:01:17.280]  你好年青你都可以翻睇㗎
[00:01:17.280 --> 00:01:18.720]  我好鍾意呢
[00:01:18.720 --> 00:01:21.440]  呢一套戲嘅結局㗎
[00:01:21.440 --> 00:01:24.040]  呢一套戲呢有兩個呢好唔同嘅角色
[00:01:24.040 --> 00:01:24.800]  有兩個主角
