
[00:00:00.000 --> 00:00:02.160]  大英姊妹,我們一起低頭祈禱
[00:00:02.160 --> 00:00:06.360]  天父,願祢的話語再一次教導我們
[00:00:06.360 --> 00:00:10.120]  主要給我們跟這位復活的主相遇的時候
[00:00:10.120 --> 00:00:12.280]  就要正如昔日的門徒
[00:00:12.280 --> 00:00:17.600]  我們在他們的絕望、他們的沮喪的當中
[00:00:17.600 --> 00:00:21.440]  因為與主相遇,改變了他們整個的生命
[00:00:21.440 --> 00:00:23.920]  願祢也是今天跟我們相遇
[00:00:23.920 --> 00:00:26.680]  在這個時間,願祢與我們同在
[00:00:26.680 --> 00:00:28.800]  奉祢祖基督今明祈求,阿們
[00:00:30.800 --> 00:00:33.800]  今天就說到主耶穌復活了
[00:00:33.800 --> 00:00:37.080]  上一次就說到主耶穌釘了在十字架那裡
[00:00:37.080 --> 00:00:42.440]  最後在十字架那裡被刺了肋膀
[00:00:42.440 --> 00:00:45.760]  有血和有水流出來
[00:00:45.760 --> 00:00:50.480]  這個水和血的見證代表著生命和死亡的見證
[00:00:50.480 --> 00:00:54.800]  就證實了耶穌的救贖
[00:00:54.800 --> 00:00:57.880]  在那一刻,耶穌自己都說成了
[00:00:57.880 --> 00:01:00.880]  即是已經完成了
[00:01:00.880 --> 00:01:06.680]  當然,救贖的故事就不是停在十字架
[00:01:06.680 --> 00:01:09.760]  雖然我們很多時跟人傳福音的時候
[00:01:09.760 --> 00:01:14.960]  或者很多人對於基督教信仰的一個體會
[00:01:14.960 --> 00:01:20.040]  或者一個重點都是集中在十字架
[00:01:20.040 --> 00:01:25.840]  即是你見到有些人戴那些首飾、項鏈
[00:01:25.840 --> 00:01:33.440]  掛十字架,似乎十字架成為了信仰的那個中心
[00:01:33.440 --> 00:01:36.400]  事實上十字架是很重要的位置
[00:01:36.400 --> 00:01:44.480]  但是,不知道你有沒有見過有人戴項鏈戴個胸墳帽的呢?
[00:01:44.480 --> 00:01:45.360]  有沒有呢?
[00:01:45.360 --> 00:01:48.200]  我不知道有沒有得買,不過這些項鏈
[00:01:48.200 --> 00:01:50.680]  不過如果有呢,我覺得都頗有意思
[00:01:50.680 --> 00:01:55.240]  因為十字架雖然是很重要
[00:01:55.240 --> 00:01:58.960]  但是我們的救贖不只是停在十字架那裡
[00:01:58.960 --> 00:02:02.160]  我們的救贖是停在復活那裡的
[00:02:02.160 --> 00:02:03.840]  復活是很重要的
