
[00:00:00.000 --> 00:00:04.000]  在過去幾個月,我們一直看《約翰福音》
[00:00:04.000 --> 00:00:08.140]  今天來到第十章,或者你都會開始有個感覺
[00:00:08.140 --> 00:00:12.840]  就是《約翰福音》跟其他三卷福音書有不同的地方
[00:00:12.840 --> 00:00:18.040]  其他三卷福音書是講很多事實
[00:00:18.040 --> 00:00:20.420]  而且有些講得很繁複
[00:00:20.420 --> 00:00:26.000]  但《約翰福音》在初期有一位教父
[00:00:26.600 --> 00:00:30.240]  他的名字叫 Clement of Alexandria
[00:00:30.240 --> 00:00:34.720]  他稱《約翰福音》為屬靈的福音書
[00:00:34.720 --> 00:00:36.880]  Spiritual Gospel
[00:00:36.880 --> 00:00:41.500]  他這樣講不是沒有道理的
[00:00:41.500 --> 00:00:44.820]  因為如果你打開《約翰福音》第一章第一節
[00:00:44.820 --> 00:00:49.880]  你會看到「太初有道,道與神同在」
[00:00:49.880 --> 00:00:55.160]  你會感覺到那種深奧和玄妙,不容易了解
[00:00:55.160 --> 00:00:57.520]  其他福音書都沒有講這一句
[00:00:57.520 --> 00:01:04.560]  如果你上個月有在崇拜聽我講《約翰福音》第一章
[00:01:04.560 --> 00:01:07.400]  你都會看到一句
[00:01:07.400 --> 00:01:09.760]  就是第八章第五十八節
[00:01:09.760 --> 00:01:14.400]  耶穌說:「還沒有阿伯拉罕,就有了我。」
[00:01:14.400 --> 00:01:20.000]  Before Abraham was born, I am
[00:01:20.000 --> 00:01:23.480]  這個「I am」其實是上帝的名字
[00:01:23.480 --> 00:01:27.760]  這個「I am」不是「I was」也不是「I will」
[00:01:27.760 --> 00:01:32.080]  是永遠的現在式,沒有過去,沒有將來
[00:01:32.080 --> 00:01:37.080]  我們中文正經很正確地將它翻譯為「自有永有」
[00:01:37.080 --> 00:01:42.320]  耶穌基督在《約翰福音》講了七個「I am」
[00:01:42.320 --> 00:01:45.520]  是關於祂自己,這個「自有永有」的神
[00:01:45.520 --> 00:01:47.520]  祂是一個怎樣的神
[00:01:47.520 --> 00:01:51.440]  譬如第六章講到「I am 生命的糧」
[00:01:51.440 --> 00:01:54.960]  「自有永有」的神是「生命的糧」
[00:01:54.960 --> 00:01:58.440]  第八章「自有永有」的神是「世界的光」
[00:01:58.440 --> 00:02:01.680]  第十章「I am 陽的門」
[00:02:01.680 --> 00:02:04.000]  「I am 好木人」
[00:02:04.000 --> 00:02:07.480]  第十一章這個「自有永有」的神是「復活和生命」
[00:02:07.480 --> 00:02:10.360]  第十四章是「道路真理生命」
[00:02:10.360 --> 00:02:13.760]  第十五章「I am 真葡萄樹」
[00:02:13.760 --> 00:02:20.320]  這七個「I am」裡面其中兩個「I am」就在第十章
[00:02:20.320 --> 00:02:21.680]  就是我們今天要講的
[00:02:21.680 --> 00:02:25.000]  所以今天這章經文是非常豐富
[00:02:25.000 --> 00:02:26.880]  值得我們去深思
[00:02:26.880 --> 00:02:28.680]  而這兩個「I am」
[00:02:28.680 --> 00:02:31.800]  「我是陽的門」和「我是好木人」
[00:02:31.800 --> 00:02:35.400]  都是跟「糧」有關係
[00:02:35.400 --> 00:02:43.520]  在舊約聖經其實上帝是多次都將自己比喻為木人
[00:02:43.520 --> 00:02:46.640]  又將「糧」來比喻祂的子民
[00:02:46.640 --> 00:02:49.960]  譬如詩篇二十三篇大家耳熟能詳
[00:02:49.960 --> 00:02:54.080]  「耶和華是我的牧者,我必不自缺乏」
