
[00:00:00.000 --> 00:00:03.800]  很開心能夠和大家一同見面
[00:00:03.800 --> 00:00:06.840]  一同去敬拜神
[00:00:06.840 --> 00:00:10.400]  來到就是
[00:00:10.400 --> 00:00:14.800]  在原本坐的位置找回你們的相片
[00:00:14.800 --> 00:00:16.800]  有些是找得到的
[00:00:16.800 --> 00:00:21.000]  有些可能是坐的位置是改了
[00:00:21.000 --> 00:00:23.540]  很開心能夠和大家一起去
[00:00:23.540 --> 00:00:25.540]  敬拜神,可以同心吐槽
[00:00:27.540 --> 00:00:29.540]  親愛的主,我們愛你
[00:00:29.540 --> 00:00:31.540]  我們在過往的日子
[00:00:31.540 --> 00:00:33.540]  我們繼續去敬拜你
[00:00:33.540 --> 00:00:35.540]  今天也是
[00:00:35.540 --> 00:00:37.540]  我們很特別很感恩
[00:00:37.540 --> 00:00:39.540]  因為我們能夠
[00:00:39.540 --> 00:00:41.540]  可以走在一起
[00:00:41.540 --> 00:00:43.540]  在你們聖所當中
[00:00:43.540 --> 00:00:45.540]  去一同經歷
[00:00:45.540 --> 00:00:47.540]  你的同在
[00:00:47.540 --> 00:00:49.540]  在我們當中,無論在
[00:00:49.540 --> 00:00:51.540]  教會裏面
[00:00:51.540 --> 00:00:53.540]  在周圍的地方
[00:00:53.540 --> 00:00:55.540]  當我們一起
[00:00:55.540 --> 00:00:57.540]  去聚會
[00:00:57.540 --> 00:00:59.540]  我們去敬拜你,求你的話語
[00:00:59.540 --> 00:01:03.540]  進入我們每個人的心靈裏面
[00:01:03.540 --> 00:01:05.540]  讓我們一同去經歷你的信神
[00:01:05.540 --> 00:01:07.540]  深深知道
[00:01:07.540 --> 00:01:11.540]  你是偉大的真神
[00:01:11.540 --> 00:01:13.540]  你是我們的盤石
[00:01:13.540 --> 00:01:15.540]  你是我們的救贖
[00:01:15.540 --> 00:01:17.540]  我們的祈禱是
[00:01:17.540 --> 00:01:31.540]  耶穌基督的名字,求阿們
[00:01:31.540 --> 00:01:35.540]  七一及七,埃及記二十章一至六節
[00:01:35.540 --> 00:01:37.540]  神吩咐這一切的話說
[00:01:37.540 --> 00:01:41.540]  我是耶和華,你的神
[00:01:41.540 --> 00:01:43.540]  曾將你從埃及地
[00:01:43.540 --> 00:01:45.540]  為奴之家領出去
[00:01:45.540 --> 00:01:47.540]  除了我以外
[00:01:47.540 --> 00:01:51.540]  你不可有別的神
[00:01:51.540 --> 00:01:53.540]  不知道大家
[00:01:53.540 --> 00:01:55.540]  記不記得
[00:01:55.540 --> 00:01:57.540]  出埃及記的故事
[00:01:57.540 --> 00:01:59.540]  出埃及記的故事
[00:01:59.540 --> 00:02:01.540]  就是說
[00:02:01.540 --> 00:02:05.540]  摩西帶領以色列人離開埃及
[00:02:05.540 --> 00:02:09.540]  好了,他們以後不需要做苦工
[00:02:09.540 --> 00:02:11.540]  不需要被人鞭打
[00:02:11.540 --> 00:02:15.540]  可以在一個新的地方
[00:02:15.540 --> 00:02:17.540]  能夠有新的生活
[00:02:17.540 --> 00:02:19.540]  於是問題是
[00:02:19.540 --> 00:02:21.540]  他們如何去建立一個新的家園呢?
[00:02:21.540 --> 00:02:25.540]  他們都很希望得到耶和華神的指引
[00:02:25.540 --> 00:02:29.540]  所以摩西就去到西乃山
[00:02:29.540 --> 00:02:31.540]  要和神聊天
[00:02:31.540 --> 00:02:33.540]  在西乃山上
[00:02:33.540 --> 00:02:37.540]  神在火焰當中降臨在山上
[00:02:37.540 --> 00:02:41.540]  給摩西律法
[00:02:41.540 --> 00:02:43.540]  神就說
[00:02:43.540 --> 00:02:47.540]  我是耶和華,你的神
[00:02:47.540 --> 00:02:53.540]  這是在火焰當中應許的聲音
[00:02:53.540 --> 00:02:55.540]  然後神又這樣說
[00:02:55.540 --> 00:02:57.540]  祂說出第一個誡命
[00:02:57.540 --> 00:02:58.540]  祂說
[00:02:58.540 --> 00:03:03.540]  我曾將你從埃及地為奴之家領出來
[00:03:03.540 --> 00:03:06.540]  除了我以外
[00:03:06.540 --> 00:03:10.540]  你不可有別的身
[00:03:10.540 --> 00:03:12.540]  是不是很清楚?
[00:03:12.540 --> 00:03:15.540]  除了我以外
[00:03:15.540 --> 00:03:19.540]  你不可有別的身
[00:03:19.540 --> 00:03:24.540]  但是當摩西在山上領受神的律法
[00:03:24.540 --> 00:03:26.540]  在那裡領受的時候
[00:03:26.540 --> 00:03:28.540]  很激動的時候
[00:03:28.540 --> 00:03:30.540]  山下的百姓
[00:03:30.540 --> 00:03:34.540]  他們在敗壞的當中
[00:03:34.540 --> 00:03:38.540]  出埃及記的三十二章一至四節這樣說
[00:03:38.540 --> 00:03:39.540]  他說
[00:03:39.540 --> 00:03:42.540]  百姓見摩西馳言母下山
[00:03:42.540 --> 00:03:45.540]  就大家聚集在阿倫那裡
[00:03:45.540 --> 00:03:47.540]  對他說
[00:03:47.540 --> 00:03:50.540]  起來為我們做神像
