
[00:00:00.000 --> 00:00:04.220]  你知道嗎?我是最怕講一個題目
[00:00:04.220 --> 00:00:07.000]  我是很怕講感恩的
[00:00:07.000 --> 00:00:08.620]  為什麼我很怕講感恩呢?
[00:00:08.620 --> 00:00:12.080]  因為每次想到自己講感恩的時候
[00:00:12.080 --> 00:00:16.900]  有時候覺得好像有一點點
[00:00:16.900 --> 00:00:21.540]  就是對一些遭患難的人
[00:00:21.540 --> 00:00:27.880]  好像覺得自己很不公平對他們
[00:00:27.880 --> 00:00:33.400]  所以我開始在這幾天裏面
[00:00:33.400 --> 00:00:35.980]  我睡覺的時候在想
[00:00:35.980 --> 00:00:38.780]  在過往的幾十年裏面
[00:00:38.780 --> 00:00:41.520]  我有什麼事情是要感恩的
[00:00:41.520 --> 00:00:45.600]  我一一把它寫下來、記下來
[00:00:45.600 --> 00:00:50.940]  但是你知不知道什麼叫做「恩典」呢?
[00:00:50.940 --> 00:00:53.040]  所以我很怕講感恩的緣故
[00:00:53.040 --> 00:00:55.440]  因為每次我講感恩的時候
[00:00:55.440 --> 00:01:02.640]  總覺得某些人是不是因為他們發生了什麼事呢?
[00:01:02.640 --> 00:01:03.820]  在對比的當中
[00:01:03.820 --> 00:01:08.360]  我覺得我自己不好意思再講感恩
[00:01:08.360 --> 00:01:10.040]  你知道什麼叫做感恩嗎?
[00:01:10.040 --> 00:01:11.960]  我這幾天在想這個題目
[00:01:11.960 --> 00:01:14.920]  「不可忘記感恩」
[00:01:14.920 --> 00:01:16.960]  我在想感恩
[00:01:16.960 --> 00:01:18.840]  你知道感恩是什麼嗎?
[00:01:18.840 --> 00:01:20.440]  你知道恩典是什麼嗎?
[00:01:20.440 --> 00:01:23.280]  是奢侈的
[00:01:23.280 --> 00:01:25.320]  是很奢侈的一件事
[00:01:25.320 --> 00:01:27.460]  是一件很奢侈的東西
[00:01:27.460 --> 00:01:31.860]  是一件很奢侈的物件
[00:01:31.860 --> 00:01:33.280]  或者我們不應該有的
[00:01:33.280 --> 00:01:34.720]  但是很奢侈
[00:01:34.720 --> 00:01:38.140]  神給了你和我
[00:01:38.140 --> 00:01:42.560]  所以當我想到恩典、感恩的時候
[00:01:42.560 --> 00:01:45.760]  什麼叫做「恩典」呢?
[00:01:45.760 --> 00:01:47.440]  很奢侈
[00:01:47.440 --> 00:01:51.760]  或者我不應該有
[00:01:51.760 --> 00:01:55.440]  在1989年灣區大地震
[00:01:55.440 --> 00:01:59.120]  你在哪裡呢?
[00:01:59.120 --> 00:02:00.300]  在睡覺
[00:02:00.300 --> 00:02:06.360]  1989年大地震的時候
[00:02:06.360 --> 00:02:10.200]  我在Bay Beach上面
[00:02:10.200 --> 00:02:12.760]  我接了我太太5點多鐘
[00:02:12.760 --> 00:02:14.160]  上到Bay Beach
[00:02:14.160 --> 00:02:17.600]  就是那塊掉下來的前面那裡
[00:02:17.600 --> 00:02:18.960]  我在前面
[00:02:18.960 --> 00:02:24.280]  在Cheshire Island一轉彎就看到了
[00:02:24.280 --> 00:02:26.080]  當日我和我太太的時候
[00:02:26.080 --> 00:02:27.560]  不知道發生什麼事
[00:02:27.560 --> 00:02:28.560]  知道地震
[00:02:28.560 --> 00:02:29.920]  不過不知道這麼嚴重
[00:02:29.920 --> 00:02:32.320]  前面有一塊掉下來
[00:02:32.320 --> 00:02:36.960]  見到每個人向後走
[00:02:36.960 --> 00:02:39.720]  我太太就問我們應該怎麼做
[00:02:39.720 --> 00:02:41.040]  我說聰明的
[00:02:41.040 --> 00:02:43.240]  就跟著他們一起走了
[00:02:43.240 --> 00:02:46.120]  我們下車一起走
[00:02:46.120 --> 00:02:50.120]  我們不可以再去阿拉米達了
[00:02:50.120 --> 00:02:51.040]  我住在阿拉米達
[00:02:51.040 --> 00:02:52.400]  過不了它了
[00:02:52.400 --> 00:02:53.160]  回頭看
[00:02:53.160 --> 00:02:55.040]  等了很久
[00:02:55.040 --> 00:02:57.360]  他們在Cheshire Island那裡排隊
[00:02:57.360 --> 00:03:00.200]  當時手機不是很流行的
[00:03:00.200 --> 00:03:04.120]  只有一個Payphone電話亭
[00:03:04.120 --> 00:03:06.840]  排了一場龍
[00:03:06.840 --> 00:03:09.560]  我就在那裡排隊打電話
[00:03:09.560 --> 00:03:10.800]  我太太就去前面
[00:03:10.800 --> 00:03:12.480]  剛剛那個人在那裡講電話
[00:03:12.480 --> 00:03:13.920]  講廣東話的
[00:03:13.920 --> 00:03:14.640]  我太太就問
[00:03:14.640 --> 00:03:16.680]  你可不可以幫我打電話給我媽媽
[00:03:16.680 --> 00:03:18.880]  告訴她我們平安
[00:03:18.880 --> 00:03:23.280]  我們差不多12點多才回到家裡
[00:03:23.280 --> 00:03:26.480]  去了她的姨丈家裡
[00:03:26.480 --> 00:03:28.680]  沒有油進去
[00:03:28.680 --> 00:03:32.160]  然後表哥說有個油站還開
[00:03:32.160 --> 00:03:33.280]  我們馬上去入油
[00:03:33.280 --> 00:03:34.480]  回到家裡
[00:03:34.480 --> 00:03:38.880]  12點多了
[00:03:38.880 --> 00:03:39.800]  我沒有告訴她
[00:03:39.800 --> 00:03:41.200]  是有人打電話給她
[00:03:41.200 --> 00:03:44.120]  你們平安
[00:03:44.120 --> 00:03:46.560]  親愛的姐妹
[00:03:46.560 --> 00:03:48.600]  如果我過了
[00:03:48.600 --> 00:03:52.000]  那條橋倒塌下來
[00:03:52.000 --> 00:03:54.200]  我過了的話
[00:03:54.200 --> 00:04:01.840]  你知道在奧倫有兩層的海綿夾住你
[00:04:01.840 --> 00:04:03.560]  如果我過了那裡
[00:04:03.560 --> 00:04:07.320]  我就可能在那裡
[00:04:07.320 --> 00:04:09.400]  事但一到
[00:04:09.400 --> 00:04:10.840]  當我想起這件事的時候
[00:04:10.840 --> 00:04:13.200]  我自己心寒
[00:04:13.200 --> 00:04:15.400]  你知不知道當時我的女兒多大
[00:04:15.400 --> 00:04:18.000]  不夠一歲
[00:04:18.000 --> 00:04:20.440]  我和別人分享的時候
[00:04:20.440 --> 00:04:24.680]  如果當天我和我太太都不在那裡
[00:04:24.680 --> 00:04:28.120]  現在我的女兒已經三十多歲了
[00:04:28.120 --> 00:04:29.840]  我在想我回憶
[00:04:29.840 --> 00:04:31.080]  躺在床上的時候
[00:04:31.080 --> 00:04:33.720]  我自己也在懼怕
[00:04:33.720 --> 00:04:35.600]  如果當天我不在那裡的時候
[00:04:35.600 --> 00:04:38.440]  現在我的女兒會變成怎樣呢?
[00:04:38.440 --> 00:04:40.880]  我的女兒可能在跟隨叔叔
[00:04:40.880 --> 00:04:43.880]  在跟隨阿姨
[00:04:43.880 --> 00:04:46.000]  在跟隨媽媽
[00:04:46.000 --> 00:04:47.280]  但是誰來照顧她呢?
[00:04:47.280 --> 00:04:50.400]  誰來教導她呢?
[00:04:50.400 --> 00:04:52.680]  誰來和她去迪士尼呢?
[00:04:52.680 --> 00:04:55.320]  迪士尼呢?
[00:04:55.320 --> 00:04:58.920]  誰來供書教學呢?
[00:04:58.920 --> 00:05:04.000]  這些姐妹都在想
[00:05:04.000 --> 00:05:06.280]  我是僥倖的一個
[00:05:06.280 --> 00:05:09.600]  什麼叫做「恩典」?
[00:05:09.600 --> 00:05:13.200]  恩典很奢侈的 你知不知道?
[00:05:13.200 --> 00:05:17.120]  很貴重的
