
[00:00:00.000 --> 00:00:04.360]  我剛才說在一年將要結束的時候
[00:00:04.360 --> 00:00:08.480]  我們做一些回顧、檢討和前瞻
[00:00:08.480 --> 00:00:13.000]  在一年結束的時候
[00:00:13.000 --> 00:00:18.800]  不知道大家會做一些什麼的檢討
[00:00:18.800 --> 00:00:21.520]  或者是做一些計算
[00:00:21.880 --> 00:00:30.560]  通常正在工作的人會供這個強積金
[00:00:30.560 --> 00:00:39.120]  通常這些基金在年底或每一季都會做一些結算
[00:00:39.120 --> 00:00:43.400]  如果大家看報紙就會聽到一些叫做粉色槍柱的活動
[00:00:43.400 --> 00:00:45.120]  就是要做好條數
[00:00:45.120 --> 00:00:48.800]  然後看我今年的MPF多了多少
[00:00:48.800 --> 00:00:51.840]  但到最後你發覺為什麼我供了這麼多年
[00:00:51.840 --> 00:00:53.320]  都不是多了很多
[00:00:53.320 --> 00:00:54.960]  每年都以為好像很多
[00:00:54.960 --> 00:00:56.360]  這些叫做粉色槍柱
[00:00:56.360 --> 00:00:58.200]  就是做好樣貌給你看
[00:00:58.200 --> 00:01:01.200]  但其實在一年裡面可能你都虧了不少
[00:01:01.200 --> 00:01:02.680]  不過你不知道
[00:01:02.680 --> 00:01:08.080]  有些人就去計算一下自己的資產
[00:01:08.080 --> 00:01:11.080]  究竟是多了還是少了
[00:01:11.080 --> 00:01:15.760]  又或者大家已經工作有一段時間了
[00:01:15.760 --> 00:01:19.400]  想想如果要繼續有晉升的機會
[00:01:19.400 --> 00:01:22.080]  可能就要讀一下書
[00:01:22.080 --> 00:01:24.400]  要增加多一點的本錢
[00:01:24.400 --> 00:01:28.320]  才有競爭力才有機會
[00:01:28.320 --> 00:01:33.000]  可能我們都會做一下類似的檢討
[00:01:33.000 --> 00:01:35.600]  也都會有一些這樣的打算
[00:01:35.600 --> 00:01:39.760]  但是我們有沒有去想一下自己的靈命的狀況呢
[00:01:39.760 --> 00:01:40.760]  又是怎麼樣呢
[00:01:40.760 --> 00:01:42.400]  在一年的當中
[00:01:42.400 --> 00:01:46.480]  特別是每一年年頭你立定志向
[00:01:46.480 --> 00:01:50.680]  我要讀多少的聖經
[00:01:50.680 --> 00:01:54.200]  或者覺得去年實在太懶惰了
[00:01:54.200 --> 00:01:57.560]  今年我應該要乖一點
[00:01:57.560 --> 00:02:00.600]  準時一點來翻團契
[00:02:00.600 --> 00:02:03.800]  或者翻真活敬拜或者崇拜
[00:02:03.800 --> 00:02:05.280]  但是到了年尾
[00:02:05.280 --> 00:02:06.640]  現在來檢討
[00:02:06.640 --> 00:02:08.520]  今年原來都是失敗
[00:02:08.520 --> 00:02:09.600]  好,不要緊
[00:02:09.600 --> 00:02:10.880]  過多幾天之後
[00:02:10.880 --> 00:02:12.120]  新的一年
[00:02:12.120 --> 00:02:14.200]  又再來立志
[00:02:14.200 --> 00:02:18.160]  我們經常都在這樣的循環當中
[00:02:18.160 --> 00:02:20.400]  可能我們都為自己的屬靈生命
[00:02:20.400 --> 00:02:22.160]  想一下一些功夫
[00:02:22.160 --> 00:02:23.400]  但是到了最後
[00:02:23.400 --> 00:02:27.280]  可能結果都不是很好
