
[00:00:00.000 --> 00:00:07.000]  今天跟大家講一個新的題目
[00:00:07.000 --> 00:00:09.000]  講錢
[00:00:09.000 --> 00:00:12.000]  大家有沒有錢?
[00:00:12.000 --> 00:00:15.000]  有呀,多多少少當然有些
[00:00:15.000 --> 00:00:19.000]  所以恭喜大家,大家都是有錢人
[00:00:19.000 --> 00:00:23.000]  有錢,真是感恩
[00:00:23.000 --> 00:00:26.000]  最近有幾單新聞,大家有沒有留意呢?
[00:00:26.000 --> 00:00:29.000]  跟錢有關,看看大家有沒有注意
[00:00:29.000 --> 00:00:33.000]  幾個星期前,香港都有幾多人喜歡聽
[00:00:33.000 --> 00:00:35.000]  或者有關注的新聞
[00:00:35.000 --> 00:00:39.000]  就是我們最有錢的人,就講一下他怎樣分身家
[00:00:39.000 --> 00:00:45.000]  李嘉誠講他怎樣分身家
[00:00:45.000 --> 00:00:47.000]  哪些生意就交給大仔
[00:00:47.000 --> 00:00:51.000]  然後細仔就不給他現在做的生意
[00:00:51.000 --> 00:00:53.000]  就分多少億給他呢?
[00:00:53.000 --> 00:00:54.000]  就做什麼?
[00:00:54.000 --> 00:00:56.000]  買公司
[00:00:56.000 --> 00:01:01.000]  我們做爸爸的,你給錢兒子買什麼?
[00:01:01.000 --> 00:01:07.000]  買糖,買東西吃,最多買書,買文具
[00:01:07.000 --> 00:01:11.000]  給錢買公司,你試過沒有?
[00:01:11.000 --> 00:01:13.000]  大富翁試過?
[00:01:13.000 --> 00:01:16.000]  公司自有
[00:01:16.000 --> 00:01:18.000]  大家都很有創意
[00:01:18.000 --> 00:01:23.000]  這些真是大富翁的玩意,不是我們事
[00:01:23.000 --> 00:01:27.000]  跟著有一個跟我們近一點的新聞
[00:01:27.000 --> 00:01:30.000]  李嘉誠講完分身家之後
[00:01:30.000 --> 00:01:33.000]  有一個機構做了一個調查
[00:01:33.000 --> 00:01:37.000]  調查子女怎樣看他爸爸
[00:01:37.000 --> 00:01:40.000]  調查出來的結果很有趣
[00:01:40.000 --> 00:01:47.000]  有百分之十七的子女期望他爸爸擔演一個角色
[00:01:47.000 --> 00:01:48.000]  什麼角色呢?
[00:01:48.000 --> 00:01:51.000]  就叫人肉提款機
[00:01:51.000 --> 00:01:54.000]  按鈕都不用按
[00:01:54.000 --> 00:01:56.000]  人肉提款機比較新穎
[00:01:56.000 --> 00:01:59.000]  攤大手辦就會把錢退出來
[00:01:59.000 --> 00:02:08.000]  一百個小孩裡有十七個人期望他爸爸有這個功能
[00:02:08.000 --> 00:02:15.000]  第三單就更加近身
[00:02:15.000 --> 00:02:20.000]  最近政府統計處公佈了一個數字
[00:02:20.000 --> 00:02:22.000]  可能大家都有留意
[00:02:22.000 --> 00:02:24.000]  這個數字叫做堅尼系數
[00:02:24.000 --> 00:02:27.000]  大家知不知道這個叫做什麼?
[00:02:27.000 --> 00:02:33.000]  就是測量一個地方貧富懸殊的程度
[00:02:33.000 --> 00:02:37.000]  數字越大代表那個地區或國家
[00:02:37.000 --> 00:02:41.000]  貧富懸殊的情況越嚴重
[00:02:41.000 --> 00:02:44.000]  越高就越嚴重
[00:02:44.000 --> 00:02:47.000]  統計處公佈之後
[00:02:47.000 --> 00:02:50.000]  有些社會人士或學者就說
[00:02:50.000 --> 00:02:54.000]  其實這個數字已經算得保守了
[00:02:54.000 --> 00:02:58.000]  不過就算用最保守的數字來說
[00:02:58.000 --> 00:03:01.000]  香港的情況是什麼?
[00:03:01.000 --> 00:03:06.000]  是全世界所有發達國家
[00:03:06.000 --> 00:03:12.000]  發達國家就是人均收入比較高
[00:03:12.000 --> 00:03:17.000]  例如美國、歐洲等國家
[00:03:17.000 --> 00:03:21.000]  在這些發達國家裡
[00:03:21.000 --> 00:03:24.000]  香港是最高的
[00:03:24.000 --> 00:03:27.000]  又一個香港第一、世界第一
[00:03:27.000 --> 00:03:30.000]  不過這個世界第一就有很大問題了
[00:03:30.000 --> 00:03:35.000]  報告裡說最低收入的家庭
[00:03:35.000 --> 00:03:39.000]  和最高收入的家庭的相差的倍數
[00:03:39.000 --> 00:03:42.000]  大家知不知道是多少倍?
[00:03:42.000 --> 00:03:46.000]  45倍
[00:03:46.000 --> 00:03:50.000]  如果一個家庭最低收入是一萬元
[00:03:50.000 --> 00:03:56.000]  最高平均收入就是45萬元一個月
[00:03:56.000 --> 00:04:00.000]  這個差距是很大的
[00:04:00.000 --> 00:04:03.000]  昨天我看友善
[00:04:03.000 --> 00:04:08.000]  因為曾蔭權快要下班
[00:04:08.000 --> 00:04:11.000]  五年前就說要做好這份工作
[00:04:11.000 --> 00:04:14.000]  大家記不記得?原來說了五年
[00:04:14.000 --> 00:04:19.000]  友善就特意不知是賀他離職還是作弄他
[00:04:19.000 --> 00:04:23.000]  訪問五年前他說這個口號的時候
[00:04:23.000 --> 00:04:25.000]  去探訪一個家庭
[00:04:25.000 --> 00:04:28.000]  問他覺得曾蔭權做得怎麼樣
[00:04:28.000 --> 00:04:31.000]  說完一輪之後當然就談完一輪
[00:04:31.000 --> 00:04:35.000]  記者的結論是什麼呢?
[00:04:35.000 --> 00:04:40.000]  結論是他說在這五年裡
[00:04:40.000 --> 00:04:43.000]  最高收入的人士
[00:04:43.000 --> 00:04:48.000]  他們的人工增幅增加了十幾個百分比
[00:04:48.000 --> 00:04:51.000]  而最窮困的人
[00:04:51.000 --> 00:04:53.000]  收入最低的人
[00:04:53.000 --> 00:04:58.000]  他們的工資反而是跌了200元
[00:04:58.000 --> 00:04:59.000]  跌了
[00:04:59.000 --> 00:05:05.000]  但你計一計我們這五年裡的社會通脹是怎麼樣的
[00:05:05.000 --> 00:05:06.000]  很厲害的
[00:05:06.000 --> 00:05:10.000]  可能你賺的那份工資都覺得越來越縮水
[00:05:10.000 --> 00:05:15.000]  最窮困的人他們的收入反而是跌了
[00:05:15.000 --> 00:05:22.000]  你知不知道香港有多少百萬富翁
[00:05:22.000 --> 00:05:25.000]  不是你玩大富翁的那些就是百萬富翁
[00:05:25.000 --> 00:05:29.000]  真是有100萬美金資產的人
[00:05:29.000 --> 00:05:31.000]  你知不知道有多少
[00:05:31.000 --> 00:05:34.000]  還不是說你那間屋子不算
[00:05:34.000 --> 00:05:36.000]  那些固定的不算
[00:05:36.000 --> 00:05:40.000]  是流動的資產有100萬美金以上
[00:05:40.000 --> 00:05:45.000]  大概是780萬港元
[00:05:45.000 --> 00:05:47.000]  數以萬計
[00:05:47.000 --> 00:05:51.000]  過萬人有這個資產
[00:05:51.000 --> 00:05:52.000]  但反過來
[00:05:52.000 --> 00:05:58.000]  你知不知道有多少人生活在貧窮線以下
[00:05:58.000 --> 00:06:00.000]  同樣是數以萬計
[00:06:00.000 --> 00:06:02.000]  甚至是數以十萬計
