
[00:00:00.000 --> 00:00:07.040]  艾成之箭 學曉從慘敗到成功的功課
[00:00:07.040 --> 00:00:13.340]  我估計我們一生中必定都會犯下錯誤
[00:00:13.340 --> 00:00:16.760]  重要的是在錯誤中我們究竟學到些什麼
[00:00:16.760 --> 00:00:21.540]  有些什麼反思 並且怎樣前行
[00:00:21.540 --> 00:00:26.740]  只有一些人他會覺得自己從來不犯錯
[00:00:26.740 --> 00:00:31.280]  有可能是因為他根本知道自己在說謊
[00:00:31.280 --> 00:00:32.940]  有誰會不犯錯呢
[00:00:32.940 --> 00:00:37.320]  而他在說謊的時候可能所有人都知道 除了他自己
[00:00:37.320 --> 00:00:40.240]  又可能他自己當作看不到
[00:00:40.240 --> 00:00:43.080]  做完之後拆了它 什麼都看不到
[00:00:43.080 --> 00:00:46.080]  又或者有些人知道自己錯誤 但是不承認
[00:00:46.080 --> 00:00:49.960]  賴人 就像這個圖片
[00:00:49.960 --> 00:00:54.040]  打爛了東西 已經困住了那隻狗
[00:00:54.040 --> 00:00:56.720]  因為他不懂說話 沒辦法
[00:00:56.720 --> 00:01:02.560]  又或者有些人根本不嘗試 就不會犯錯
[00:01:02.560 --> 00:01:06.080]  但是不嘗試本身已經是一個錯誤
[00:01:06.080 --> 00:01:09.900]  因為你不去學習 不去嘗試新事物
[00:01:09.900 --> 00:01:13.920]  我聽過一個犯錯的笑話
[00:01:13.920 --> 00:01:15.920]  不知道大家覺得好不好笑
[00:01:15.920 --> 00:01:20.540]  就是一個小朋友有一次在學校跟同學聊天
[00:01:20.540 --> 00:01:27.340]  他就說 我爸爸很厲害 因為他一定一個錯誤不會犯兩次
[00:01:27.340 --> 00:01:29.340]  就是一犯錯他就會改變
[00:01:29.340 --> 00:01:31.740]  所以他真的很厲害
[00:01:31.740 --> 00:01:33.740]  那些同學有沒有這麼厲害
[00:01:33.740 --> 00:01:37.240]  犯錯會立刻改變 以後都不會再犯
[00:01:37.240 --> 00:01:41.080]  他說是呀是呀 你證明給我看 同學跟他說
[00:01:41.080 --> 00:01:43.080]  這樣就容易啦
[00:01:43.080 --> 00:01:47.040]  我爸爸為什麼會犯了一次錯誤不會再犯
[00:01:47.040 --> 00:01:55.620]  你只要看我 就知道啦 因為生完我之後他就沒有再生了
[00:01:55.620 --> 00:01:57.620]  當然這是一個笑話
[00:01:57.620 --> 00:02:02.780]  但是我們知道 我們會犯錯 亦都犯錯我們要有回應
[00:02:02.780 --> 00:02:07.960]  我們今天會看聖經裏面 艾成之戰這個大敗
[00:02:07.960 --> 00:02:10.620]  究竟發生什麼事 他錯了什麼
[00:02:10.620 --> 00:02:13.780]  我們怎樣可以在錯誤裏面改變
[00:02:13.780 --> 00:02:19.520]  並且成為我們今天21世紀面對今天社會
[00:02:19.520 --> 00:02:23.040]  成為一個很重要的學習和步伐
[00:02:23.040 --> 00:02:25.040]  不如我們先看看背景
[00:02:25.040 --> 00:02:29.040]  在第七章第二節第三節 我們一起讀
[00:02:29.040 --> 00:02:35.080]  123 當下約書亞從耶利哥 打發人往伯特利東邊
[00:02:35.080 --> 00:02:40.320]  靠近伯雅文的艾城去 吩咐他們說
[00:02:40.320 --> 00:02:45.900]  你們上去窺探那地 他們就上去窺探艾城
[00:02:45.900 --> 00:02:49.600]  他們回到約書亞那裏對他說
[00:02:49.600 --> 00:02:54.400]  眾民不必都上去 只要二三千人上去
[00:02:54.400 --> 00:03:00.400]  就能攻取艾城 不必勞累眾民都去
[00:03:00.400 --> 00:03:03.180]  因為那裏的人少
[00:03:03.180 --> 00:03:06.480]  這裏開始好像和耶利哥有點相似
[00:03:06.480 --> 00:03:10.700]  那裏來了 贏了 圍完七個圈 倒下了 去到艾城
[00:03:10.700 --> 00:03:13.700]  又是有探子去
