
[00:00:00.000 --> 00:00:03.000]  好,讓我們開始聽上帝的道義
[00:00:03.000 --> 00:00:04.440]  然後才同心去禱告
[00:00:04.440 --> 00:00:06.980]  在我們聽到之前先同心禱告
[00:00:06.980 --> 00:00:09.760]  主佩服臣多謝你
[00:00:09.760 --> 00:00:11.940]  讓我們能夠再次回來
[00:00:11.940 --> 00:00:13.120]  在主的崇拜裡面
[00:00:13.120 --> 00:00:15.800]  一起仰望在主禰的面前
[00:00:15.800 --> 00:00:17.080]  一起去等候
[00:00:17.080 --> 00:00:18.200]  一起去學習
[00:00:18.200 --> 00:00:20.420]  讓我們能夠明白、認識
[00:00:20.420 --> 00:00:21.920]  禰是一位怎樣的主
[00:00:21.920 --> 00:00:22.880]  怎樣的神
[00:00:22.880 --> 00:00:24.000]  怎樣的一位
[00:00:24.000 --> 00:00:26.720]  是值得我們去信靠、信服
[00:00:26.720 --> 00:00:29.480]  並且你是願意怎樣是
[00:00:29.480 --> 00:00:30.480]  允許我們
[00:00:30.480 --> 00:00:33.400]  陪同我們一起走人生的道路
[00:00:33.400 --> 00:00:35.160]  我們再次獻上感恩
[00:00:35.160 --> 00:00:36.800]  能夠有一位這樣的上主
[00:00:36.800 --> 00:00:37.760]  我們祈求禰
[00:00:37.760 --> 00:00:40.200]  讓我們在聽禰的道理的時候
[00:00:40.200 --> 00:00:43.200]  能夠準確掌握上帝禰的心意
[00:00:43.200 --> 00:00:45.680]  並且讓我們能夠去明瞭
[00:00:45.680 --> 00:00:48.280]  上帝禰怎樣在這個世上裡面
[00:00:48.280 --> 00:00:52.000]  能夠使用我們去作主禰的炎光
[00:00:52.000 --> 00:00:53.400]  求禰與我們同在
[00:00:53.400 --> 00:00:54.960]  將這段時間恭敬教授
[00:00:54.960 --> 00:00:56.720]  我們親愛的父神感謝禰
[00:00:56.720 --> 00:00:59.600]  給我們再次能夠打開禰的話語
[00:00:59.600 --> 00:01:01.520]  讓我們明白主禰的教訓
[00:01:01.520 --> 00:01:03.480]  我們再次獻上感謝
[00:01:03.480 --> 00:01:04.760]  求禰的幫助
[00:01:04.760 --> 00:01:07.280]  讓我們能夠再次在今天
[00:01:07.280 --> 00:01:09.400]  能夠明白禰是怎樣的一位主
[00:01:09.400 --> 00:01:10.880]  怎樣的一位神
[00:01:10.880 --> 00:01:13.000]  使我們能夠一起的
[00:01:13.000 --> 00:01:15.600]  在上帝禰的真理當中
[00:01:15.600 --> 00:01:17.120]  能夠隨著禰的說明
[00:01:17.120 --> 00:01:19.320]  帶領我們能夠走一條
[00:01:19.320 --> 00:01:21.040]  合神禰的心意的道路
[00:01:21.040 --> 00:01:23.400]  也能夠在今天這個時代
[00:01:23.400 --> 00:01:26.560]  讓我們能夠教具更多的
[00:01:26.560 --> 00:01:27.880]  贖主禰的人
[00:01:27.880 --> 00:01:30.920]  能夠一起邁向一條永恆的路
[00:01:30.920 --> 00:01:32.000]  求禰的幫助
[00:01:32.000 --> 00:01:34.840]  讓我們對禰更深的認識
[00:01:34.840 --> 00:01:35.880]  我們要禱告
[00:01:35.880 --> 00:01:37.480]  封主耶穌的名臣
[00:01:37.480 --> 00:01:38.480]  Amen
[00:01:38.480 --> 00:01:44.720]  在上個禮拜我們已經看完了
[00:01:44.720 --> 00:01:45.840]  聖經裡面
[00:01:45.840 --> 00:01:47.400]  直覺試圖行轉
[00:01:47.400 --> 00:01:49.240]  我們怎樣面對一些
[00:01:49.240 --> 00:01:52.560]  直接對我們的信仰的挑戰
[00:01:52.560 --> 00:01:55.520]  在上個禮拜我們透過試圖行轉
[00:01:55.520 --> 00:02:00.560]  看到了怎麼對我們的直覺的衝擊
[00:02:00.560 --> 00:02:03.560]  今天我們會轉一轉來去看一下
[00:02:03.560 --> 00:02:05.320]  怎樣去面對一些
[00:02:05.320 --> 00:02:09.400]  是間接地對於我們基督信仰的挑戰
[00:02:09.400 --> 00:02:12.600]  從今天開始我們轉一個看
[00:02:12.600 --> 00:02:15.400]  對我們基督信仰怎麼個間接的衝擊
[00:02:15.400 --> 00:02:16.800]  我甚至可以說
[00:02:16.800 --> 00:02:20.240]  間接的挑戰其實來得更加的頻密
[00:02:20.240 --> 00:02:22.040]  而且更加的致命
