
[00:00:00.000 --> 00:00:07.500]  今天宣講的經文是《約翰一書》第五章第六節到二十一節
[00:00:07.500 --> 00:00:11.980]  艱難的地方是在十幾節經文裏面有兩段難解的經文
[00:00:11.980 --> 00:00:14.220]  所以和你家兄弟姐妹說一聲
[00:00:14.220 --> 00:00:15.820]  你今天要睡醒了
[00:00:15.820 --> 00:00:19.720]  十幾節裏面有兩段難解的經文
[00:00:19.720 --> 00:00:23.260]  我們會繼續講《僅依馬來理實驗》的第六講
[00:00:23.260 --> 00:00:27.420]  但是會接續上星期講的《聖歌世界》的第二
[00:00:27.420 --> 00:00:28.620]  因為我們上星期提到
[00:00:28.620 --> 00:00:31.100]  《聖歌世界》有六個元素
[00:00:31.100 --> 00:00:32.000]  但是我們不夠時間
[00:00:32.000 --> 00:00:33.200]  我們只能講那三個
[00:00:33.200 --> 00:00:35.140]  但這個世界我們不是指這個世界
[00:00:35.140 --> 00:00:37.900]  這個世界是指一切敵基督的力量
[00:00:37.900 --> 00:00:40.740]  在約翰來說
[00:00:40.740 --> 00:00:42.580]  是一個很獨特的人
[00:00:42.580 --> 00:00:46.440]  他見過耶穌在山上彰顯出他的榮美
[00:00:46.440 --> 00:00:47.840]  他見過耶穌復活
[00:00:47.840 --> 00:00:49.120]  他上過天堂
[00:00:49.120 --> 00:00:50.820]  他見過神坐在寶座上
[00:00:50.820 --> 00:00:53.320]  他見到耶穌在附近右邊
[00:00:53.320 --> 00:00:54.880]  他見到靈界的爭戰
[00:00:54.880 --> 00:00:57.620]  他見到末後的災難等等等等
[00:00:57.620 --> 00:00:58.960]  回到地上的時候
[00:00:58.960 --> 00:01:00.260]  他跟我們講到
[00:01:00.260 --> 00:01:03.260]  一個沒有人會清楚明白
[00:01:03.260 --> 00:01:06.100]  沒有人會這樣看這個世界的一種觀點
[00:01:06.100 --> 00:01:08.340]  這種觀點就成為了聖經的觀點
[00:01:08.340 --> 00:01:09.860]  影響一切物質世界
[00:01:09.860 --> 00:01:11.540]  心靈世界背後的
[00:01:11.540 --> 00:01:13.940]  是靈界的力量
[00:01:13.940 --> 00:01:15.140]  有兩種力量
[00:01:15.140 --> 00:01:15.880]  一種是敵基督
[00:01:15.880 --> 00:01:17.680]  一種是聖靈的工作
[00:01:17.680 --> 00:01:19.540]  但是我們要靠著主的緣故
[00:01:19.540 --> 00:01:22.120]  我們有得聖的能力
[00:01:22.120 --> 00:01:26.080]  在約翰多次重複寫作的方法
[00:01:26.080 --> 00:01:28.420]  第一次說了會第二次說
[00:01:28.420 --> 00:01:29.320]  第三次說
[00:01:29.320 --> 00:01:30.160]  第四次說
[00:01:30.160 --> 00:01:31.020]  重複地說
[00:01:31.020 --> 00:01:33.960]  但是這個重複就會增添一些東西給我們去認識
[00:01:33.960 --> 00:01:36.460]  例如在《約翰一書》第五章十九節裏面
[00:01:36.460 --> 00:01:37.500]  他再說這個觀念
[00:01:37.500 --> 00:01:39.360]  但是又用了另外一個形容詞
[00:01:39.360 --> 00:01:41.060]  他說我們知道我們屬於神的
[00:01:41.060 --> 00:01:44.800]  而全世界都服在那惡者的權勢之下
[00:01:44.800 --> 00:01:48.200]  上一節我們提到得聖世界的三個元素
[00:01:48.200 --> 00:01:48.680]  第一
[00:01:48.680 --> 00:01:51.880]  在我們裏面的比那世界的更大
[00:01:51.880 --> 00:01:52.980]  跟李嘉誠講一聲
[00:01:52.980 --> 00:01:54.820]  在我裏面的比世界的更大
[00:01:56.320 --> 00:01:58.280]  約翰用了非常長的篇幅
[00:01:58.280 --> 00:02:01.180]  講第二個是得聖世界的能力
[00:02:01.180 --> 00:02:02.680]  就是活出愛
[00:02:02.680 --> 00:02:04.060]  為什麼要用這麼長的篇幅
[00:02:04.060 --> 00:02:06.620]  因為我們明白了都不會做
[00:02:06.620 --> 00:02:07.960]  又是今天人很喜歡
[00:02:07.960 --> 00:02:10.100]  今天很多基督徒沉醉於
[00:02:10.100 --> 00:02:11.420]  第一節我再講
[00:02:11.420 --> 00:02:12.260]  我再講
[00:02:12.260 --> 00:02:13.660]  我不厭其煩再講
[00:02:13.660 --> 00:02:15.460]  有基督徒不喜歡聽我都再講
[00:02:15.460 --> 00:02:18.640]  因為很多基督徒今天沉醉於
[00:02:18.640 --> 00:02:19.540]  帶茶經
[00:02:19.540 --> 00:02:20.340]  茶經
[00:02:20.340 --> 00:02:21.100]  讀經
[00:02:21.100 --> 00:02:22.180]  帶人茶經
[00:02:22.180 --> 00:02:23.880]  告訴人聖經講什麼
[00:02:23.880 --> 00:02:24.580]  我告訴你
[00:02:24.580 --> 00:02:26.200]  帶茶經讀聖經
[00:02:26.200 --> 00:02:26.940]  茶經
[00:02:26.940 --> 00:02:27.980]  去讀神學
[00:02:27.980 --> 00:02:29.240]  甚至講道的人
[00:02:29.240 --> 00:02:30.840]  最終只有一樣東西
[00:02:30.840 --> 00:02:31.980]  跟李嘉誠講一聲
[00:02:31.980 --> 00:02:32.820]  行道
[00:02:32.820 --> 00:02:36.020]  只是茶
[00:02:36.020 --> 00:02:38.520]  而享受茶
[00:02:38.520 --> 00:02:40.620]  而不行道的人
[00:02:40.620 --> 00:02:43.360]  跟發理賽人是沒有分別的
