
[00:00:00.000 --> 00:00:06.000]  感謝主,一同敬拜主,一同祈禱
[00:00:06.000 --> 00:00:08.000]  我們感謝主的恩典
[00:00:08.000 --> 00:00:13.000]  讓我們在主的精神中歡喜快樂地來敬拜祢
[00:00:13.000 --> 00:00:17.000]  祈求祢的聖靈在我們當中幫我們一起
[00:00:17.000 --> 00:00:19.000]  讓我們看到主耶穌的榮耀
[00:00:19.000 --> 00:00:21.000]  也孝化主耶穌的謙卑
[00:00:21.000 --> 00:00:24.000]  我們禱告、祈求,奉教耶穌基督的名
[00:00:24.000 --> 00:00:26.000]  阿們
[00:00:26.000 --> 00:00:31.000]  幾個星期前,當我說主耶穌登山變相之後
[00:00:31.000 --> 00:00:36.000]  我就說摩西的出現是代表律法和先知
[00:00:36.000 --> 00:00:38.000]  就不像一般牧師的說法
[00:00:38.000 --> 00:00:41.000]  摩西代表律法,以利亞代表先知
[00:00:41.000 --> 00:00:46.000]  我認為摩西一個人可以同時代表律法和先知
[00:00:46.000 --> 00:00:49.000]  然後我就說有雲彩出來
[00:00:49.000 --> 00:00:52.000]  雲彩出現之後,摩西和以利亞就不見了
[00:00:52.000 --> 00:00:56.000]  然後就有聲音說:這成為我親愛的兒子
[00:00:56.000 --> 00:00:58.000]  我喜愛他
[00:00:58.000 --> 00:01:01.000]  這是《瑪太福音》十七章五節
[00:01:01.000 --> 00:01:05.000]  我亦都說這個其實是一個很重要的象徵
[00:01:05.000 --> 00:01:10.000]  就是說從此之後我們就不需要再守舊約的律法
[00:01:10.000 --> 00:01:13.000]  只要守新約的教導
[00:01:13.000 --> 00:01:17.000]  這個象徵意義其實都是相當明顯的
[00:01:17.000 --> 00:01:21.000]  不過最近當我讀到舊約的時候
[00:01:21.000 --> 00:01:23.000]  我發現有一段經文
[00:01:23.000 --> 00:01:27.000]  更加可以幫助我們去理解
[00:01:27.000 --> 00:01:32.000]  有關雲彩、會幕和聽蟲的關係
[00:01:32.000 --> 00:01:36.000]  就是在《文素記》第九章十五節至二十三節
[00:01:36.000 --> 00:01:39.000]  那段經文對我來說有些長氣
[00:01:39.000 --> 00:01:41.000]  簡單來說就是記載
[00:01:41.000 --> 00:01:46.000]  當以色列人在曠野建立了會幕之後
[00:01:46.000 --> 00:01:51.000]  就有上主的雲彩降下來停在會幕上面
[00:01:51.000 --> 00:01:53.000]  雲彩何時上升呢?
[00:01:53.000 --> 00:01:56.000]  摩西就會吩咐人民起行了
[00:01:56.000 --> 00:01:59.000]  雲彩何時降低的時候呢?
[00:01:59.000 --> 00:02:01.000]  人民就會紮營
[00:02:01.000 --> 00:02:05.000]  《文素記》九章二十三節最後一句是這樣說的
[00:02:05.000 --> 00:02:11.000]  他們紮營或拔營都是遵照上主席摩西所命令的話做了
[00:02:11.000 --> 00:02:16.000]  這段舊約的典故就更加能夠幫助我們明白
[00:02:16.000 --> 00:02:18.000]  主耶穌登山變像
[00:02:18.000 --> 00:02:20.000]  又有雲彩出現
[00:02:20.000 --> 00:02:22.000]  然後有上主發聲音
[00:02:22.000 --> 00:02:26.000]  要門徒從此以後不必聽從摩西
[00:02:26.000 --> 00:02:28.000]  從前他們是要聽從摩西的
[00:02:28.000 --> 00:02:30.000]  在這裡這樣說
[00:02:30.000 --> 00:02:31.000]  從前是要聽從摩西
[00:02:31.000 --> 00:02:33.000]  但是現在不用了
[00:02:33.000 --> 00:02:37.000]  現在要開始要聽從主耶穌
[00:02:37.000 --> 00:02:39.000]  後來有人問我
[00:02:39.000 --> 00:02:41.000]  我們怎樣理解呢?
[00:02:41.000 --> 00:02:46.000]  不要以為我來的目的是要廢掉摩西的法律和先知的教訓
[00:02:46.000 --> 00:02:48.000]  我不是來廢除
[00:02:48.000 --> 00:02:55.000]  而是來承傳法律和先知的教訓
[00:02:55.000 --> 00:02:57.000]  其實這個問題很好
[00:02:57.000 --> 00:03:02.000]  我們做基督徒都應該去想想和理解
[00:03:02.000 --> 00:03:04.000]  要怎樣理解主耶穌說
[00:03:04.000 --> 00:03:09.000]  不是來廢除律法而是來承傳律法的意思
[00:03:09.000 --> 00:03:11.000]  我都解釋過
[00:03:11.000 --> 00:03:13.000]  承傳主要有兩方面
[00:03:13.000 --> 00:03:17.000]  第一方面是主耶穌幫助當時的人
[00:03:17.000 --> 00:03:22.000]  去正確地了解舊約的律法
[00:03:22.000 --> 00:03:27.000]  另一方面主耶穌是要完成舊約律法
[00:03:27.000 --> 00:03:30.000]  先知和詩篇所說的
[00:03:30.000 --> 00:03:32.000]  有關他的預言
[00:03:32.000 --> 00:03:41.000]  我們剛才已經聽過馬太福音21章第1至17節的經文
[00:03:41.000 --> 00:03:44.000]  我們看到主耶穌進入耶路撒冷
[00:03:44.000 --> 00:03:47.000]  在這個敘述裏
[00:03:47.000 --> 00:03:53.000]  主耶穌其實就承傳了有四段舊約的經文
[00:03:53.000 --> 00:03:59.000]  第一段就是在馬太福音21章第5節提到的那句話
[00:03:59.000 --> 00:04:05.000]  那句話其實是來自舊約聖經撒加利亞書9章9節
[00:04:05.000 --> 00:04:08.000]  社安的居民要歡喜快樂
[00:04:08.000 --> 00:04:11.000]  耶路撒冷的人民要歡呼
[00:04:11.000 --> 00:04:14.000]  看你們的君王來了
[00:04:14.000 --> 00:04:17.000]  他德勝海船而來
[00:04:17.000 --> 00:04:23.000]  卻謙虛地騎著一匹小鹿
[00:04:25.000 --> 00:04:29.000]  主耶穌進入耶路撒冷的時候
[00:04:29.000 --> 00:04:31.000]  除了騎鹿之外
[00:04:31.000 --> 00:04:36.000]  他其實都是帶著一個榮耀的姿勢來到入城
[00:04:36.000 --> 00:04:40.000]  而他的入城這麼榮耀
[00:04:40.000 --> 00:04:43.000]  也是應驗了另外一段舊約的經文
[00:04:43.000 --> 00:04:47.000]  在詩篇24章第7至10節
