
[00:00:00.000 --> 00:00:04.740]  今天很黑心分享的題目叫做「聰明反被聰明誤」
[00:00:04.740 --> 00:00:06.980]  問問大家猜不猜得到我在說什麼?
[00:00:06.980 --> 00:00:11.000]  真是很有趣,四堂課都不知道
[00:00:11.000 --> 00:00:13.600]  除了那些侍奉隊偷聽到之外
[00:00:13.600 --> 00:00:18.900]  是的,我今天想說的人物就是鎖羅門王
[00:00:18.900 --> 00:00:24.060]  大家不知道對鎖羅門有什麼樣的認識
[00:00:24.060 --> 00:00:25.960]  但是知道有這個人的,對吧?
[00:00:25.960 --> 00:00:27.900]  大家都知道,我想得好一點
[00:00:28.060 --> 00:00:31.780]  我相信大家和我差不多的,因為是小時候
[00:00:31.780 --> 00:00:37.600]  小時候,通常回教會一定聽過關於鎖羅門的故事
[00:00:37.600 --> 00:00:41.180]  而大部分都是說一個故事
[00:00:41.180 --> 00:00:46.860]  就是講他如何好有智慧地去幫助兩個女人
[00:00:46.860 --> 00:00:49.440]  就是這兩個女人是懺悔嬰兒的
[00:00:49.440 --> 00:00:54.180]  簡單來說,故事記載在《獵王記》第三章
[00:00:54.180 --> 00:00:55.980]  故事是這樣說的
[00:00:56.040 --> 00:00:58.800]  有兩個女人,前後生了一個嬰兒
[00:00:58.800 --> 00:01:01.960]  又不知為何她們會同一時間睡覺
[00:01:01.960 --> 00:01:04.840]  兩個女人,即是兩個嬰兒,四個一起睡覺
[00:01:04.840 --> 00:01:08.180]  又不知為何女人會這麼懶得睡覺之餘
[00:01:08.180 --> 00:01:09.520]  可能還很重
[00:01:09.520 --> 00:01:12.760]  她睡覺的時候,把嬰兒壓死了
[00:01:12.760 --> 00:01:16.880]  但是天未光,她看到自己的嬰兒死了
[00:01:16.880 --> 00:01:21.740]  她很快就馬上和隔壁的女人的嬰兒交換了
[00:01:21.980 --> 00:01:26.320]  所以天未光的時候,那女人睡醒,發現自己的嬰兒死了
[00:01:26.320 --> 00:01:30.740]  我們不太懂得分辨,如果去看嬰兒都是同一件事
[00:01:30.740 --> 00:01:34.120]  所以每個人問是誰,其實我們都是隨便說是誰
[00:01:34.120 --> 00:01:35.680]  不是很清楚是誰的
[00:01:35.680 --> 00:01:38.360]  但是,媽媽是不一樣的
[00:01:38.360 --> 00:01:41.440]  這女人就發現,這個嬰兒不是我的
[00:01:41.440 --> 00:01:43.760]  為何我的嬰兒在對方手上呢
[00:01:43.760 --> 00:01:45.760]  於是就引起了爭拗
[00:01:45.980 --> 00:01:52.280]  就來到鎖羅門的面前,希望她可以做出重裁和判決
[00:01:52.280 --> 00:01:55.720]  故事講到這裏,小朋友一定是很緊張的
[00:01:55.720 --> 00:01:58.280]  張開眼睛,希望看到結果是怎樣
[00:01:58.280 --> 00:02:02.240]  想不到,鎖羅門王的答案,就像什麼呢
[00:02:02.240 --> 00:02:04.520]  就像我們現在看的Facebook
[00:02:04.520 --> 00:02:08.060]  做得很漂亮,很像一隻狗的蛋糕
[00:02:08.060 --> 00:02:11.680]  然後你拿這塊蛋糕,對著你的狗
[00:02:11.680 --> 00:02:14.120]  然後拿刀一切下去那一刻
[00:02:14.360 --> 00:02:16.320]  那些狗嚇得眼睛都凸出來
[00:02:16.320 --> 00:02:18.080]  我們小朋友聽的時候
[00:02:18.080 --> 00:02:20.680]  其實不知為何整個聖經故事都是挺嚇人的
[00:02:20.680 --> 00:02:22.880]  他竟然說這個皇帝,他說什麼呢
[00:02:22.880 --> 00:02:26.880]  很簡單,拿一把刀來,把嬰兒斬開一半
[00:02:26.880 --> 00:02:29.120]  分開,一人一半就可以了
[00:02:29.120 --> 00:02:31.680]  嘩,小時候很記得那種感覺
[00:02:31.680 --> 00:02:34.120]  不是吧,只是不懂得回答
[00:02:34.120 --> 00:02:36.320]  幸好這個故事不是這樣完結的
[00:02:36.320 --> 00:02:41.680]  老師很快就說,親生媽媽知道誰是自己的兒子
[00:02:41.920 --> 00:02:44.520]  大家聽見這樣的說法,就很害怕
[00:02:44.520 --> 00:02:47.880]  馬上說,不用了,不是我的嬰兒,我養了給他
[00:02:47.880 --> 00:02:52.320]  你問我小朋友聽的時候,心裡很慘的感覺
[00:02:52.320 --> 00:02:55.520]  雖然知道是不想殺死嬰兒
[00:02:55.520 --> 00:02:58.920]  但是硬是認了那個壞人是媽媽
[00:02:58.920 --> 00:03:00.720]  我心裡是很不開心的
[00:03:00.720 --> 00:03:02.920]  當然,壞女人當然有壞的角色
[00:03:02.920 --> 00:03:05.720]  就說,不要緊,你斬開一半吧
[00:03:05.720 --> 00:03:10.320]  整個故事,其實就是歌頌鎖羅門
[00:03:10.560 --> 00:03:12.280]  是挺有智慧的,OK
[00:03:12.280 --> 00:03:14.720]  但是我覺得對於我們的小朋友聽故事
[00:03:14.720 --> 00:03:16.920]  其實是沒有什麼安慰的
[00:03:16.920 --> 00:03:19.520]  相反,這個故事就傳眾
[00:03:19.520 --> 00:03:24.320]  凡是教學校,教會,一說到鎖羅門都會說的
[00:03:24.320 --> 00:03:27.920]  我們認識的鎖羅門王都知道他是很厲害的
[00:03:27.920 --> 00:03:31.520]  很有智慧的,打理這個國家很出色的
[00:03:31.520 --> 00:03:34.720]  大約是知道這樣的印象,沒什麼理他的
[00:03:34.720 --> 00:03:39.320]  直至到我其實在一月份就去了台灣
[00:03:39.560 --> 00:03:42.120]  是很認真的,人家的研習會
[00:03:42.120 --> 00:03:44.120]  又要我們做很多功課之類的
[00:03:44.120 --> 00:03:48.920]  有機會就看了很多很多的獵王的故事
[00:03:48.920 --> 00:03:50.720]  其中他要我們分辨
[00:03:50.720 --> 00:03:53.520]  誰是好的皇帝,誰是壞的皇帝
[00:03:53.520 --> 00:03:57.120]  我心裡,雖然幾十歲,仍然很小過自己
[00:03:57.120 --> 00:04:01.120]  我是覺得,唉,鎖羅門都是一個好的皇帝
[00:04:01.120 --> 00:04:04.720]  但是整個鋪排學習,我們就知道
[00:04:04.720 --> 00:04:07.520]  鎖羅門是一個壞的皇帝
[00:04:07.760 --> 00:04:12.920]  那時的感覺,唉,有些不太破壞了儀式的偶像的感覺
[00:04:12.920 --> 00:04:15.320]  不知道怎樣,那我回來就真的
[00:04:15.320 --> 00:04:18.320]  再去研究一下整個鎖羅門機
[00:04:18.320 --> 00:04:20.320]  就出現了我今天的廣張
[00:04:20.320 --> 00:04:22.520]  事實上鎖羅門王
[00:04:22.520 --> 00:04:25.920]  你問我看完所有的東西再成為今天的廣張時
[00:04:25.920 --> 00:04:31.120]  你問我,我只是覺得他是一個很可憐的皇帝
[00:04:31.120 --> 00:04:34.320]  簡單地說,鎖羅門我不知道你對他認識多少
[00:04:34.320 --> 00:04:36.920]  當然你會知道他是大衛的兒子,OK
[00:04:37.160 --> 00:04:42.120]  但是他是大衛和拔氏巴所生的第二個兒子
[00:04:42.120 --> 00:04:46.320]  你也知道大衛犯奸淫,殺人的老公,娶人的老婆
[00:04:46.320 --> 00:04:48.320]  他第一個兒子其實是蒙受咒助的
[00:04:48.320 --> 00:04:50.720]  所以一出生就夭折了
[00:04:50.720 --> 00:04:53.520]  而第二個呢,雖然身份上
[00:04:53.520 --> 00:04:58.720]  都叫做名正言順,是一個妃子所生的兒子,OK
[00:04:58.720 --> 00:05:02.520]  但是又不見得他是多麼受寵
[00:05:02.520 --> 00:05:04.720]  因為其實聖經也沒有什麼提到他
[00:05:04.720 --> 00:05:06.320]  大部分在大衛的生平
[00:05:06.560 --> 00:05:09.320]  大衛最喜歡的兒子,如果你有印象
[00:05:09.320 --> 00:05:12.720]  我前面說過一篇道,就是叫做鴨沙倫,OK
[00:05:12.720 --> 00:05:14.120]  頭髮很多的
[00:05:14.120 --> 00:05:19.320]  但是很可惜,大衛加了很多的罪,淫亂的罪
[00:05:19.320 --> 00:05:25.120]  令一代傳一代的兒子,鴨沙倫其實是枉死
[00:05:25.120 --> 00:05:27.520]  我簡單地說,大衛也是很傷心的
[00:05:27.520 --> 00:05:32.720]  其實正統系出的還有一個名字是大家要注意的
[00:05:32.720 --> 00:05:35.120]  他叫做亞多尼亞,OK
[00:05:35.360 --> 00:05:38.520]  其實是鴨沙倫之後的弟弟,簡單地說
