
[00:00:00.000 --> 00:00:03.120]  各位親愛的頂主媒,我想問一問在座眾
[00:00:03.120 --> 00:00:06.600]  這麼多種不同的人倫關係當中
[00:00:06.600 --> 00:00:10.520]  你覺得哪種關係是最困難的?
[00:00:10.520 --> 00:00:16.040]  父母、子女、夫妻、婆媳
[00:00:16.040 --> 00:00:20.600]  以及女婿和外父外母
[00:00:20.600 --> 00:00:23.320]  哪樣東西是最困難的?
[00:00:23.320 --> 00:00:25.320]  讓大家問一問
[00:00:25.320 --> 00:00:28.480]  舉手,有些人認為夫妻關係是最困難的
[00:00:28.480 --> 00:00:30.960]  你同意夫妻關係是最困難的
[00:00:30.960 --> 00:00:32.000]  可以舉手嗎?
[00:00:32.000 --> 00:00:35.400]  只有幾個答案,很少的
[00:00:35.400 --> 00:00:38.800]  好了,父母、子女關係是最困難的,舉手
[00:00:38.800 --> 00:00:41.120]  有一些
[00:00:41.120 --> 00:00:43.680]  婆媳關係是最困難的,舉手
[00:00:43.680 --> 00:00:47.520]  似乎最多
[00:00:47.520 --> 00:00:51.520]  外父外母和女婿關係是最困難的,舉手
[00:00:51.520 --> 00:00:54.960]  很少
[00:00:54.960 --> 00:00:57.560]  好
[00:00:58.760 --> 00:01:00.000]  一直以來
[00:01:00.000 --> 00:01:04.320]  中國人認為哪種關係是最困難的呢?
[00:01:04.320 --> 00:01:06.640]  婆媳
[00:01:06.640 --> 00:01:11.080]  猶太人又認為哪種關係是最困難的呢?
[00:01:11.080 --> 00:01:13.080]  原來又是婆媳
[00:01:13.080 --> 00:01:15.640]  我覺得很奇怪
[00:01:15.640 --> 00:01:18.040]  西方人比較少
[00:01:18.040 --> 00:01:22.000]  無論你女婿和外父外母也好
[00:01:22.000 --> 00:01:26.720]  婆媳也好,甚麼也好,差不多
[00:01:26.720 --> 00:01:30.120]  至於原因在哪裏呢?我想是習慣的問題
[00:01:30.120 --> 00:01:33.440]  因為中國人,特別是古代
[00:01:33.440 --> 00:01:35.040]  和猶太人
[00:01:35.040 --> 00:01:39.120]  結婚的時候,子女結婚的時候
[00:01:39.120 --> 00:01:42.960]  通常是誰會去了其他地方
[00:01:42.960 --> 00:01:47.440]  兒子結了婚會離開家裏
[00:01:47.440 --> 00:01:49.960]  還是女兒結了婚會離開家裏
[00:01:49.960 --> 00:01:53.480]  有多少人認為以前的中國
[00:01:53.480 --> 00:01:57.280]  以前的猶太,是女兒離開家裏的?舉手
[00:01:57.280 --> 00:01:59.880]  你們猜得對
[00:01:59.880 --> 00:02:04.680]  所以我相信有一個原因
[00:02:04.680 --> 00:02:06.240]  為何婆媳這麼困難呢?
[00:02:06.240 --> 00:02:07.480]  因為基本上
[00:02:07.480 --> 00:02:12.360]  女婿和外父沒甚麼機會見面
[00:02:12.360 --> 00:02:14.520]  外父外母也很少機會見面
[00:02:14.520 --> 00:02:17.440]  但是婆媳要住在一起
[00:02:17.440 --> 00:02:20.480]  中國是這樣,猶太人也是這樣
[00:02:20.480 --> 00:02:24.880]  第二,這是一個心理學的分析
[00:02:24.880 --> 00:02:27.080]  為何婆媳比較困難呢?
[00:02:27.080 --> 00:02:30.080]  因為兩者都是女性
[00:02:30.080 --> 00:02:31.880]  是beers
[00:02:31.880 --> 00:02:35.880]  所謂beers是比較注重關係
[00:02:35.880 --> 00:02:38.480]  是以關係為主的
[00:02:38.480 --> 00:02:44.480]  另一方面,因為他們是以關係為主
[00:02:44.480 --> 00:02:47.480]  所以在家的時間一般比較多
[00:02:47.480 --> 00:02:49.480]  以前,我在說以前
[00:02:49.480 --> 00:02:51.480]  既然在家的時間比較多
[00:02:51.480 --> 00:02:55.480]  相見好,同住就難了
[00:02:55.480 --> 00:02:58.480]  第三,還有一樣東西
[00:02:58.480 --> 00:03:01.480]  這是心理學方面的分析
[00:03:01.480 --> 00:03:07.480]  他說女孩子是比較容易成熟的
[00:03:07.480 --> 00:03:13.480]  男孩子成熟的年紀是比較慢的
[00:03:13.480 --> 00:03:15.480]  是因為這樣的緣故
[00:03:15.480 --> 00:03:19.480]  如果他們住在一起
[00:03:19.480 --> 00:03:23.480]  爸爸為成年的女兒蓋被子
[00:03:23.480 --> 00:03:25.480]  是很少的
[00:03:25.480 --> 00:03:27.480]  同意嗎?
[00:03:27.480 --> 00:03:29.480]  我想問問在座中
[00:03:29.480 --> 00:03:31.480]  有多少是做爸爸的?
