
[00:00:00.000 --> 00:00:03.540]  好 請姊妹平安 我們再一次低頭祈禱
[00:00:03.540 --> 00:00:07.040]  天父啊 求祢讓我們明白祢的心意
[00:00:07.040 --> 00:00:09.660]  讓我們知道我們活在世上的時候
[00:00:09.660 --> 00:00:13.240]  我們是可以為祢而活
[00:00:13.240 --> 00:00:14.440]  我們人生在世
[00:00:14.440 --> 00:00:17.440]  在短短的幾十年寒暑當中
[00:00:17.440 --> 00:00:18.900]  轉眼就過
[00:00:18.900 --> 00:00:21.200]  但是在永恆的當中
[00:00:21.200 --> 00:00:27.240]  祢會稱讚我們是有良善有忠心的僕人
[00:00:27.240 --> 00:00:31.700]  或者是祢責備我們是有懶有惡的僕人
[00:00:31.700 --> 00:00:33.500]  當我們見到面的時候
[00:00:33.500 --> 00:00:39.840]  祢的評價就成為了我們最終的
[00:00:39.840 --> 00:00:44.700]  我們的喜樂或者是最終我們的後悔
[00:00:44.700 --> 00:00:46.840]  我們願祢都是幫助我們
[00:00:46.840 --> 00:00:50.140]  讓我們更加明白還有時間的時候
[00:00:50.140 --> 00:00:51.640]  我們掌握今天
[00:00:51.640 --> 00:00:53.300]  奉耶穌基督的名其求
[00:00:53.300 --> 00:00:54.500]  下門
[00:00:54.500 --> 00:00:59.400]  好 今天繼續來講「活出生命的特質」的第二講
[00:00:59.400 --> 00:01:02.840]  上一次都已經開始介紹的時候
[00:01:02.840 --> 00:01:05.740]  其實神造每一個人既然都是不同
[00:01:05.740 --> 00:01:08.500]  我們有我們不同的Straight
[00:01:08.500 --> 00:01:15.000]  就是SHAPE那幾個英文字所代表的不同的方面
[00:01:15.000 --> 00:01:17.600]  今天就講第一方面就是S
[00:01:17.600 --> 00:01:20.900]  S就是屬靈的恩賜 spiritual gift
[00:01:20.900 --> 00:01:26.700]  屬靈的恩賜首先很多人對於屬靈恩賜的觀念
[00:01:26.700 --> 00:01:31.340]  都有少許的誤解
[00:01:31.340 --> 00:01:35.600]  雖然好像很多人都聽過這個名詞
[00:01:35.600 --> 00:01:39.340]  但是一講到屬靈恩賜的時候都有誤解
[00:01:39.340 --> 00:01:41.200]  首先就要介紹一下
[00:01:41.200 --> 00:01:45.700]  或者去澄清一下屬靈恩賜究竟不是什麼
[00:01:45.700 --> 00:01:50.700]  首先第一個就是屬靈恩賜不是你性格的特質
[00:01:50.700 --> 00:01:56.200]  有些人說我很有恩賜是
