
[00:00:00.000 --> 00:00:05.000]  今天我們繼續看《盧家福音》的訊息
[00:00:05.000 --> 00:00:10.000]  上一次我們看到第十章的頭的兩個部分
[00:00:10.000 --> 00:00:12.000]  今天我們看第三個部分
[00:00:12.000 --> 00:00:14.000]  這個接著下去
[00:00:14.000 --> 00:00:16.000]  耶穌講到一個事蹟
[00:00:16.000 --> 00:00:18.000]  是因為有一件事引發出來的
[00:00:18.000 --> 00:00:21.000]  就這樣看圖
[00:00:21.000 --> 00:00:23.000]  懂不懂得識字啊
[00:00:23.000 --> 00:00:33.000]  這個是好撒瑪利亞人的一個比喻
[00:00:33.000 --> 00:00:37.000]  有沒有聽過好撒瑪利亞人
[00:00:37.000 --> 00:00:40.000]  不是單只是教會
[00:00:40.000 --> 00:00:42.000]  就是Good Samaritan
[00:00:42.000 --> 00:00:45.000]  很多時候我們在新聞報告
[00:00:45.000 --> 00:00:47.000]  或者昨晚我才聽到新聞就有了
[00:00:47.000 --> 00:00:49.000]  有兩個
[00:00:49.000 --> 00:00:51.000]  所謂Good Samaritan
[00:00:51.000 --> 00:00:53.000]  在大眾來講
[00:00:53.000 --> 00:00:55.000]  什麼叫做Good Samaritan
[00:00:55.000 --> 00:00:56.000]  好撒瑪利亞人
[00:00:56.000 --> 00:00:58.000]  即是什麼人
[00:00:58.000 --> 00:01:02.000]  幫助人的好人
[00:01:02.000 --> 00:01:03.000]  即是做好人
[00:01:03.000 --> 00:01:05.000]  即是有些好心人
[00:01:05.000 --> 00:01:07.000]  即是好心人見到有人
[00:01:07.000 --> 00:01:09.000]  譬如在路邊有問題
[00:01:09.000 --> 00:01:10.000]  或者壞了車
[00:01:10.000 --> 00:01:13.000]  或者有什麼壞事
[00:01:13.000 --> 00:01:15.000]  他就去報警
[00:01:15.000 --> 00:01:18.000]  或者是幫助援手
[00:01:18.000 --> 00:01:22.000]  或者是驅走
[00:01:22.000 --> 00:01:24.000]  甚至有時驅走那些惡人
[00:01:24.000 --> 00:01:26.000]  或者捉了他們
[00:01:26.000 --> 00:01:28.000]  所以這個很多時候
[00:01:28.000 --> 00:01:30.000]  在我們的日常生活裏面
[00:01:30.000 --> 00:01:32.000]  已經特別在美國
[00:01:32.000 --> 00:01:35.000]  很慣用的一個字眼來的
[00:01:35.000 --> 00:01:37.000]  好撒瑪利亞人
[00:01:37.000 --> 00:01:39.000]  其實這個好撒瑪利亞人
[00:01:39.000 --> 00:01:42.000]  是不是等於做好人呢
[00:01:42.000 --> 00:01:45.000]  好撒瑪利亞人是不是等於做好人呢
[00:01:45.000 --> 00:01:48.000]  固然這個是Good Samaritan
[00:01:48.000 --> 00:01:49.000]  即是做好人
[00:01:49.000 --> 00:01:52.000]  是不是就像一般人認為
[00:01:52.000 --> 00:01:54.000]  只是做一些好事
[00:01:54.000 --> 00:01:55.000]  做好人
[00:01:55.000 --> 00:01:58.000]  今天已經有些濫用這個字了
[00:01:58.000 --> 00:02:01.000]  當然仍然是一個好的用法
[00:02:01.000 --> 00:02:04.000]  因為鼓勵其他人去彼此幫助
[00:02:04.000 --> 00:02:07.000]  做一個好的鄰舍
[00:02:07.000 --> 00:02:09.000]  Be a good neighbor
[00:02:09.000 --> 00:02:11.000]  所以今天我們來看看
[00:02:11.000 --> 00:02:13.000]  究竟好撒瑪利亞人
[00:02:13.000 --> 00:02:15.000]  在耶穌這個比喻當中
[00:02:15.000 --> 00:02:18.000]  有些什麼我們基督徒更加去明白
[00:02:18.000 --> 00:02:21.000]  去了解當中的含義呢
[00:02:21.000 --> 00:02:24.000]  我們一起都成為好撒瑪利亞人
[00:02:24.000 --> 00:02:26.000]  在我們人生當中
[00:02:26.000 --> 00:02:29.000]  但是比起一般社會階層
[00:02:29.000 --> 00:02:32.000]  所認為的好撒瑪利亞人
[00:02:32.000 --> 00:02:34.000]  是有更深的一個含義
[00:02:34.000 --> 00:02:37.000]  或者有一個更深層的意思
[00:02:37.000 --> 00:02:40.000]  讓我們一同去了解和活出來
[00:02:40.000 --> 00:02:42.000]  所以我們先來看看這段的記載
[00:02:42.000 --> 00:02:45.000]  由老家方第十章的二十五節
[00:02:45.000 --> 00:02:48.000]  我們一起看到第三十七節
[00:02:48.000 --> 00:02:51.000]  不如我們用啟應的方式讀出來
[00:02:51.000 --> 00:02:52.000]  我先讀一節
[00:02:52.000 --> 00:02:54.000]  請弟兄姊妹讀一節
[00:02:54.000 --> 00:02:57.000]  我們一起讀完這十幾節的聖經
[00:02:57.000 --> 00:03:00.000]  第十章的二十五節
[00:03:00.000 --> 00:03:04.000]  有一個律法師起來試探耶穌
[00:03:04.000 --> 00:03:09.000]  說:夫子,我該做什麼才可以承受永生?
[00:03:09.000 --> 00:03:10.000]  請讀
[00:03:10.000 --> 00:03:12.000]  耶穌對耶穌說:
[00:03:12.000 --> 00:03:15.000]  老爸,上社的是什麼?
[00:03:15.000 --> 00:03:18.000]  你念的是什麼?
[00:03:18.000 --> 00:03:19.000]  他回答說:
[00:03:19.000 --> 00:03:22.000]  你要盡心、盡性、盡力、盡意
