
[00:00:00.000 --> 00:00:05.000]  鄧小姐妹,平安!在我們開始之前,或者我們一齊去祈禱
[00:00:05.000 --> 00:00:11.000]  親愛的主,我們多謝祢,多謝祢讓我們踏入新的一年
[00:00:11.000 --> 00:00:17.000]  好讓我們能夠很安然、很寧靜地去敬拜祢
[00:00:17.000 --> 00:00:20.000]  我們求主祢的靈與我們同在
[00:00:20.000 --> 00:00:25.000]  讓我們將我們一切煩擾我們的心思意念,我們先放下
[00:00:25.000 --> 00:00:31.000]  讓我們去聽主祢自己的話語,祈禱,奉我主耶穌名求,阿們
[00:00:31.000 --> 00:00:39.000]  我們很快就踏入2023年,今天已經是1月的第二個星期主日
[00:00:39.000 --> 00:00:50.000]  我們回想從2019年到現在有三年多的時間,這個疫情仍然存在
[00:00:50.000 --> 00:00:58.000]  不過很多事情都正在變化,所以大家都可能會存在一個很期盼的心情
[00:00:58.000 --> 00:01:02.000]  希望我們今年比去年更好
[00:01:02.000 --> 00:01:11.000]  話說在香港每年初一都有一個不知什麼嬰兒依依都要去黃大孫
[00:01:11.000 --> 00:01:18.000]  趕著去第一個頭柱鄉,希望可以來祈福
[00:01:18.000 --> 00:01:23.000]  能夠一年都好運
[00:01:23.000 --> 00:01:28.000]  我們中國人都很著重福
[00:01:28.000 --> 00:01:35.000]  我們看到很多傳統家庭都會貼一些「揮春有福」字
[00:01:35.000 --> 00:01:46.000]  所以我記得以前每年都會在電視機聽到警務處提醒一些長者
[00:01:46.000 --> 00:01:51.000]  或者一些人士要留意一些祈福黨
[00:01:51.000 --> 00:02:02.000]  有些人做了一些統計,在中國,香港,台灣,包括澳洲都很多祈福黨的出現
[00:02:02.000 --> 00:02:07.000]  這些人是專門找一些對象
[00:02:07.000 --> 00:02:14.000]  這些對象是一些年長的老人家,一些婦女
[00:02:14.000 --> 00:02:18.000]  或者一些警覺性不高的人
[00:02:18.000 --> 00:02:24.000]  或者很多時候都會受一些羊群心理影響
[00:02:24.000 --> 00:02:30.000]  他們會成為一個隊工,兩三個,通常都是三個
[00:02:30.000 --> 00:02:34.000]  一個就好像扮神醫一樣,一個就是他的助手
[00:02:34.000 --> 00:02:37.000]  一個就好像在吹水一樣
[00:02:37.000 --> 00:02:45.000]  「我現在找人醫治,這個好啊」,令到你旁邊的人聽到「原來這個人可以幫助我」
[00:02:45.000 --> 00:02:49.000]  「我給點錢他就可以消災解難了」
[00:02:49.000 --> 00:02:52.000]  於是很多時候就上吊了
[00:02:52.000 --> 00:02:57.000]  每年都有很多這些個案,在電視機都順順提醒
[00:02:57.000 --> 00:02:59.000]  特別是過年期間
[00:02:59.000 --> 00:03:04.000]  原來每一個人都很期望有一個福
[00:03:04.000 --> 00:03:09.000]  原來我們所信的神都很樂意賜福給我們
[00:03:09.000 --> 00:03:14.000]  神的創造就已經讓我們人類享受他的福祉
[00:03:14.000 --> 00:03:22.000]  今天我也想跟大家分享積著保羅在他的書信裡提醒我們
[00:03:22.000 --> 00:03:26.000]  我們基督徒也可以有一個蒙福的人生
[00:03:26.000 --> 00:03:36.000]  菲臘比書在《仕途人傳》第十六章都很詳細地去記載菲臘比教會建立的經過
[00:03:36.000 --> 00:03:42.000]  菲臘比教會是由保羅、提摩太路加西拉所建立的
[00:03:42.000 --> 00:03:46.000]  保羅當他在第二次旅行報道的時候
[00:03:46.000 --> 00:03:50.000]  原來他計劃要去小亞細亞,即是去土耳其
[00:03:50.000 --> 00:03:52.000]  去那邊傳道
[00:03:52.000 --> 00:03:56.000]  但是神給了他馬其頓的異象
[00:03:56.000 --> 00:04:02.000]  讓他從那時候開始建立菲臘比教會
[00:04:02.000 --> 00:04:06.000]  我們都知道菲臘比書大家都很溫馨的
[00:04:06.000 --> 00:04:08.000]  如果你有看過
[00:04:08.000 --> 00:04:12.000]  你會看到是很親切的
[00:04:12.000 --> 00:04:18.000]  因為看到保羅當他建立菲臘比教會之後
[00:04:18.000 --> 00:04:22.000]  之前因為他每次旅行報道
[00:04:22.000 --> 00:04:26.000]  他去到一個新的地方都會去會堂裏面做報道工作
[00:04:26.000 --> 00:04:29.000]  但是在菲臘比沒有這個會堂
[00:04:29.000 --> 00:04:32.000]  所以他就去到河邊去做報道
[00:04:32.000 --> 00:04:34.000]  就遇到呂底亞
[00:04:34.000 --> 00:04:36.000]  大家熟悉聖經都知道
[00:04:36.000 --> 00:04:39.000]  就開始了他第一批的信徒
[00:04:39.000 --> 00:04:43.000]  然後保羅又再去報道的時候
[00:04:43.000 --> 00:04:47.000]  保羅曾經和西拉也都在獄中去禱告
[00:04:47.000 --> 00:04:53.000]  於是在獄中也都帶領一些獄中的家人來順著
[00:04:53.000 --> 00:04:57.000]  如是者我們看到保羅一直去做這個報道工作
[00:04:57.000 --> 00:04:59.000]  他也去建立教會
[00:04:59.000 --> 00:05:03.000]  在菲臘比書裏面我們看到
[00:05:03.000 --> 00:05:07.000]  保羅和他的信徒的關係是很密切
[00:05:07.000 --> 00:05:11.000]  他時時去為他的信徒去禱告
[00:05:11.000 --> 00:05:15.000]  他也都去計劃他們的事情
[00:05:15.000 --> 00:05:18.000]  而信徒也都很愛他的牧者
[00:05:18.000 --> 00:05:23.000]  甚至有打發以巴忽提利去幫助他
[00:05:23.000 --> 00:05:27.000]  所以我們看到他們兩個之間是很親密的
[00:05:27.000 --> 00:05:31.000]  其實如果從這個教會歷史去看
[00:05:31.000 --> 00:05:36.000]  保羅去留在菲臘比的時候不是很多不是很長
[00:05:36.000 --> 00:05:41.000]  但是他是很深愛教會很深愛信徒
[00:05:41.000 --> 00:05:46.000]  我們一會兒看到在這個書信裏面
[00:05:46.000 --> 00:05:49.000]  保羅他怎樣去勉勵弟兄姊妹
[00:05:49.000 --> 00:05:53.000]  讓他能夠可以有一個蒙福的生命呢
[00:05:53.000 --> 00:05:56.000]  我們剛才主席和我們讀了
[00:05:56.000 --> 00:06:01.000]  我們也看回經文放回這個經文出來
[00:06:01.000 --> 00:06:08.000]  保羅一開始就已經去表達他對弟兄姊妹的問候
[00:06:08.000 --> 00:06:10.000]  是很親切的
[00:06:10.000 --> 00:06:14.000]  他是用弟兄門包括弟兄姊妹
[00:06:14.000 --> 00:06:19.000]  讓他們能夠像一家人一樣去慰問
[00:06:19.000 --> 00:06:25.000]  而保羅當時也都很詳細的去解說他所遭遇
[00:06:25.000 --> 00:06:30.000]  大家都知道當保羅寫這個菲臘比書的時候
[00:06:30.000 --> 00:06:32.000]  是在監獄裏面去寫的
[00:06:32.000 --> 00:06:38.000]  他要去向教會的信徒弟兄姊妹再次提醒
[00:06:38.000 --> 00:06:42.000]  讓他們知道他所遭遇的事
[00:06:42.000 --> 00:06:46.000]  願意能夠是神藉著他所經歷的
[00:06:46.000 --> 00:06:48.000]  能夠讓這個福音更加興旺
[00:06:48.000 --> 00:06:51.000]  保羅坐牢不是因為他是政治犯
[00:06:51.000 --> 00:06:53.000]  不是因為他犯了什麼罪
[00:06:53.000 --> 00:06:55.000]  以致他被鎖
[00:06:55.000 --> 00:07:00.000]  那是因為他要傳揚耶穌的名來被捉
[00:07:00.000 --> 00:07:05.000]  所以當保羅再次去和弟兄姊妹表達
[00:07:05.000 --> 00:07:09.000]  告訴他們的時候就像是一個安慰
[00:07:09.000 --> 00:07:10.000]  你們不用擔心
[00:07:10.000 --> 00:07:15.000]  我所遭遇的事其實是福音能夠更加興旺
[00:07:15.000 --> 00:07:17.000]  有時候人就會覺得很奇怪
[00:07:17.000 --> 00:07:20.000]  已經是在被迫迫的環境裏面
[00:07:20.000 --> 00:07:22.000]  為什麼福音會興旺呢
[00:07:22.000 --> 00:07:27.000]  我們回想看中國大陸以前
[00:07:27.000 --> 00:07:31.000]  有一段時間都是文革後福音
[00:07:31.000 --> 00:07:34.000]  教會不可以存在
[00:07:34.000 --> 00:07:37.000]  但是一路改革一路改革
[00:07:37.000 --> 00:07:39.000]  我們就發現在那個環境的底下
[00:07:39.000 --> 00:07:40.000]  有很多地下教會
[00:07:40.000 --> 00:07:41.000]  有很多家庭教會
[00:07:41.000 --> 00:07:43.000]  後來當他們開放的時候
[00:07:43.000 --> 00:07:47.000]  好像如春筍一樣
[00:07:47.000 --> 00:07:50.000]  這些花開結果
[00:07:50.000 --> 00:07:54.000]  能夠讓這些教會更加興旺
[00:07:54.000 --> 00:07:57.000]  今天雖然時代也有些改變
[00:07:57.000 --> 00:07:58.000]  我們不知道
[00:07:58.000 --> 00:07:59.000]  不過我們確信
[00:07:59.000 --> 00:08:03.000]  我們所信的神是掌管一切的主宰
[00:08:03.000 --> 00:08:06.000]  讓我們所經歷的事
[00:08:06.000 --> 00:08:08.000]  都有他的心意
[00:08:08.000 --> 00:08:11.000]  所以保羅在這裏再次告訴大家
[00:08:11.000 --> 00:08:13.000]  我所經歷的事
[00:08:13.000 --> 00:08:15.000]  是能夠讓福音興旺
[00:08:15.000 --> 00:08:17.000]  我們都知道在那個背景
[00:08:17.000 --> 00:08:22.000]  因為保羅有羅馬公民籍
