
[00:00:00.000 --> 00:00:02.940]  各位電視媒我們今天會接續再思想
[00:00:02.940 --> 00:00:06.200]  聖彼我們十誡當中的第四誡
[00:00:06.200 --> 00:00:08.680]  或者說第四句的說話
[00:00:08.680 --> 00:00:09.840]  大家都會知道
[00:00:09.840 --> 00:00:13.600]  「當紀念安息日,守為聖人」
[00:00:13.600 --> 00:00:16.560]  是聖彼我們第四誡
[00:00:16.560 --> 00:00:18.080]  當然我們都會問一個問題
[00:00:18.080 --> 00:00:21.320]  就是究竟什麼是安息日呢?
[00:00:21.320 --> 00:00:24.600]  安息日的意義在哪裡呢?
[00:00:24.600 --> 00:00:28.480]  如果說我們說守安息日為聖
[00:00:28.480 --> 00:00:32.680]  那為什麼安息日是聖日呢?
[00:00:32.680 --> 00:00:35.360]  如果我們在新約的時代的基督徒
[00:00:35.360 --> 00:00:37.120]  要守安息日
[00:00:37.120 --> 00:00:40.560]  那究竟怎麼守是恰當呢?
[00:00:40.560 --> 00:00:43.720]  我相信都是我們很想能在聖經裡
[00:00:43.720 --> 00:00:47.360]  一起尋求的一個方向
[00:00:47.360 --> 00:00:48.800]  我們首先看回就是
[00:00:48.800 --> 00:00:52.240]  當我們剛讀到出一及記二十章的時候
[00:00:52.240 --> 00:00:57.760]  你會留意到聖經裡提到創世和安息
[00:00:57.760 --> 00:01:00.400]  我們會看到一個很重要的訊息
[00:01:00.400 --> 00:01:05.440]  就是神在創造當中是剋聖了邪惡
[00:01:05.440 --> 00:01:08.320]  不單單祂完成創造之功
[00:01:08.320 --> 00:01:10.680]  祂是剋聖了邪惡
[00:01:10.680 --> 00:01:13.120]  帶來了圓滿
[00:01:13.120 --> 00:01:14.840]  成就了一切
[00:01:14.840 --> 00:01:17.960]  因此祂安息
[00:01:17.960 --> 00:01:20.880]  剛才我們說安息日是什麼呢?
[00:01:20.880 --> 00:01:23.120]  最基本從聖經裡所說
[00:01:23.120 --> 00:01:28.000]  就是停止了你日常的工作
[00:01:28.000 --> 00:01:31.600]  六天所做的事情停止了
