
[00:00:00.000 --> 00:00:04.140]  我不知道在過去這段時間
[00:00:04.140 --> 00:00:08.420]  差不多有五個月的時間
[00:00:08.420 --> 00:00:14.040]  發生的事情會不會令到你對信仰
[00:00:14.040 --> 00:00:19.640]  對神產生了一個信心的危機
[00:00:19.640 --> 00:00:25.720]  我記得和大家分享過哈巴谷先知的事情
[00:00:25.720 --> 00:00:30.100]  大家知道哈巴谷先知他所面對當時的處境
[00:00:30.100 --> 00:00:32.600]  都是很惡劣 都是很困難
[00:00:32.600 --> 00:00:36.400]  因為當時神竟然容許加勒底人
[00:00:36.400 --> 00:00:38.120]  即是巴比倫人
[00:00:38.120 --> 00:00:43.120]  對神的選民有很大的攻擊
[00:00:43.120 --> 00:00:45.700]  所以他看到的時候覺得
[00:00:45.700 --> 00:00:48.700]  不明白為何神容許
[00:00:48.700 --> 00:00:52.520]  一個比以色列民更差的一班人
[00:00:52.520 --> 00:00:55.120]  去懲罰神的選民
[00:00:55.920 --> 00:01:00.680]  同樣今日我們面對一個我們都不知道
[00:01:00.680 --> 00:01:05.720]  何時才完結的香港的情況
[00:01:05.720 --> 00:01:09.920]  當我們發現我們很多的聚會
[00:01:09.920 --> 00:01:12.120]  差不多晚間的聚會
[00:01:12.120 --> 00:01:18.280]  都因為社會的情況我們都會受影響的時候
[00:01:18.280 --> 00:01:20.080]  我們再問一下
[00:01:20.080 --> 00:01:25.400]  究竟我們的信仰是建基於甚麼上面呢?
[00:01:25.400 --> 00:01:32.160]  我們的信仰是否建基於一些屬靈的聚會上面呢?
[00:01:32.160 --> 00:01:37.480]  我們的信仰是否建基於一些宗教的領袖
[00:01:37.480 --> 00:01:40.760]  去給我們一些信息呢?
[00:01:40.760 --> 00:01:43.960]  我們的信仰是否建基於
[00:01:43.960 --> 00:01:48.480]  我們說我們要為公平公義去發聲
[00:01:48.480 --> 00:01:50.480]  甚至我們去行動呢?
[00:01:50.480 --> 00:01:54.760]  可能大家在這個情況裏面
[00:01:54.760 --> 00:01:57.840]  都有不同的表達
[00:01:57.840 --> 00:02:01.240]  甚至在我們的情感上
[00:02:01.240 --> 00:02:04.640]  我們都有高低起伏
[00:02:04.640 --> 00:02:09.560]  但是今日讓我們在這個信仰的危機當中
[00:02:09.560 --> 00:02:13.920]  再一次檢視我們自己的生命
[00:02:13.920 --> 00:02:18.920]  究竟我們的信心建基於甚麼地方呢?
[00:02:18.920 --> 00:02:21.000]  其實當我們信耶穌的時候
[00:02:21.000 --> 00:02:25.240]  我們已經是決志說我們要跟隨耶穌
[00:02:25.240 --> 00:02:31.120]  因為我們相信耶穌帶給我們永生
[00:02:31.120 --> 00:02:32.800]  很多時候我們都會說
[00:02:32.800 --> 00:02:36.440]  永生只是將來我死後之前
[00:02:36.440 --> 00:02:38.440]  死後發生的事情
[00:02:38.440 --> 00:02:41.040]  永生可能和我們今日
[00:02:41.040 --> 00:02:45.840]  我們所面對的事情是沒有甚麼關係
[00:02:45.840 --> 00:02:47.440]  但是我們的神
[00:02:47.440 --> 00:02:50.320]  但是我們的信仰告訴我們
[00:02:50.320 --> 00:02:52.880]  今日我們所遭遇的
[00:02:52.880 --> 00:02:54.720]  和我們的信仰
[00:02:54.720 --> 00:03:00.200]  和我們的生命是有很密切的關係
[00:03:00.200 --> 00:03:05.000]  當我們說我們決志跟隨主的時候
[00:03:05.000 --> 00:03:08.560]  其實就是一個我們要謙卑自己
[00:03:08.560 --> 00:03:12.360]  我們要回轉歸向神的時刻
[00:03:12.360 --> 00:03:14.360]  這個回轉歸向神
[00:03:14.360 --> 00:03:18.840]  不是只是說我們信主那一刻
[00:03:18.840 --> 00:03:22.080]  其實我們回轉歸向神這個行動
[00:03:22.080 --> 00:03:26.520]  是需要我們時時刻刻在神的面前
[00:03:26.520 --> 00:03:28.760]  有這種的醒覺
[00:03:28.760 --> 00:03:30.920]  有這種的反省
[00:03:30.920 --> 00:03:32.480]  有這種的留心
[00:03:32.480 --> 00:03:34.160]  我們今日屬神的兒女
[00:03:34.160 --> 00:03:37.160]  和這個世界的人不同的地方
[00:03:37.160 --> 00:03:39.880]  就是因為我們知道有神
[00:03:39.880 --> 00:03:41.880]  我們知道我們要敬畏神
[00:03:41.880 --> 00:03:44.240]  我知道我們的神乃是烈火
[00:03:44.240 --> 00:03:47.360]  我們的神是一個忌邪的神
[00:03:47.360 --> 00:03:51.160]  我們的神不是容許罪惡
[00:03:51.160 --> 00:03:54.480]  和任意妄為的事情的神
[00:03:54.480 --> 00:03:58.200]  我們的神是必追討人的罪
[00:03:58.200 --> 00:04:00.520]  直到三、四代
[00:04:00.520 --> 00:04:03.600]  當然我們也知道我們的神
[00:04:03.600 --> 00:04:07.000]  是對人有施憐憫和慈愛
[00:04:07.000 --> 00:04:09.960]  直到千代
[00:04:09.960 --> 00:04:12.080]  神施憐憫的基礎
[00:04:12.080 --> 00:04:17.520]  就是因為人願意謙卑和回轉
[00:04:17.520 --> 00:04:19.200]  我不知道大家最近
[00:04:19.200 --> 00:04:22.400]  如果你是每天讀經識異的時候
[00:04:22.400 --> 00:04:26.400]  你會讀到一個猶大王
[00:04:26.400 --> 00:04:28.640]  馬拿西
[00:04:28.640 --> 00:04:32.600]  馬拿西這個皇帝很早就登基
[00:04:32.600 --> 00:04:38.040]  他差不多作了皇55年一段很長的時間
[00:04:38.040 --> 00:04:41.760]  但是他沒有跟隨他的父親希西加
[00:04:41.760 --> 00:04:45.680]  作耶和華眼中看為正的事
[00:04:45.680 --> 00:04:52.680]  相反他所做的比以前所有諸王更惡劣
[00:04:52.680 --> 00:04:57.440]  他所信的所講的完全都是背道而行
[00:04:57.440 --> 00:05:01.360]  甚至他信這些占卜
[00:05:01.360 --> 00:05:04.000]  邪術的事情
[00:05:04.000 --> 00:05:06.040]  冠天杖的事情
[00:05:06.040 --> 00:05:10.560]  讓自己的人民子女驚火的事情
[00:05:10.560 --> 00:05:14.120]  即是說憲制燒了他的生命
[00:05:14.120 --> 00:05:15.400]  燒了別人的生命
[00:05:15.400 --> 00:05:19.160]  去獻祭給他們當時所信的神
[00:05:19.160 --> 00:05:23.000]  我們很難了解馬拿西
[00:05:23.000 --> 00:05:27.080]  他這麼改變這麼差的原因是什麼
[00:05:27.080 --> 00:05:29.200]  我不知道大家讀的時候
[00:05:29.200 --> 00:05:30.720]  你會不會都有很多的問題
[00:05:30.720 --> 00:05:33.680]  我自己都很大的疑問
[00:05:33.680 --> 00:05:35.840]  他明明有一個好的父親
[00:05:35.840 --> 00:05:38.440]  對他有一個好的影響的應該
[00:05:38.440 --> 00:05:43.000]  但是他所做的卻是背道而馳
[00:05:43.000 --> 00:05:46.120]  會不會今天在我們的生命裏面
[00:05:46.120 --> 00:05:49.640]  我們看到有很多值得我們去欣賞
[00:05:49.640 --> 00:05:53.800]  去跟隨的先賢信仰的前輩
[00:05:53.800 --> 00:05:55.600]  但是我們卻是沒有去跟隨
[00:05:55.600 --> 00:05:59.480]  我們卻是走世人要走的道路
[00:05:59.480 --> 00:06:06.960]  我們竟然還做比世人更不如的事情
