
[00:00:00.000 --> 00:00:02.000]  鄧麗芝,平安!
[00:00:02.000 --> 00:00:08.000]  首先在這裡向大家送上在主裡面的問候
[00:00:08.000 --> 00:00:10.000]  特別在疫情當中
[00:00:10.000 --> 00:00:14.000]  願主的看顧保守
[00:00:14.000 --> 00:00:18.000]  常與大家同在
[00:00:18.000 --> 00:00:22.000]  我今天揀選了這一個主題
[00:00:22.000 --> 00:00:24.000]  「奇妙的保護」
[00:00:24.000 --> 00:00:29.000]  我相信我們每一個人都很需要在主裡面
[00:00:29.000 --> 00:00:31.000]  特別在疫情當中
[00:00:31.000 --> 00:00:34.000]  有主的保護
[00:00:34.000 --> 00:00:39.000]  在講道之先,讓我們再一次同心圖告
[00:00:39.000 --> 00:00:44.000]  慈悲人,我天父上帝,我們感謝你
[00:00:44.000 --> 00:00:49.000]  因為你將寶貴的話語賜給我們
[00:00:49.000 --> 00:00:54.000]  你的話語就是我們人生的路標
[00:00:54.000 --> 00:00:58.000]  也讓我們能夠找到人生的意義
[00:00:58.000 --> 00:01:01.000]  主,當我們打開你的話語的時候
[00:01:01.000 --> 00:01:07.000]  願意我們每一個人都存著一個謙卑受教的心
[00:01:07.000 --> 00:01:10.000]  我們願意在主你的話語裡面
[00:01:10.000 --> 00:01:13.000]  找到亮光,找到力量
[00:01:13.000 --> 00:01:16.000]  求主你的靈去幫助我們
[00:01:16.000 --> 00:01:18.000]  多謝你聽我們的祈禱
[00:01:18.000 --> 00:01:22.000]  奉耶穌基督聖名祈求,阿們
[00:01:23.000 --> 00:01:29.000]  每一個人的心裡面都渴望有一種安全感
[00:01:29.000 --> 00:01:34.000]  你搭巴士,你坐船,你搭飛機
[00:01:34.000 --> 00:01:36.000]  你都希望是安全的
[00:01:36.000 --> 00:01:39.000]  安全感在哪裡來呢?
[00:01:39.000 --> 00:01:41.000]  安全感就是來自你知道
[00:01:41.000 --> 00:01:45.000]  在機器的運作背後
[00:01:45.000 --> 00:01:51.000]  是有人,又有一些監察的制度
[00:01:51.000 --> 00:01:55.000]  令到那個運作是安全的
[00:01:55.000 --> 00:01:59.000]  但是如果當人或者機器
[00:01:59.000 --> 00:02:03.000]  或者監察制度是失效的時候
[00:02:03.000 --> 00:02:07.000]  那就會變成不安全了
[00:02:07.000 --> 00:02:12.000]  最近香港一場演唱會的意外事件
[00:02:12.000 --> 00:02:17.000]  成為國際新聞,就是這個原因
[00:02:17.000 --> 00:02:19.000]  在人生的旅途當中
[00:02:19.000 --> 00:02:26.000]  我們知道意外和危險是不能避免的
[00:02:26.000 --> 00:02:32.000]  但是在跟隨神的道路又是怎樣的呢?
[00:02:32.000 --> 00:02:34.000]  有人就是說
[00:02:34.000 --> 00:02:39.000]  如果你越渴慕聖潔
[00:02:39.000 --> 00:02:42.000]  你受的試探就越多
[00:02:42.000 --> 00:02:45.000]  如果你越渴慕神
[00:02:45.000 --> 00:02:49.000]  你受撒旦的攻擊就越厲害
[00:02:49.000 --> 00:02:51.000]  所以跟隨神的道路
[00:02:51.000 --> 00:02:54.000]  有些人就覺得是充滿危險
[00:02:54.000 --> 00:02:56.000]  充滿艱難的
[00:02:56.000 --> 00:03:01.000]  因為這一場是一場屬靈的爭戰
[00:03:01.000 --> 00:03:06.000]  所以我們是很需要上帝的保護
[00:03:06.000 --> 00:03:08.000]  弟兄姊妹
[00:03:08.000 --> 00:03:12.000]  作為跟隨耶穌的天路客
[00:03:12.000 --> 00:03:17.000]  不知道你的經歷又是怎樣的呢?
[00:03:17.000 --> 00:03:21.000]  昔日的朝聖客
[00:03:21.000 --> 00:03:23.000]  他們又怎樣呢?
[00:03:23.000 --> 00:03:29.000]  他們每年都要到耶路撒冷去朝聖
