
[00:00:00.000 --> 00:00:01.560]  好 鄧師傅 大家早晨
[00:00:01.560 --> 00:00:03.800]  讓我們在聆聽主的說話之先
[00:00:03.800 --> 00:00:06.800]  讓我們一起同心低頭禱告
[00:00:06.800 --> 00:00:09.480]  將為心思意念交給我們的上主
[00:00:09.480 --> 00:00:10.320]  我們的神
[00:00:10.320 --> 00:00:16.840]  天父 多謝你讓我們再次回來
[00:00:16.840 --> 00:00:19.720]  在你寶貴說話的面前的學習
[00:00:19.720 --> 00:00:22.400]  在你的啟示當中
[00:00:22.400 --> 00:00:25.160]  讓我們學會如何去做一個
[00:00:25.160 --> 00:00:30.000]  按照主理正義而去活的基督徒
[00:00:30.000 --> 00:00:35.720]  求你讓我們每一個屬你的子民謹慎道日
[00:00:35.720 --> 00:00:38.720]  好使我們所行所想
[00:00:38.720 --> 00:00:42.440]  在平日的生命生活的當中
[00:00:42.440 --> 00:00:44.640]  都能夠成為主理的見證
[00:00:44.640 --> 00:00:46.680]  合乎主用
[00:00:46.680 --> 00:00:49.000]  求你的帶領
[00:00:49.000 --> 00:00:53.400]  無論在網絡上面連結我們的大興子媒
[00:00:53.400 --> 00:00:55.960]  以及在實體崇拜的每一個
[00:00:55.960 --> 00:00:58.200]  在祈求主理的帶領
[00:00:58.200 --> 00:01:00.200]  讓我們每一個都能夠
[00:01:00.200 --> 00:01:05.000]  再次在這個屬靈的學習過程當中
[00:01:05.000 --> 00:01:07.680]  有聖靈管束著我們
[00:01:07.680 --> 00:01:10.200]  亦都呼籲我們力量
[00:01:10.200 --> 00:01:16.000]  能夠一同去活出一個合神生義的生命
[00:01:16.000 --> 00:01:18.680]  禱告奉靠主耶穌基督
[00:01:18.680 --> 00:01:20.360]  得聖的名字而靠
[00:01:20.360 --> 00:01:21.240]  打門
[00:01:23.440 --> 00:01:28.360]  信主本來是一件非常嚴肅的事情
[00:01:28.360 --> 00:01:32.560]  是需要帶著很謹慎
[00:01:32.560 --> 00:01:35.880]  以及一個很尊重的態度
[00:01:35.880 --> 00:01:39.400]  來去相信我們這位上主
[00:01:39.400 --> 00:01:41.480]  走這條屬靈的道路
[00:01:41.480 --> 00:01:45.320]  不過不知道什麼時候開始
[00:01:45.320 --> 00:01:49.640]  教會就有很多的信徒
[00:01:49.640 --> 00:01:53.640]  帶著一種嬉戲的心態
[00:01:53.640 --> 00:01:58.120]  來過著嬉戲的屬靈生命生活
[00:01:58.120 --> 00:02:02.200]  於是乎很多的信徒就開始
[00:02:02.200 --> 00:02:05.960]  來對上帝很多時候
[00:02:05.960 --> 00:02:09.840]  作出一些不尊重的行為
[00:02:09.840 --> 00:02:13.400]  以前我都不覺得
[00:02:13.400 --> 00:02:15.680]  但是我最近我會發覺到
[00:02:15.680 --> 00:02:17.080]  甚至很多信徒
[00:02:17.080 --> 00:02:20.200]  其實跟不信的信徒的表現
[00:02:20.200 --> 00:02:22.280]  都不無兩樣
[00:02:22.280 --> 00:02:26.360]  甚至將上帝的名字拿來使用
[00:02:26.360 --> 00:02:29.480]  最近我跟一位牧者聊天
[00:02:29.480 --> 00:02:34.080]  究竟聖經裡面應該怎樣去稱呼我們的上帝
[00:02:34.080 --> 00:02:35.840]  還是稱為神呢
[00:02:35.840 --> 00:02:40.360]  其實在聖經裡面都有很嚴謹的一個界定
[00:02:40.360 --> 00:02:44.160]  當我在神學院讀書的時候
[00:02:44.960 --> 00:02:48.320]  我們班當中不單止一班基督徒
[00:02:48.320 --> 00:02:52.240]  甚至有一些未信主的人
[00:02:52.240 --> 00:02:57.080]  以及一些猶太人的信徒
[00:02:57.080 --> 00:02:59.120]  他們都會來上課的
[00:02:59.120 --> 00:03:03.160]  特別當我們讀到《舊約聖經》的時候
[00:03:03.160 --> 00:03:05.920]  每每讀到在《舊約聖經》裡面
[00:03:05.920 --> 00:03:10.080]  出現四個希伯來文的字母
[00:03:10.080 --> 00:03:14.960]  喲 希 嘩 希這四個字母的時候
[00:03:14.960 --> 00:03:17.160]  其實這個名字
[00:03:17.160 --> 00:03:22.360]  這四個字母象徵著耶和華這個名稱
[00:03:22.360 --> 00:03:27.440]  但是猶太人對這個名字實在太尊重
[00:03:27.440 --> 00:03:29.440]  所以他們不會讀這個名字
[00:03:29.440 --> 00:03:31.520]  不會好像很多基督徒
[00:03:31.520 --> 00:03:34.520]  甚至很多神學家這樣說
[00:03:34.520 --> 00:03:35.680]  這個就是「丫維」
[00:03:35.680 --> 00:03:37.600]  不會這樣讀的
[00:03:37.600 --> 00:03:42.120]  他們會將這個字讀為「亞度奈」
[00:03:42.120 --> 00:03:43.240]  「亞度奈」是什麼意思?
[00:03:43.240 --> 00:03:45.560]  是一個希臘文的發音
[00:03:45.560 --> 00:03:47.880]  就是「主」的意思
[00:03:47.880 --> 00:03:51.440]  他不會直稱上帝的名稱
[00:03:51.440 --> 00:03:54.800]  我記得好像我們小時候一樣
[00:03:54.800 --> 00:03:57.880]  我們不會直稱我們父母的名稱
[00:03:57.880 --> 00:04:01.920]  你敢不敢跟你父母說
[00:04:01.920 --> 00:04:03.560]  譬如我爸爸
[00:04:03.560 --> 00:04:05.000]  我可以公開我爸爸
[00:04:05.000 --> 00:04:07.480]  我爸爸的名字很普通而已
[00:04:07.480 --> 00:04:10.680]  他叫「黃師傅」
[00:04:10.680 --> 00:04:12.240]  我不會跟我爸爸說
[00:04:12.240 --> 00:04:13.400]  「黃師傅」
[00:04:13.400 --> 00:04:15.200]  我不會這樣說的
[00:04:15.200 --> 00:04:17.240]  我會很尊重爸爸
[00:04:17.240 --> 00:04:21.080]  我會用一個取締的字眼去稱呼他
[00:04:21.080 --> 00:04:22.520]  同樣的道理
[00:04:22.520 --> 00:04:24.480]  猶太人都是一樣的
[00:04:24.480 --> 00:04:25.920]  所以我們在課堂上
[00:04:25.920 --> 00:04:29.240]  每每讀到「喲 希 嘩 希」
