
[00:00:00.000 --> 00:00:02.960]  聽知每早神很高興再次能夠在主日的時間
[00:00:02.960 --> 00:00:05.960]  與大家一起去研讀主的說話
[00:00:05.960 --> 00:00:08.000]  一起去默想主的教訓
[00:00:08.000 --> 00:00:10.080]  並且能夠更加明白我們的主
[00:00:10.080 --> 00:00:12.160]  我們的神是怎樣的位主
[00:00:12.160 --> 00:00:14.120]  讓我們開始聽神的道義
[00:00:14.120 --> 00:00:17.720]  讓我們再次以禱告打開我們今天應派的時間
[00:00:17.720 --> 00:00:20.440]  讓我們一起同心的禱告
[00:00:20.440 --> 00:00:21.560]  為親愛的父神多謝你
[00:00:21.560 --> 00:00:26.240]  讓我們能夠再次來到你的施恩座的面前
[00:00:26.240 --> 00:00:29.640]  能夠一同去學習主理的教導
[00:00:29.640 --> 00:00:32.920]  藉著你的仕途保羅
[00:00:32.920 --> 00:00:35.920]  怎樣將你介紹給我們知道
[00:00:35.920 --> 00:00:39.520]  並且使同我們能夠好好今天預備
[00:00:39.520 --> 00:00:41.920]  能夠在永恆的當中與你同活
[00:00:41.920 --> 00:00:45.160]  我們再次將這段寶貴的時間交上
[00:00:45.160 --> 00:00:46.720]  求你與我們同在
[00:00:46.720 --> 00:00:48.840]  我們親愛的父神多謝你
[00:00:48.840 --> 00:00:52.280]  能夠讓我們再次能夠打開你的話語
[00:00:52.280 --> 00:00:56.960]  一起來到默想了解認識你是一位怎麼樣主
[00:00:56.960 --> 00:01:00.280]  何時我們今天開始來到學校預備
[00:01:00.280 --> 00:01:02.920]  來到在永恆的裡面與你同住
[00:01:02.920 --> 00:01:04.480]  求你的幫助
[00:01:04.480 --> 00:01:06.160]  我們親愛的父神多謝你
[00:01:06.160 --> 00:01:08.640]  讓我們有一個時間
[00:01:08.640 --> 00:01:11.240]  讓我們可以轉到你的話語
[00:01:11.240 --> 00:01:12.520]  讀你的話語
[00:01:12.520 --> 00:01:14.640]  通過你的聖經
[00:01:14.640 --> 00:01:17.920]  讓我們能夠了解你是誰
[00:01:17.920 --> 00:01:20.520]  讓我們知道如何準備好
[00:01:20.520 --> 00:01:22.520]  活在永恆之中
[00:01:22.520 --> 00:01:26.520]  所以我們再次請求你的聖經與我們同在
[00:01:26.520 --> 00:01:29.000]  讓我們能夠了解你是誰
[00:01:29.000 --> 00:01:31.520]  我們在我們的主耶穌基督的名下祈禱
[00:01:31.520 --> 00:01:33.280]  我們同心會禱告感恩
