
[00:00:00.000 --> 00:00:04.040]  大家好,生命樹宣教網絡和大家一起讀聖經
[00:00:04.040 --> 00:00:11.080]  這段聖經大家都熟悉,就是看看哈拿發生了什麼事
[00:00:11.080 --> 00:00:15.920]  今天的聖經人聖經事,當然人物就是哈拿
[00:00:15.920 --> 00:00:20.560]  事情就是他看到自己有些事情沒有,很痛苦
[00:00:20.560 --> 00:00:25.480]  當然這段經文可以由多個角度去看
[00:00:25.480 --> 00:00:29.040]  最重要我們看到聖經的人物,聖經的故事
[00:00:29.040 --> 00:00:32.040]  看到上帝的手做了什麼
[00:00:32.040 --> 00:00:33.960]  我們下去聖經了
[00:00:33.960 --> 00:00:36.560]  聖母耳機上第一章
[00:00:36.560 --> 00:00:43.440]  「以法連三地的拉瑪所飛,有一個以法連人」
[00:00:43.440 --> 00:00:48.680]  即是這件事是屬於以法連之派
[00:00:48.680 --> 00:00:53.320]  名叫「以利加拿」
[00:00:53.320 --> 00:00:57.120]  「以利加拿」這個名字稍後再解釋
[00:00:57.120 --> 00:01:01.720]  「以法連三地的拉瑪所飛,有一個以法連人」
[00:01:01.720 --> 00:01:04.560]  名叫「以利加拿」
[00:01:04.560 --> 00:01:10.160]  是蘇忽的元孫,托胡的曾孫
[00:01:10.160 --> 00:01:15.680]  以利胡的孫子,耶羅罕的兒子
[00:01:15.680 --> 00:01:22.280]  其實讀聖經的人都沒有理會下面這兩行字
[00:01:22.280 --> 00:01:26.760]  誰是元孫,誰是曾孫,誰是孫,誰是兒子
[00:01:26.760 --> 00:01:28.680]  最重要是「以利加拿」
[00:01:28.680 --> 00:01:31.280]  「以利加拿」也沒有什麼人特別留意它
[00:01:31.280 --> 00:01:35.120]  只是留意它的兒子,不過還沒到
[00:01:35.120 --> 00:01:38.280]  它的兒子就是薩姆爾
[00:01:38.280 --> 00:01:44.560]  薩姆爾是寫關於路德記的
[00:01:44.560 --> 00:01:46.320]  我們剛剛讀完路德記
[00:01:46.320 --> 00:01:49.600]  我們剛剛每天看聖經下來
[00:01:49.600 --> 00:01:51.360]  聖經人、聖經事
[00:01:51.360 --> 00:01:55.200]  看完非常血腥混亂的史詩記之後
[00:01:55.200 --> 00:01:59.960]  就來到路德記
[00:01:59.960 --> 00:02:03.800]  路德記是一個很溫馨的愛情故事
[00:02:03.800 --> 00:02:08.560]  講述幾個人物很敬虔、很忠誠
[00:02:08.560 --> 00:02:11.320]  剛好與史詩記不同
[00:02:11.320 --> 00:02:13.120]  進入新的一頁
[00:02:13.120 --> 00:02:17.080]  就開始以色列中沒有王
[00:02:17.080 --> 00:02:19.880]  個人任意而行的史詩記開始引入
[00:02:19.880 --> 00:02:23.720]  薩姆爾記的故事
[00:02:23.720 --> 00:02:26.560]  重要的人物是薩姆爾記的爸爸
[00:02:26.560 --> 00:02:28.760]  「以利加拿」
[00:02:28.760 --> 00:02:29.960]  這是以法連人
[00:02:29.960 --> 00:02:34.120]  「以利加拿」這個字是什麼意思呢?
[00:02:34.120 --> 00:02:35.480]  「Elkanah」
[00:02:35.480 --> 00:02:38.520]  高音在後面,重音在後面
[00:02:38.520 --> 00:02:39.560]  「Elkanah」呢
[00:02:39.560 --> 00:02:42.080]  你知道「El」一有「el」
[00:02:42.080 --> 00:02:43.600]  就是「God」
[00:02:43.600 --> 00:02:46.920]  在希伯來文就是「神」
[00:02:46.920 --> 00:02:50.040]  「Elkanah」的意思就是
[00:02:50.040 --> 00:02:52.040]  「Elkanah」就是「以利加拿」
[00:02:52.040 --> 00:02:53.760]  「神已經擁有」
[00:02:53.760 --> 00:02:55.920]  或者「已經創造了」
