
[00:00:00.000 --> 00:00:06.000]  願上帝祝福我們在來臨的聖誕節真的是經歷祂的恩典
[00:00:06.000 --> 00:00:08.000]  我們感謝讚美神
[00:00:08.000 --> 00:00:10.000]  我們今天能夠聚集在祂的殿中
[00:00:10.000 --> 00:00:13.000]  一起來仰望祂 聆聽祂的道
[00:00:13.000 --> 00:00:15.000]  讓我們一起來禱告
[00:00:15.000 --> 00:00:18.000]  天父我們滿心感謝讚美祢
[00:00:18.000 --> 00:00:22.000]  天父啊 雖然我們已經信主了好多年
[00:00:22.000 --> 00:00:25.000]  神啊 讓我們回到福音的時候
[00:00:25.000 --> 00:00:31.000]  我們思想神啊 祢是怎麼樣將祢的愛帶來這個世界上
[00:00:31.000 --> 00:00:36.000]  我們求祢今天讓祢自己的話語向我們說話
[00:00:36.000 --> 00:00:40.000]  以致我們對祢的愛是日日的長新
[00:00:40.000 --> 00:00:44.000]  我們感謝祢 禱告奉主耶穌的名祈求 阿們
[00:00:44.000 --> 00:00:46.000]  各位觀眾朋友大家好
[00:00:46.000 --> 00:00:48.000]  我們今天要一起來思想
[00:00:48.000 --> 00:00:53.000]  耶穌的君王降生其實是挺撲朔迷離的
[00:00:53.000 --> 00:00:56.000]  讓我們一起來先看這一段的經文
[00:00:56.000 --> 00:01:02.000]  記載在馬太福音第一章第十八節到二十五節
[00:01:02.000 --> 00:01:04.000]  讓我念給大家聽
[00:01:04.000 --> 00:01:08.000]  耶穌基督降生的事 記在下面
[00:01:08.000 --> 00:01:12.000]  祂母親瑪利亞已經許配了約瑟
[00:01:12.000 --> 00:01:17.000]  還沒有迎娶 瑪利亞就從聖靈懷了孕
[00:01:17.000 --> 00:01:24.000]  她丈夫約瑟是個藝人 不願意明明的羞辱她
[00:01:24.000 --> 00:01:27.000]  想要暗暗的把她休了
[00:01:27.000 --> 00:01:30.000]  正思念這事的時候
[00:01:30.000 --> 00:01:35.000]  由主的使者向她夢中顯現
[00:01:35.000 --> 00:01:39.000]  說大衛的子孫約瑟不要怕
[00:01:39.000 --> 00:01:42.000]  只管娶過你的妻子瑪利亞來
[00:01:42.000 --> 00:01:46.000]  因她所懷的孕是從聖靈來的
[00:01:46.000 --> 00:01:49.000]  她將要生一個兒子
[00:01:49.000 --> 00:01:52.000]  你要給他起名叫耶穌
[00:01:52.000 --> 00:01:58.000]  因他要將自己的百姓從罪惡裡救出來
[00:01:58.000 --> 00:02:01.000]  這一切的事 成就
[00:02:01.000 --> 00:02:05.000]  是要應驗主藉先知所說的話
[00:02:05.000 --> 00:02:08.000]  說必有童女懷孕生子
[00:02:08.000 --> 00:02:12.000]  人要稱她的名為伊瑪內利
[00:02:12.000 --> 00:02:17.000]  伊瑪內利翻出來的就是神與我們同在
[00:02:17.000 --> 00:02:22.000]  約瑟醒了 起來就遵著主使者的吩咐
[00:02:22.000 --> 00:02:25.000]  把妻子娶過來
[00:02:25.000 --> 00:02:28.000]  只是沒有和她同房
[00:02:28.000 --> 00:02:33.000]  等了生了兒子就給他起名叫耶穌
[00:02:33.000 --> 00:02:37.000]  這是一段基督徒很熟悉的經文
[00:02:37.000 --> 00:02:42.000]  但是我不知道你有沒有跟我有同樣的感覺
[00:02:42.000 --> 00:02:47.000]  有些時候我們不知道聖經為什麼要記載這樣的一段經文
[00:02:47.000 --> 00:02:51.000]  讓我們在一些還沒有信耶穌的朋友面前
[00:02:51.000 --> 00:02:56.000]  不知道要怎麼樣的來回答一些的問題
[00:02:56.000 --> 00:02:58.000]  我的意思是說
[00:02:58.000 --> 00:03:02.000]  我們沒有否定這件事情是上帝讓它發生的
[00:03:02.000 --> 00:03:08.000]  但是你有沒有想過 上帝祂要拯救人類的方法
[00:03:08.000 --> 00:03:13.000]  為什麼要透過一個童女來懷孕
[00:03:13.000 --> 00:03:20.000]  童女在這裡的意思就是一個處女來懷孕
[00:03:20.000 --> 00:03:24.000]  有時候我們在解釋這段經文的時候
[00:03:24.000 --> 00:03:27.000]  可能跟朋友解釋的時候都有點臉紅
[00:03:27.000 --> 00:03:30.000]  我們不知道要怎麼樣的來解釋
[00:03:30.000 --> 00:03:33.000]  一個處女她要懷孕
[00:03:33.000 --> 00:03:38.000]  而且是要把我們的救主耶穌誕生
[00:03:38.000 --> 00:03:41.000]  聖經為什麼要記載這樣的經文呢
[00:03:41.000 --> 00:03:43.000]  它如果不記載在裡面
[00:03:43.000 --> 00:03:49.000]  我們不是更方便的來說這個救世主是一個怎樣的人
[00:03:49.000 --> 00:03:52.000]  就沒有這個問題嗎
[00:03:52.000 --> 00:03:55.000]  如果不記載是不是更好呢
[00:03:55.000 --> 00:03:57.000]  真的更好嗎
[00:03:57.000 --> 00:04:03.000]  還有一個童女怎麼會懷孕呢
[00:04:03.000 --> 00:04:07.000]  為什麼上帝不讓耶穌是一個成年人的身份
[00:04:07.000 --> 00:04:11.000]  一來到世界上就高大威猛
[00:04:11.000 --> 00:04:16.000]  一個救世主的形象來拯救我們呢
[00:04:16.000 --> 00:04:20.000]  還有為什麼如果是童女懷孕生子
[00:04:20.000 --> 00:04:23.000]  為什麼需要約瑟的存在呢
