
[00:00:00.000 --> 00:00:03.480]  在年初我們說的《約書亞記》
[00:00:03.480 --> 00:00:06.520]  來到今天是最後的一講
[00:00:06.520 --> 00:00:12.960]  亦是《約書亞記》第24章最後的一章
[00:00:12.960 --> 00:00:14.320]  有這樣的統計
[00:00:14.320 --> 00:00:17.640]  就說韓國這三十年裏面
[00:00:17.640 --> 00:00:22.480]  是流失了六百萬的信徒
[00:00:22.480 --> 00:00:24.560]  究竟這一班的信徒
[00:00:24.560 --> 00:00:31.240]  他們選擇去侍奉那一個呢?
[00:00:31.240 --> 00:00:37.680]  在約書亞作為一個民族的領袖、元首
[00:00:37.680 --> 00:00:39.840]  他已經來到百多歲了
[00:00:39.840 --> 00:00:43.000]  而且很快就離開世界
[00:00:43.000 --> 00:00:47.200]  他講了三篇告別的講詞
[00:00:47.200 --> 00:00:51.040]  22章是對河東的支派講的
[00:00:51.040 --> 00:00:54.400]  勸誡他們要忠心
[00:00:54.400 --> 00:00:59.400]  而上一章23章是對著眾長老講的
[00:00:59.400 --> 00:01:04.680]  要忠心和當以身作則
[00:01:04.680 --> 00:01:08.920]  來到24章最後的一篇告別講詞
[00:01:08.920 --> 00:01:12.320]  當時他對著所有的以色列民
[00:01:12.320 --> 00:01:13.760]  大約有多少人?
[00:01:13.760 --> 00:01:15.440]  二百多萬人
[00:01:15.440 --> 00:01:19.920]  來到講了一堂培靈奮卿大會
[00:01:19.920 --> 00:01:24.440]  帶領神的子民重新的同神立約地點
[00:01:24.440 --> 00:01:26.640]  就是士劍這個地方
[00:01:26.640 --> 00:01:29.720]  士劍這個地方常常都提醒人
[00:01:29.720 --> 00:01:36.520]  要常常的同神更新同神的立約
[00:01:36.520 --> 00:01:38.240]  我們今天會看一段經文
[00:01:38.240 --> 00:01:42.080]  我們一起讀出14-24節
[00:01:42.080 --> 00:01:45.480]  「現在你們要敬畏耶和華
[00:01:45.480 --> 00:01:48.280]  誠心實意地侍奉他
[00:01:48.280 --> 00:01:51.520]  將你們列祖在大河那邊
[00:01:51.520 --> 00:01:54.960]  和在埃及所侍奉的神除掉
[00:01:54.960 --> 00:01:57.120]  去侍奉耶和華
[00:01:57.120 --> 00:02:00.760]  若是你們與侍奉耶和華彼不好
[00:02:00.760 --> 00:02:04.280]  今日就可以選擇所要侍奉的
[00:02:04.280 --> 00:02:08.920]  是你們列祖在大河那邊所侍奉的神
[00:02:08.920 --> 00:02:13.440]  是你們所住這地的阿摩利人的神
[00:02:13.440 --> 00:02:18.480]  至於我和我家我們必定侍奉耶和華」
[00:02:18.480 --> 00:02:20.160]  黑星回答說
[00:02:20.160 --> 00:02:24.640]  「我們斷不敢離棄耶和華去侍奉別神
[00:02:24.640 --> 00:02:26.880]  因耶和華我們的神
[00:02:26.880 --> 00:02:29.360]  曾將我們和我們列祖
[00:02:29.360 --> 00:02:33.160]  從埃及地遺老之家領出來
[00:02:33.160 --> 00:02:37.040]  在我們眼前行了那些大神跡
[00:02:37.040 --> 00:02:39.560]  在我們所行的道上
[00:02:39.560 --> 00:02:43.520]  所經過的諸葛都保護了我們
[00:02:43.520 --> 00:02:47.200]  耶和華又把住此地的阿摩利人
[00:02:47.200 --> 00:02:50.080]  都從我們面前趕出去
[00:02:50.080 --> 00:02:53.080]  所以我們必侍奉耶和華
[00:02:53.080 --> 00:02:55.960]  因為祂是我們的神」
[00:02:55.960 --> 00:02:58.160]  約瑟雅對惑聖說
[00:02:58.160 --> 00:03:00.760]  「你們不能侍奉耶和華
[00:03:00.760 --> 00:03:03.200]  因為祂是聖潔的神
[00:03:03.200 --> 00:03:04.920]  是忌邪的神
[00:03:04.920 --> 00:03:08.320]  必不赦免你們的過犯罪惡
[00:03:08.320 --> 00:03:12.480]  你們若離棄耶和華去侍奉愛邦神
[00:03:12.480 --> 00:03:14.920]  耶和華再降福之後
[00:03:14.920 --> 00:03:17.400]  必轉而降禍於你們
[00:03:17.400 --> 00:03:19.120]  把你們滅絕」
[00:03:19.120 --> 00:03:21.600]  白星回答約瑟雅說
[00:03:21.600 --> 00:03:25.440]  「不然我們定要侍奉耶和華」
[00:03:25.440 --> 00:03:27.440]  約瑟雅對白星說
[00:03:27.440 --> 00:03:30.840]  「你們選定耶和華要侍奉祂
[00:03:30.840 --> 00:03:33.400]  你們自己作見證吧」
[00:03:33.400 --> 00:03:36.720]  他們說「我們願意作見證」
[00:03:36.720 --> 00:03:40.000]  約瑟雅說「你們現在要除掉
[00:03:40.000 --> 00:03:42.360]  你們中間的愛邦神
[00:03:42.360 --> 00:03:44.560]  專心歸向耶和華
[00:03:44.560 --> 00:03:45.960]  以色列的神」
[00:03:45.960 --> 00:03:48.560]  白星回答約瑟雅說
[00:03:48.560 --> 00:03:50.760]  「我們必侍奉耶和華
[00:03:50.760 --> 00:03:52.000]  和以色列的神
[00:03:52.000 --> 00:03:54.160]  聽從祂的話」
[00:03:54.160 --> 00:04:02.160]  這一堂的培靈奮卿大會
[00:04:02.160 --> 00:04:05.720]  約瑟雅問這班二百多萬的
[00:04:05.720 --> 00:04:08.960]  以色列的百姓
[00:04:08.960 --> 00:04:12.520]  你們要選擇侍奉哪一個
[00:04:12.520 --> 00:04:16.480]  他們一次再次三次
[00:04:16.480 --> 00:04:22.600]  來到肯定要侍奉耶和華
[00:04:22.600 --> 00:04:25.880]  在這幾節的經文裡
[00:04:25.880 --> 00:04:31.280]  其實二十四章頭十二節的經文
[00:04:31.280 --> 00:04:37.080]  全部都提及到神自己的恩典
[00:04:37.080 --> 00:04:42.480]  在二十三章的十四節裡這樣說
[00:04:42.480 --> 00:04:45.560]  「我現在要走世人必走的路
[00:04:45.560 --> 00:04:49.320]  你們是一心一意地知道
[00:04:49.320 --> 00:04:53.120]  耶和華你們神所應許賜福於你們的話
[00:04:53.120 --> 00:04:54.960]  沒有一句落空
[00:04:54.960 --> 00:04:59.160]  都應驗在你們身上了」
[00:04:59.160 --> 00:05:04.080]  我們這一位的神是信守祂的應許的神
[00:05:04.080 --> 00:05:08.160]  一直以來是一個信實的故事
[00:05:08.160 --> 00:05:12.200]  所以當我們看二節到十三節
[00:05:12.200 --> 00:05:15.080]  整段的經文其實是說
[00:05:15.080 --> 00:05:16.960]  聖約的根基
[00:05:16.960 --> 00:05:19.880]  那個根基是神祂自己
[00:05:19.880 --> 00:05:23.280]  不是你不是我
[00:05:23.280 --> 00:05:25.640]  當我們看第二節到十三節的時候
[00:05:25.640 --> 00:05:29.560]  你會發現有很多的經文
[00:05:29.560 --> 00:05:31.360]  都出現「我」字
[00:05:31.360 --> 00:05:32.920]  就是神祂自己
[00:05:32.920 --> 00:05:36.880]  一共出現了十七次這麼多
[00:05:36.880 --> 00:05:39.440]  這是真實歷史裡面
[00:05:39.440 --> 00:05:41.320]  神信實的故事
[00:05:41.320 --> 00:05:42.520]  從族長時期
[00:05:42.520 --> 00:05:47.240]  神呼召一個一點都不聖潔的家庭
[00:05:47.240 --> 00:05:49.680]  阿伯蘭這個家庭
