
[00:00:00.000 --> 00:00:02.360]  好 讓我們一起低頭禱告
[00:00:02.360 --> 00:00:06.140]  愛我們的主 我們的神
[00:00:06.140 --> 00:00:09.440]  我們來到祢的面前一起我們來敬拜
[00:00:09.440 --> 00:00:17.800]  祢是那偉大 尊貴 全能 聖潔 公益 慈愛的神
[00:00:17.800 --> 00:00:22.560]  我們看到外面的雨滴
[00:00:22.560 --> 00:00:29.080]  我們就可以深深體會到弟兄姊妹的渴慕
[00:00:29.080 --> 00:00:35.200]  雖然是下雨 照樣依樣來到主的殿中一起來敬拜
[00:00:35.200 --> 00:00:45.200]  就如同我們的心靈需要主祢的話語就像雨一樣降在我們乾渴的心田裡面
[00:00:45.200 --> 00:00:51.200]  我們也感謝主在多年乾旱的季節
[00:00:51.200 --> 00:00:54.200]  今年主祢賜給我們這樣的孕育
[00:00:54.200 --> 00:00:57.480]  我們獻上感謝也求主繼續
[00:00:57.480 --> 00:01:05.480]  讓我們每天的生活中我們都能經歷到神祢自己的同在和恩典
[00:01:05.480 --> 00:01:10.480]  尤其我們剛剛所唱的詩歌裡面
[00:01:10.480 --> 00:01:19.480]  我們體會到主祢是何等的信使 可愛 可親的一位神
[00:01:25.480 --> 00:01:29.480]  讓我們真的是來到祢的面前的時候
[00:01:29.480 --> 00:01:32.480]  就像詩歌裡面說
[00:01:32.480 --> 00:01:35.480]  我的救贖主永遠活著
[00:01:35.480 --> 00:01:38.480]  因為我的靈不再沉睡
[00:01:38.480 --> 00:01:44.480]  有一天號角聲響起的時候我要見到祂的容面
[00:01:44.480 --> 00:01:48.480]  我們在地上的日子是短暫
[00:01:48.480 --> 00:01:51.480]  但是我們有那永恆
[00:01:51.480 --> 00:01:56.480]  讓我們在短暫的時間為永恆來預備
[00:01:56.480 --> 00:01:59.480]  不要讓我們在短暫的時間
[00:01:59.480 --> 00:02:04.480]  我們在永恆裡面失去那與主同在的福分
[00:02:04.480 --> 00:02:08.480]  我們也感謝主我們的成人主日學
[00:02:08.480 --> 00:02:11.480]  我們看到大家齊心的學習
[00:02:11.480 --> 00:02:15.480]  我們都有二十幾位的我們弟兄姊妹
[00:02:15.480 --> 00:02:21.480]  我們都願意在羅馬書的查考中接受老師的教導
[00:02:21.480 --> 00:02:27.480]  讓我們看到福音本是神的大能要拯救一切相信的
[00:02:27.480 --> 00:02:33.480]  我祝你愛世人 但是你恨惡罪惡
[00:02:33.480 --> 00:02:35.480]  你有公義的性情
[00:02:35.480 --> 00:02:41.480]  但是你也願意把這公義的性情賜給我們世人
[00:02:41.480 --> 00:02:45.480]  你說凡相信的就必得著
[00:02:45.480 --> 00:02:48.480]  讓我們今天一起的敬拜當中
[00:02:48.480 --> 00:02:52.480]  我們再一次體會到主祢自己的同在
[00:02:52.480 --> 00:02:58.480]  再一次看到主祢在教會的燈台中行走
[00:02:58.480 --> 00:03:04.480]  讓我們把主自己的榮耀高高舉上
[00:03:04.480 --> 00:03:11.480]  讓我們眾人都能看到主祢同在榮耀聖潔的容顏
[00:03:11.480 --> 00:03:15.480]  讓世人都願意來親近就近主
[00:03:15.480 --> 00:03:22.480]  主啊我們看到我們需要體貼主祢自己的心意
[00:03:22.480 --> 00:03:27.480]  也求主賜福以下孩兒要傳講的信息
[00:03:27.480 --> 00:03:30.480]  求主聖靈感動引導
[00:03:30.480 --> 00:03:33.480]  是奉靠我主耶穌基督的聖名
[00:03:33.480 --> 00:03:35.480]  阿門
[00:04:03.480 --> 00:04:05.480]  可以嗎
[00:04:05.480 --> 00:04:19.480]  我們今天讀的經文跟上一週的經文一樣
[00:04:19.480 --> 00:04:24.480]  不是因為印錯也不是因為讀錯
[00:04:24.480 --> 00:04:27.480]  也就是借助上一次的經文
[00:04:27.480 --> 00:04:33.480]  是從廣義方面我們來了解這聖經的真理
[00:04:33.480 --> 00:04:37.480]  所以在上次彭傳道他在講的時候
[00:04:37.480 --> 00:04:39.480]  他用這段經文
[00:04:39.480 --> 00:04:44.480]  他用廣義的方式講到神的救贖
[00:04:44.480 --> 00:04:48.480]  從創世紀講到啟示錄
[00:04:48.480 --> 00:04:55.480]  然後又講到神要信徒在地上為那永恆來做準備
[00:04:55.480 --> 00:04:58.480]  又講到五個觀念
[00:04:58.480 --> 00:05:02.480]  那今天我的方式同樣一段經文
[00:05:02.480 --> 00:05:05.480]  我用前後文的方式
[00:05:05.480 --> 00:05:09.480]  這裡面連續講了四個比喻
[00:05:09.480 --> 00:05:15.480]  那這四個比喻中都有連貫性的脈絡思想
