
[00:00:00.000 --> 00:00:04.600]  有時候我們都會遇到一些很不開心的事
[00:00:04.600 --> 00:00:07.720]  有的時候我們也會遇到一些不開心的事情
[00:00:07.720 --> 00:00:11.560]  譬如最近台灣那個斬人事件
[00:00:11.560 --> 00:00:13.120]  是令我們很不開心
[00:00:13.120 --> 00:00:15.480]  譬如說最近台灣斬人的事件
[00:00:15.480 --> 00:00:17.800]  也是令到我們很不開心
[00:00:17.800 --> 00:00:21.240]  大家有誰覺得不開心的舉一舉手
[00:00:21.240 --> 00:00:23.840]  有誰覺得不開心的可以請你舉舉手
[00:00:23.840 --> 00:00:26.040]  真的很多人,真是不開心的
[00:00:26.040 --> 00:00:28.400]  真的是有很多的弟兄姊妹覺得不開心
[00:00:28.400 --> 00:00:32.760]  我們會想像我們在車站被人斬的時候會怎樣呢?
[00:00:32.760 --> 00:00:36.280]  我們會想像一下如果我們在車裡面被斬的情況
[00:00:36.280 --> 00:00:38.080]  你會怎樣呢?
[00:00:38.080 --> 00:00:41.200]  真是令人痛心
[00:00:41.200 --> 00:00:44.480]  這件事事後有些人試圖找出
[00:00:44.480 --> 00:00:46.440]  為什麼這個青年會犯罪呢?
[00:00:46.440 --> 00:00:51.200]  有的人事後想找出為什麼那個青年人會犯罪呢?
[00:00:51.200 --> 00:00:53.720]  其中有一個台灣的牧師就說
[00:00:53.720 --> 00:00:57.720]  他當時可能這個人是被鬼附
[00:00:57.720 --> 00:01:02.680]  當中有一個牧師提到他可能當時是被鬼附
[00:01:02.680 --> 00:01:05.640]  他看到那個人的動作
[00:01:05.640 --> 00:01:08.120]  簡直就是被鬼附的人的動作
[00:01:08.120 --> 00:01:12.240]  他看到那個人的動作就好像被鬼附的人一樣
[00:01:12.240 --> 00:01:15.040]  以至這個人是身不由己地去犯案的
[00:01:15.040 --> 00:01:17.880]  以至於那個人身不由己地來犯案
[00:01:17.880 --> 00:01:21.200]  但是究竟這個青年是不是被鬼附我們不肯定
[00:01:21.200 --> 00:01:24.920]  到底那個青年是不是被鬼附我們不能肯定
[00:01:24.920 --> 00:01:27.760]  我們只是感到非常的惋惜
[00:01:27.760 --> 00:01:30.320]  我們只是感到非常的惋惜
[00:01:30.320 --> 00:01:32.120]  但是假如有一個人
[00:01:32.120 --> 00:01:37.160]  你是被主耶穌說你是撒旦魔鬼
[00:01:37.160 --> 00:01:41.400]  假如有一個人是被主耶穌基督說你是撒旦魔鬼
[00:01:41.400 --> 00:01:44.520]  我相信會令你非常之震撼
[00:01:44.520 --> 00:01:47.480]  我相信會令你非常的震撼
[00:01:47.480 --> 00:01:50.560]  從剛才的經文我們看到
[00:01:50.560 --> 00:01:52.840]  這個人是誰我們知道了
[00:01:52.840 --> 00:01:55.960]  從剛才的經文我們看到的是誰呢
[00:01:55.960 --> 00:01:58.000]  大家知道嗎
[00:01:58.000 --> 00:02:07.320]  就是一個經常逗留在主耶穌身邊的門徒彼得
[00:02:07.320 --> 00:02:12.200]  他就是經常逗留在主耶穌身邊的門徒彼得
[00:02:12.200 --> 00:02:15.880]  為什麼主耶穌要這麼嚴厲地斥責彼得呢
