
[00:00:00.000 --> 00:00:02.400]  嘿 第二天早晨
[00:00:02.400 --> 00:00:04.820]  跟大家打招呼 好嗎
[00:00:04.820 --> 00:00:07.900]  身邊的人 跟他們說早安就夠了
[00:00:07.900 --> 00:00:10.640]  不要說太多
[00:00:10.640 --> 00:00:13.940]  這次我們繼續去想想這個topic
[00:00:13.940 --> 00:00:17.020]  叫做崇拜的topic worship的topic
[00:00:17.020 --> 00:00:19.420]  我想大家信主
[00:00:19.420 --> 00:00:21.940]  或者甚至你可能第一次來教會
[00:00:21.940 --> 00:00:26.140]  你都會發現崇拜公共的worship
[00:00:26.140 --> 00:00:29.180]  是一個很重要的環節來的
[00:00:29.180 --> 00:00:33.960]  在我們生命裡面 在基督徒的旅程裡面
[00:00:33.960 --> 00:00:37.120]  其實是非常重要的 每一個禮拜為什麼我們會get together
[00:00:37.120 --> 00:00:42.260]  每一個禮拜為什麼我們會練歌 預備等等
[00:00:42.260 --> 00:00:47.260]  btw 我們今天進來崇拜大概一個小時的時間
[00:00:47.260 --> 00:00:48.680]  我們有不同的環節
[00:00:48.680 --> 00:00:51.860]  你知道背後其實有很多弟兄姊妹做了很多事
[00:00:51.860 --> 00:00:57.680]  他們練歌 預備在後台 預備很多不同的細節
[00:00:57.680 --> 00:01:01.640]  以致我們今天能夠享受這個崇拜的聚會
[00:01:01.640 --> 00:01:07.000]  所以大家需要知道 為什麼這個所謂corporate worship
[00:01:07.000 --> 00:01:10.960]  corporate worship 即是公共的崇拜 一個集體的崇拜
[00:01:10.960 --> 00:01:13.280]  是如此重要 因為聖經裡面告訴我們
[00:01:13.280 --> 00:01:16.360]  很多的章節 很多的經文
[00:01:16.360 --> 00:01:18.460]  告訴我們 我們需要做一個
[00:01:18.460 --> 00:01:20.600]  認識敬拜是一回什麼事
[00:01:20.600 --> 00:01:24.200]  以及怎樣去成為一個更好的敬拜者
[00:01:24.200 --> 00:01:27.600]  我想問你一個問題 第一個問題
[00:01:27.600 --> 00:01:29.400]  我們怎樣能夠成為一個更加好
[00:01:29.400 --> 00:01:32.520]  或者更合上帝心意的敬拜者
[00:01:32.520 --> 00:01:38.140]  ok 或者更好 不是一個最好的描述方法
[00:01:38.140 --> 00:01:44.200]  怎樣成為一個更加上帝去到喜悅的一個敬拜者
[00:01:44.200 --> 00:01:48.680]  這裏講得很清楚 不是純粹喜悅的敬拜
[00:01:48.680 --> 00:01:52.800]  而是喜悅的敬拜者 上帝喜悅的敬拜者
[00:01:52.800 --> 00:01:57.040]  因為我們很多時候進來教會參與崇拜的時候
