
[00:00:00.000 --> 00:00:03.900]  我們今天要講的主題「互助成長」
[00:00:03.900 --> 00:00:09.720]  我們一起看羅馬書第八章28至30節
[00:00:09.720 --> 00:00:12.380]  「我們知道為了愛神的人
[00:00:12.380 --> 00:00:15.460]  就是按他旨意蒙召的人的益處
[00:00:15.460 --> 00:00:18.140]  萬事都一同效力」
[00:00:18.140 --> 00:00:22.280]  舊的版本我們喜歡背多一點
[00:00:22.280 --> 00:00:24.740]  「萬事都互相效力
[00:00:24.740 --> 00:00:27.620]  叫愛神的人得到益處」
[00:00:27.620 --> 00:00:31.700]  每一次我們聽到益處都覺得對我有益 很開心
[00:00:31.700 --> 00:00:34.800]  不過有一個條件 就是愛神的人
[00:00:34.800 --> 00:00:36.800]  神是一個很奇妙的神
[00:00:36.800 --> 00:00:41.100]  祂能夠將所有的事 萬有的事
[00:00:41.100 --> 00:00:43.500]  一切的機緣巧合
[00:00:43.500 --> 00:00:45.380]  神可以合作
[00:00:45.380 --> 00:00:47.300]  是給予我們的益處
[00:00:47.300 --> 00:00:52.400]  是給我們這班愛神的人學習到成長
[00:00:52.400 --> 00:00:54.160]  我們再看下第29節
[00:00:54.160 --> 00:00:56.040]  「因為神預先知道的人
[00:00:56.040 --> 00:01:02.060]  就預先命定他們和他兒子的形象一模一樣
[00:01:02.060 --> 00:01:06.700]  此他的兒子在許多弟兄中作長子」
[00:01:06.700 --> 00:01:08.620]  這裡講到神的計劃
[00:01:08.620 --> 00:01:12.680]  就是我們這班信主的人是神的兒女
[00:01:12.680 --> 00:01:15.440]  而主耶穌就好像那個大兒子那樣
[00:01:15.440 --> 00:01:19.700]  我們就要效法主耶穌成長
[00:01:19.700 --> 00:01:22.740]  主耶穌成長成怎樣 我們就怎樣
[00:01:22.740 --> 00:01:25.240]  所以這個是我們的目標
[00:01:25.240 --> 00:01:28.960]  我們人生命要追求成長
[00:01:28.960 --> 00:01:33.200]  追求成長要像主耶穌基督
[00:01:33.200 --> 00:01:36.520]  我們今天很多人的人生目標就是追求享樂
[00:01:36.520 --> 00:01:39.000]  成不成長完全沒有關係
[00:01:39.000 --> 00:01:40.800]  這個是我們創的觀念
[00:01:40.800 --> 00:01:42.640]  我們再看第30節
[00:01:42.640 --> 00:01:45.120]  「他預先命定的人
[00:01:45.120 --> 00:01:47.840]  又呼召他們所召來的人
[00:01:47.840 --> 00:01:49.680]  又稱他們為兒
[00:01:49.680 --> 00:01:54.320]  所稱為兒的人又使他們得榮耀」
[00:01:54.320 --> 00:01:57.620]  這裡再廣闊一點就是神的計劃
[00:01:57.620 --> 00:01:59.220]  神命定了的人
[00:01:59.220 --> 00:02:02.480]  就是在這個救恩當中命定的人
[00:02:02.480 --> 00:02:06.240]  選照出來與世界分別為聖出來的時候
[00:02:06.240 --> 00:02:08.120]  就可以稱祂為兒
[00:02:08.120 --> 00:02:09.260]  甚麼叫稱為兒呢
[00:02:09.260 --> 00:02:13.340]  稱為兒就是祂可以站立在神的面前
[00:02:13.340 --> 00:02:15.680]  即是神看到祂是OK的
[00:02:15.680 --> 00:02:17.540]  即是祂在神面前是順眼的
[00:02:17.540 --> 00:02:19.500]  我們廣東話說
[00:02:19.500 --> 00:02:22.540]  這個在神的面前站立得住
[00:02:22.540 --> 00:02:23.680]  是一個二人
[00:02:23.680 --> 00:02:25.680]  不單止站立得住
[00:02:25.680 --> 00:02:27.900]  更加一個更好的計劃
[00:02:27.900 --> 00:02:30.180]  就是得到榮耀
[00:02:30.180 --> 00:02:32.740]  我們與神同享榮耀
[00:02:32.740 --> 00:02:37.500]  這個是神在我們每一個信徒的身上
[00:02:37.500 --> 00:02:39.280]  所有的計劃
[00:02:39.280 --> 00:02:42.240]  神想我們做一個不單止成熟的人
[00:02:42.240 --> 00:02:44.980]  祂想我們得到這份尊貴
[00:02:44.980 --> 00:02:48.540]  所以我們每個人都是按照神的形象來做的
[00:02:48.540 --> 00:02:51.760]  神希望我們有一個尊貴的生命
[00:02:51.760 --> 00:02:53.640]  得到這個榮耀
[00:02:53.640 --> 00:02:55.260]  我們再看
[00:02:55.260 --> 00:03:00.580]  《貼撒羅利加前書》第五章第一至十一節
[00:03:00.580 --> 00:03:02.420]  所以我今天稍為讀經的時候
[00:03:02.420 --> 00:03:03.980]  稍微解釋一些經文
[00:03:03.980 --> 00:03:05.840]  大家可以容易明白一點
[00:03:05.840 --> 00:03:09.800]  你們都是光明之子、白晝之子
[00:03:09.800 --> 00:03:15.380]  我們不是屬於黑夜的
[00:03:15.380 --> 00:03:17.180]  也不是屬於黑暗的
[00:03:17.180 --> 00:03:20.020]  我們是什麼人呢?是光明之子
[00:03:20.020 --> 00:03:22.400]  我們中國人說「光明磊落」
[00:03:22.400 --> 00:03:25.520]  就是說我們在生命當中沒有東西
[00:03:25.520 --> 00:03:26.760]  神是不知道的
[00:03:26.760 --> 00:03:28.120]  不可以知道
[00:03:28.120 --> 00:03:32.360]  我們沒有東西想隱瞞神的是光明之子
[00:03:32.360 --> 00:03:33.140]  第六節
[00:03:33.140 --> 00:03:36.080]  所以我們不要沉睡像別人一樣
[00:03:36.080 --> 00:03:38.480]  總要警醒謹慎
[00:03:38.480 --> 00:03:39.820]  這裡說到沉睡
[00:03:39.820 --> 00:03:42.560]  睡覺的人是在晚上
[00:03:42.560 --> 00:03:45.260]  醉酒的人是在晚上醉
[00:03:45.260 --> 00:03:47.780]  這裡說到如果我們仍然在黑暗當中
[00:03:47.780 --> 00:03:49.660]  有一個原因就是我們在沉睡
[00:03:49.660 --> 00:03:51.880]  或者有些東西迷醉
[00:03:51.880 --> 00:03:53.960]  叫做「財迷心竅」
[00:03:53.960 --> 00:03:55.860]  有些東西迷住我們的心
[00:03:55.860 --> 00:03:57.340]  所以我們不能夠醒覺過來
[00:03:57.340 --> 00:03:59.340]  我們被這個世界迷惑了
[00:03:59.340 --> 00:04:02.260]  被我們自己一些的享樂迷惑了
[00:04:02.260 --> 00:04:03.560]  凡是說到酒
[00:04:03.560 --> 00:04:06.900]  我們知道是帶著歡樂的意思
[00:04:06.900 --> 00:04:11.700]  酒也說到是一種迷惑的意思
[00:04:11.700 --> 00:04:13.140]  所以我們不可醉酒
[00:04:13.140 --> 00:04:14.780]  酒樓和私人荒蕩
[00:04:14.780 --> 00:04:17.660]  已不鎖書第五章十八節
[00:04:17.660 --> 00:04:19.420]  「乃要被聖靈充滿」
[00:04:19.420 --> 00:04:20.560]  是剛剛相反
[00:04:20.560 --> 00:04:22.180]  我們有一個光明之子
