
[00:00:00.000 --> 00:00:02.000]  我們先祈禱好嗎
[00:00:02.000 --> 00:00:07.440]  耶穌我們多謝你
[00:00:07.440 --> 00:00:09.440]  因為你是真的
[00:00:09.440 --> 00:00:11.440]  你是那位真神
[00:00:11.440 --> 00:00:13.440]  你是那位仍然活著的基督
[00:00:13.440 --> 00:00:16.440]  你今天在父上你的右邊為我們代求
[00:00:16.440 --> 00:00:18.440]  所以主要求你的幫助我們
[00:00:18.440 --> 00:00:21.440]  讓我們一會兒的訊息一會兒的內容
[00:00:21.440 --> 00:00:23.440]  是你在我們中間聲明
[00:00:23.440 --> 00:00:25.440]  你幫助我們進入你自己的話語裡面
[00:00:25.440 --> 00:00:27.440]  成為我們今天的幫助
[00:00:27.440 --> 00:00:29.440]  多謝耶穌祈禱奉主的名
[00:00:29.440 --> 00:00:31.440]  好
[00:00:31.440 --> 00:00:33.440]  我們今天去到
[00:00:33.440 --> 00:00:35.440]  僕人之歌第三講
[00:00:35.440 --> 00:00:37.440]  上一次
[00:00:37.440 --> 00:00:39.440]  高牧師他講到
[00:00:39.440 --> 00:00:41.440]  四首的僕人之歌
[00:00:41.440 --> 00:00:43.440]  就在《以塞亞書六十六卷》的經文當中
[00:00:43.440 --> 00:00:45.440]  坐落在中間一個大的段落
[00:00:45.440 --> 00:00:47.440]  就是由四十章
[00:00:47.440 --> 00:00:49.440]  到五十五章
[00:00:49.440 --> 00:00:51.440]  他講到其實我們不知道
[00:00:51.440 --> 00:00:53.440]  今天那一段的段落
[00:00:53.440 --> 00:00:55.440]  作者是誰所以學者就給了一個名
[00:00:55.440 --> 00:00:57.440]  叫第二以塞亞
[00:00:57.440 --> 00:00:59.440]  他講到那四首的僕人之歌
[00:00:59.440 --> 00:01:01.440]  那個對象
[00:01:01.440 --> 00:01:03.440]  那個僕人是誰呢
[00:01:03.440 --> 00:01:05.440]  第一個就是如果你還記得
[00:01:05.440 --> 00:01:07.440]  就是以色列那個群體
[00:01:07.440 --> 00:01:09.440]  做一個
[00:01:09.440 --> 00:01:11.440]  低調有料人
[00:01:11.440 --> 00:01:13.440]  如果你不記得應該記得這個詞
[00:01:13.440 --> 00:01:15.440]  第二首講的是
[00:01:15.440 --> 00:01:17.440]  第二以塞亞本身這個人
[00:01:17.440 --> 00:01:19.440]  在黑暗的當中
[00:01:19.440 --> 00:01:21.440]  他說總之黑暗的時候
