
[00:00:00.000 --> 00:00:02.000]  特兄姊妹平安
[00:00:02.000 --> 00:00:05.300]  代表親生命證信會和應音寺團向
[00:00:05.300 --> 00:00:07.500]  全印堂的特兄姊妹去問安
[00:00:07.500 --> 00:00:09.300]  主內平安
[00:00:09.300 --> 00:00:10.500]  非常之感恩
[00:00:10.500 --> 00:00:13.500]  我有機會再次受到光牧師的邀請
[00:00:13.500 --> 00:00:17.500]  全印堂的邀請可以再和特兄姊妹分享神的話語
[00:00:17.500 --> 00:00:21.000]  很高興能夠在這裡打開神的話語
[00:00:21.000 --> 00:00:23.500]  我們一同先去禱告
[00:00:23.500 --> 00:00:24.500]  親愛的天父
[00:00:24.500 --> 00:00:26.500]  當我們今天打開你的話語的時候
[00:00:26.500 --> 00:00:28.500]  求你打開我們的心
[00:00:28.500 --> 00:00:30.000]  祝你賜我們安息
[00:00:30.000 --> 00:00:32.000]  讓我們的生命緊連於你
[00:00:32.000 --> 00:00:34.000]  也得著力量
[00:00:34.000 --> 00:00:37.000]  也讓我們的生命再次被你調整
[00:00:37.000 --> 00:00:39.000]  好好地過餘下的日子
[00:00:39.000 --> 00:00:41.500]  我們感恩、禱告、仰望
[00:00:41.500 --> 00:00:43.500]  是奉耶穌基督的名字
[00:00:43.500 --> 00:00:44.500]  祈求
[00:00:44.500 --> 00:00:45.500]  阿們
[00:00:45.500 --> 00:00:48.000]  香港人通常去問大家的時候
[00:00:48.000 --> 00:00:49.000]  就是問什麼?
[00:00:49.000 --> 00:00:50.000]  最近忙什麼?
[00:00:50.000 --> 00:00:51.000]  忙什麼?
[00:00:51.000 --> 00:00:52.500]  通常是問你忙什麼?
[00:00:52.500 --> 00:00:55.500]  說回忙就是有一個價值在裡面
[00:00:55.500 --> 00:00:58.000]  我以前本身就在三個國家
[00:00:58.000 --> 00:01:00.000]  就是中國、香港
[00:01:00.000 --> 00:01:02.500]  澳洲和新加坡
[00:01:02.500 --> 00:01:04.500]  都有機會傳道或者服侍
[00:01:04.500 --> 00:01:06.500]  以往我在新加坡的時候
[00:01:06.500 --> 00:01:07.500]  都有去不同國家
[00:01:07.500 --> 00:01:10.500]  發覺去不同國家問的東西有些不同
[00:01:10.500 --> 00:01:12.500]  澳洲的朋友通常問
[00:01:12.500 --> 00:01:15.500]  通常去到星期一就問
[00:01:15.500 --> 00:01:17.000]  How's your holiday?
[00:01:17.000 --> 00:01:18.500]  What you do in your rest?
[00:01:18.500 --> 00:01:20.500]  就是你那個假期
[00:01:20.500 --> 00:01:22.500]  你休息的時候有什麼做?
[00:01:22.500 --> 00:01:23.500]  他就不是問你
[00:01:23.500 --> 00:01:24.500]  What are you busy with?
[00:01:24.500 --> 00:01:26.500]  就是不是問你忙什麼
[00:01:26.500 --> 00:01:28.500]  香港人很流行問忙什麼
[00:01:28.500 --> 00:01:31.000]  好像香港人是一個很忙碌
[00:01:31.000 --> 00:01:33.500]  亦都覺得忙是很重要的
[00:01:33.500 --> 00:01:36.500]  但是我們甚至乎忙到
[00:01:36.500 --> 00:01:39.500]  不知道我們懂不懂得真的休息
[00:01:39.500 --> 00:01:42.500]  或者明不明白真的休息的意義
[00:01:42.500 --> 00:01:43.500]  在聖經裡面
[00:01:43.500 --> 00:01:46.500]  其實有很多關於安息的教導
[00:01:46.500 --> 00:01:49.000]  一些怎樣去休息連結於主的教導
[00:01:49.000 --> 00:01:50.500]  先講一個故事
[00:01:50.500 --> 00:01:55.000]  話說這個故事就關乎一個年輕的木工
[00:01:55.000 --> 00:01:57.000]  就是砍樹木的一個工人
[00:01:57.000 --> 00:02:00.000]  這個故事記載在
[00:02:00.000 --> 00:02:02.500]  Steven Covey的一本書值得你們看
[00:02:02.500 --> 00:02:05.000]  就是《The Seven Habits of Highly Effective People》
[00:02:05.000 --> 00:02:06.500]  《與成功有約》
[00:02:06.500 --> 00:02:09.000]  很多大學都是用它為
[00:02:09.000 --> 00:02:13.000]  第一年都需要學生要讀的一本書
[00:02:13.000 --> 00:02:15.000]  他就說當時關於這個佛木
[00:02:15.000 --> 00:02:19.500]  就有一個年輕的砍樹的工人
[00:02:19.500 --> 00:02:20.500]  那些年輕人
[00:02:20.500 --> 00:02:22.000]  第一天上班的時候
[00:02:22.000 --> 00:02:26.000]  他很聰明,他想著報大力紅
[00:02:26.000 --> 00:02:28.500]  有氣力,一天可以砍多少棵樹?
[00:02:28.500 --> 00:02:30.500]  18棵樹
[00:02:30.500 --> 00:02:33.000]  第一天上班已經這麼好成績了
[00:02:33.000 --> 00:02:38.000]  然後他的工頭、head就說
[00:02:38.000 --> 00:02:40.500]  很聰明,做得很好,鼓勵他
[00:02:40.500 --> 00:02:42.500]  第二天這個人又上班了
[00:02:42.500 --> 00:02:44.500]  還要早一點
[00:02:44.500 --> 00:02:48.500]  是不是應該多一點時間砍多一點樹?
[00:02:48.500 --> 00:02:51.500]  不是,第二天他砍了15棵樹而已
[00:02:51.500 --> 00:02:53.000]  他覺得有沒有搞錯?
[00:02:53.000 --> 00:02:55.500]  第一天我18棵,第二天為什麼只有15棵?
[00:02:55.500 --> 00:02:57.000]  是不是真的做錯了?
[00:02:57.000 --> 00:02:59.500]  不行,我要早一點起床,再努力一點
[00:02:59.500 --> 00:03:02.000]  第三天誰知道大失所望
[00:03:02.000 --> 00:03:03.500]  只剩下7棵樹
[00:03:03.500 --> 00:03:07.000]  到第四天,只有5棵樹
[00:03:07.000 --> 00:03:09.500]  這個年輕人很沮喪
[00:03:09.500 --> 00:03:10.500]  為什麼會這樣?
[00:03:10.500 --> 00:03:12.000]  我一天比一天差
[00:03:12.000 --> 00:03:14.000]  那個工頭就跟他說
[00:03:14.000 --> 00:03:15.000]  你真的做得不錯
[00:03:15.000 --> 00:03:18.000]  但是你上次一直砍樹
[00:03:18.000 --> 00:03:20.000]  你上一次有沒有磨你的斧頭?
[00:03:20.000 --> 00:03:22.500]  他說什麼時候開始磨你的斧頭?
[00:03:22.500 --> 00:03:23.500]  這個年輕人就說
[00:03:23.500 --> 00:03:25.500]  什麼?磨斧頭?
[00:03:25.500 --> 00:03:27.000]  我的工作沒有叫我磨斧頭
[00:03:27.000 --> 00:03:28.500]  而且我沒有時間磨
[00:03:28.500 --> 00:03:30.500]  我來到就砍樹,我很忙
[00:03:30.500 --> 00:03:32.500]  很忙地砍樹
[00:03:32.500 --> 00:03:36.000]  大英姐妹,你是不是經常在這裡砍這棵樹
[00:03:36.000 --> 00:03:39.500]  但是沒有時間磨你的斧頭呢?
[00:03:39.500 --> 00:03:41.500]  你的斧頭就是你的心靈
[00:03:41.500 --> 00:03:43.000]  就是你的身體
[00:03:43.000 --> 00:03:45.000]  就是你一切的資源
[00:03:45.000 --> 00:03:47.500]  你有沒有機會讓你休息
[00:03:47.500 --> 00:03:49.000]  去磨這個斧頭呢?
[00:03:49.000 --> 00:03:51.000]  網上有一些心理學家
[00:03:51.000 --> 00:03:53.000]  做了一些研究
[00:03:53.000 --> 00:03:54.500]  給了我們幾條問題
[00:03:54.500 --> 00:03:58.000]  就說有些疲勞可以睡一覺就沒事
[00:03:58.000 --> 00:04:00.000]  有些疲勞就比較
[00:04:00.000 --> 00:04:03.000]  跟你心靈很累有關的
[00:04:03.000 --> 00:04:05.000]  現在我舉三隻手指可以嗎?
[00:04:05.000 --> 00:04:07.000]  每人三隻手指
[00:04:07.000 --> 00:04:08.500]  現在收起來
[00:04:08.500 --> 00:04:09.500]  待會你要給自己一個分數
[00:04:09.500 --> 00:04:11.500]  不用給別人看,遮住他都可以
[00:04:11.500 --> 00:04:13.000]  如果你零分是零
[00:04:13.000 --> 00:04:15.500]  一分是一,兩分是二,三分是三
[00:04:15.500 --> 00:04:16.500]  它有三條問題
[00:04:16.500 --> 00:04:19.000]  如果你是有的,那你就給自己一分
