
[00:00:00.000 --> 00:00:02.000]  剛才我們唱詩的時候
[00:00:02.000 --> 00:00:04.000]  我們很多圍繞著
[00:00:04.000 --> 00:00:06.000]  或者讀聖經的時候
[00:00:06.000 --> 00:00:08.000]  圍繞著三一上帝
[00:00:08.000 --> 00:00:10.000]  裡面的訊息
[00:00:10.000 --> 00:00:12.000]  同樣我們藉著一個三一主日
[00:00:12.000 --> 00:00:14.000]  來帶來一個
[00:00:14.000 --> 00:00:16.000]  我們的生命有什麼的革新
[00:00:16.000 --> 00:00:18.000]  今天為什麼叫做
[00:00:18.000 --> 00:00:20.000]  三一主日裡面呢
[00:00:20.000 --> 00:00:22.000]  讓我簡單去講
[00:00:22.000 --> 00:00:24.000]  講一點點一個原因
[00:00:24.000 --> 00:00:26.000]  在教會傳統裡面
[00:00:26.000 --> 00:00:28.000]  都定為這一天裡面
[00:00:28.000 --> 00:00:30.000]  叫做三一主日
[00:00:30.000 --> 00:00:32.000]  為什麼會定這一天
[00:00:32.000 --> 00:00:34.000]  叫做三一主日呢
[00:00:34.000 --> 00:00:36.000]  就在我們教會年曆裡面
[00:00:36.000 --> 00:00:38.000]  我們一個多月之前
[00:00:38.000 --> 00:00:40.000]  大概不夠兩個月
[00:00:40.000 --> 00:00:42.000]  我們慶賀耶穌基督的復活
[00:00:42.000 --> 00:00:44.000]  當他復活升天的時候
[00:00:44.000 --> 00:00:46.000]  他就拆遷聖靈
[00:00:46.000 --> 00:00:48.000]  來賜給門徒
[00:00:48.000 --> 00:00:50.000]  就在復活節期裡面
[00:00:50.000 --> 00:00:52.000]  來計算五十天之後
[00:00:52.000 --> 00:00:54.000]  有個五場節的降臨節期裡面
[00:00:54.000 --> 00:00:56.000]  就在這個節期之後的
[00:00:56.000 --> 00:00:58.000]  下一個主日
[00:00:58.000 --> 00:01:00.000]  其實上個禮拜應該是
[00:01:00.000 --> 00:01:02.000]  聖靈降臨節的主日
[00:01:02.000 --> 00:01:04.000]  今天就是三一的主日
[00:01:04.000 --> 00:01:06.000]  在過去日子裡面
[00:01:06.000 --> 00:01:08.000]  我們都是專講
[00:01:08.000 --> 00:01:10.000]  也都紀念過耶穌基督
[00:01:10.000 --> 00:01:12.000]  他受苦受害受死
[00:01:12.000 --> 00:01:14.000]  同樣的我們今天
