
[00:00:00.000 --> 00:00:03.220]  各位兄姊妹,早安!大家好!
[00:00:03.220 --> 00:00:08.200]  上個月,不是,沒那麼久,上個禮拜
[00:00:08.200 --> 00:00:11.300]  我講的題目是甚麼,記不記得?
[00:00:11.300 --> 00:00:20.680]  不是天國的子民
[00:00:20.680 --> 00:00:25.920]  天國的大使,上講
[00:00:27.160 --> 00:00:30.180]  大家有沒有聽過一種車叫做勞斯萊斯?
[00:00:30.180 --> 00:00:33.540]  Rolls Royce,知不知道是哪個國家出產的?
[00:00:33.540 --> 00:00:36.920]  英國,為甚麼呢?
[00:00:36.920 --> 00:00:38.120]  你應該會知道的
[00:00:38.120 --> 00:00:41.580]  因為以前很多人從香港來,在英國殖民地
[00:00:41.580 --> 00:00:43.820]  見到誰坐勞斯萊斯的?
[00:00:43.820 --> 00:00:46.980]  英女皇,見到的
[00:00:46.980 --> 00:00:50.840]  他來香港的時候一定是,不過經常見到誰坐?
[00:00:50.840 --> 00:00:52.860]  是,港督坐嘛
[00:00:52.860 --> 00:00:56.340]  港督就是代表英國的大使
[00:00:57.660 --> 00:01:01.380]  有一次,英國的外交部
[00:01:01.380 --> 00:01:05.020]  和財政部,大家有些討論
[00:01:05.020 --> 00:01:06.260]  有些爭執
[00:01:06.260 --> 00:01:07.980]  原因是因為
[00:01:07.980 --> 00:01:12.220]  在英國的大使,很多地方的大使
[00:01:12.220 --> 00:01:14.920]  他們就申請
[00:01:14.920 --> 00:01:19.980]  他說可不可以讓我們坐我們國家製造的
[00:01:19.980 --> 00:01:24.380]  勞斯萊斯車,作為大使館的專用車
[00:01:24.380 --> 00:01:28.220]  你知道,一輛勞斯萊斯價值非常高
[00:01:28.220 --> 00:01:30.580]  所以財政部為了省錢
[00:01:30.580 --> 00:01:33.520]  他說只給那些大的城市
[00:01:33.520 --> 00:01:37.500]  例如華盛頓DC,美國的首都
[00:01:37.500 --> 00:01:40.940]  或者是法國的首都巴黎
[00:01:40.940 --> 00:01:44.080]  莫斯科的首都莫斯科
[00:01:44.080 --> 00:01:47.780]  當時蘇聯,莫斯科
[00:01:47.780 --> 00:01:49.740]  所以他們就說
[00:01:49.740 --> 00:01:55.220]  我們限制每個大使館的成員都坐那些車
[00:01:55.220 --> 00:01:57.220]  但是外交部的看法就不是
[00:01:57.220 --> 00:02:00.460]  他說不是的,我們應該讓我們的大使
[00:02:00.460 --> 00:02:05.540]  坐我們這些英國製造的最高級的車
[00:02:05.540 --> 00:02:08.340]  原因是什麼呢?因為這些大使
[00:02:08.340 --> 00:02:11.540]  在不同的大使館申請的原因就是
[00:02:11.540 --> 00:02:15.700]  很多人根本不知道英國在哪裡
[00:02:15.700 --> 00:02:18.580]  當時沒有那麼發達,沒有互聯網
[00:02:18.580 --> 00:02:21.340]  也沒有去過英國
[00:02:21.340 --> 00:02:25.420]  不知道英國叫大不列顛是什麼厲害
[00:02:25.420 --> 00:02:28.020]  但是如果我們這些
