
[00:00:00.000 --> 00:00:03.720]  今晚我們會看阿摩斯書最後的三章聖經
[00:00:03.720 --> 00:00:05.720]  第七 第八 第九章
[00:00:05.720 --> 00:00:08.220]  第七章開始的時候
[00:00:08.220 --> 00:00:12.720]  先知說到他見到一些異象
[00:00:12.720 --> 00:00:14.560]  我們翻溫一下阿摩斯
[00:00:14.560 --> 00:00:17.320]  他寫作是很有意思的
[00:00:17.320 --> 00:00:18.960]  一開始的時候
[00:00:18.960 --> 00:00:21.880]  他是由南邊的國家猶大國
[00:00:21.880 --> 00:00:23.760]  上到北邊的以色列國
[00:00:23.760 --> 00:00:26.240]  去講宣判的訊息
[00:00:26.240 --> 00:00:28.960]  但他是非常有技巧的
[00:00:28.960 --> 00:00:32.840]  一開始的時候就先講外邦人不好
[00:00:32.840 --> 00:00:34.720]  記不記得那個情況
[00:00:34.720 --> 00:00:37.040]  你們三番四次犯罪
[00:00:37.040 --> 00:00:40.280]  所以你們必定受到刑罰的
[00:00:40.280 --> 00:00:44.280]  先講不同國家的問題
[00:00:44.280 --> 00:00:46.720]  所以那些人聽得很開心
[00:00:46.720 --> 00:00:47.640]  抵死抵死
[00:00:47.640 --> 00:00:49.120]  這些人是抵死的
[00:00:49.120 --> 00:00:51.120]  講一講由遠到近
[00:00:51.120 --> 00:00:54.120]  接著就講誰是誰
[00:00:54.120 --> 00:00:56.320]  是猶大國
[00:00:56.320 --> 00:00:57.880]  因為猶大國是他們的兄弟
[00:00:57.880 --> 00:01:00.120]  即是南國 神都要審判
[00:01:00.120 --> 00:01:01.840]  他們又更加興奮
[00:01:01.840 --> 00:01:05.120]  但最後原來主要是說誰
[00:01:05.120 --> 00:01:07.160]  就是說以色列
[00:01:07.160 --> 00:01:09.160]  你們是有問題
[00:01:09.160 --> 00:01:10.760]  所以你記住第一部份
[00:01:10.760 --> 00:01:12.440]  就是講審判列國
[00:01:12.440 --> 00:01:14.440]  是引起他們的興趣
[00:01:14.440 --> 00:01:15.840]  讓他們留下來的
[00:01:15.840 --> 00:01:17.440]  第二部份是怎樣呢
[00:01:17.440 --> 00:01:20.480]  就是講到要勸他們悔改
[00:01:20.480 --> 00:01:23.520]  你們不要再做不好的事了
[00:01:23.520 --> 00:01:25.520]  指出他們有什麼問題
[00:01:25.520 --> 00:01:31.560]  第二部份指出你們負和貧的差距很遠
[00:01:31.560 --> 00:01:34.560]  有錢的人就不斷剝削窮人
[00:01:34.560 --> 00:01:38.800]  所以才會說你們這樣做是很不對的
[00:01:38.800 --> 00:01:40.240]  神會審判你的
[00:01:40.240 --> 00:01:45.040]  第三部份就是第七章到第九章
[00:01:45.040 --> 00:01:49.040]  就是說如果你們肯悔改仍然有希望
[00:01:49.040 --> 00:01:50.720]  但不悔改的時候
[00:01:50.720 --> 00:01:52.240]  審判就會臨到
[00:01:52.240 --> 00:01:56.440]  今晚我們看最後第七章到第九章
[00:01:56.440 --> 00:02:00.040]  這裡有幾個異象
[00:02:00.040 --> 00:02:03.200]  你記不記得我說阿摩斯書很容易看
[00:02:03.200 --> 00:02:05.960]  第一段當然是三番四次
