
[00:00:00.000 --> 00:00:05.640]  我們繼續按照教會的安排、編排去看約翰的書信
[00:00:05.640 --> 00:00:11.780]  約翰書信提到最多的是「愛」
[00:00:11.780 --> 00:00:19.460]  我們今天讀的經文一開始
[00:00:19.460 --> 00:00:21.760]  約翰就告訴我們
[00:00:21.760 --> 00:00:23.540]  第十一節
[00:00:23.540 --> 00:00:24.820]  因為你們
[00:00:24.820 --> 00:00:28.920]  起初聽到的訊息就是我們要彼此相愛
[00:00:30.460 --> 00:00:32.000]  「愛」我們聽得多了
[00:00:32.000 --> 00:00:34.040]  又聽過了
[00:00:34.040 --> 00:00:36.860]  那我們對「愛」
[00:00:36.860 --> 00:00:38.660]  又認識多少呢?
[00:00:38.660 --> 00:00:42.500]  我想大家都知道「愛」是從神來的
[00:00:42.500 --> 00:00:46.840]  有很熟悉的哥林多尼斯十三章「愛」的篇章
[00:00:46.840 --> 00:00:49.140]  「愛」是
[00:00:49.140 --> 00:00:51.460]  「恆久忍耐」、「有恩賜」
[00:00:51.460 --> 00:00:55.800]  如果沒有「愛」,我們做什麼都算不得了
[00:00:56.060 --> 00:01:00.420]  「有先知」、「廣道」、「恩賜」、「方見」都算不得什麼
[00:01:00.420 --> 00:01:01.940]  所以呢
[00:01:01.940 --> 00:01:04.260]  「愛」是不可自誇的
[00:01:04.260 --> 00:01:06.820]  這些我們知道的
[00:01:06.820 --> 00:01:11.940]  但是今天的題目就告訴我們,我們知道我們已經出死入生
[00:01:11.940 --> 00:01:16.020]  原來我們「愛」弟兄
[00:01:16.020 --> 00:01:21.140]  是已經出死入生的了
[00:01:21.140 --> 00:01:24.220]  而約翰又告訴我們
[00:01:24.220 --> 00:01:25.760]  我們知道的
[00:01:27.040 --> 00:01:27.800]  所以
[00:01:27.800 --> 00:01:31.640]  「出死入生」的意思就是,我們相信
[00:01:31.640 --> 00:01:33.180]  我們聽
[00:01:33.180 --> 00:01:35.740]  又相信那差我來的
[00:01:35.740 --> 00:01:37.020]  耶穌基督
[00:01:37.020 --> 00:01:38.800]  就有永生
[00:01:38.800 --> 00:01:40.340]  不至於定罪
[00:01:40.340 --> 00:01:41.880]  不定罪的時候
[00:01:41.880 --> 00:01:44.440]  我們已經「出死」
[00:01:44.440 --> 00:01:46.240]  「入生」
[00:01:46.240 --> 00:01:51.860]  這個是信耶穌帶來給我們的結果
