
[00:00:00.000 --> 00:00:07.000]  我們一起來讀《雅各書》第五章第七節到十二節,一起來
[00:00:07.000 --> 00:00:11.000]  弟兄們,你們要忍耐直到出來
[00:00:11.000 --> 00:00:16.000]  看那農夫忍耐等候地裡寶貴的畜產
[00:00:16.000 --> 00:00:19.000]  直到得了秋雨成雨
[00:00:19.000 --> 00:00:22.000]  你們也要忍耐堅定你們的心
[00:00:22.000 --> 00:00:25.000]  因為出來的日子近了
[00:00:25.000 --> 00:00:29.000]  弟兄們,你們不要彼此埋怨
[00:00:29.000 --> 00:00:31.000]  眼睜睜地受審判
[00:00:31.000 --> 00:00:34.000]  看那審判的逐度站在你們身後
[00:00:34.000 --> 00:00:40.000]  弟兄們,你們要把那先前供主您說話的忠賢之人
[00:00:40.000 --> 00:00:44.000]  當作能受苦、能忍耐的榜樣
[00:00:44.000 --> 00:00:46.000]  和那先前忍耐的人
[00:00:46.000 --> 00:00:49.000]  我們稱他們是有福的
[00:00:49.000 --> 00:00:52.000]  你們聽見過越國的人來
[00:00:52.000 --> 00:00:55.000]  也知道主給他的解局
[00:00:55.000 --> 00:01:00.000]  明顯就是感性憐憫、大有慈悲
[00:01:00.000 --> 00:01:05.000]  我的弟兄們,最要緊的是不可啓示
[00:01:05.000 --> 00:01:10.000]  不可指的天啓示,也不可指的地啓示
[00:01:10.000 --> 00:01:13.000]  任何事都不可啓
[00:01:13.000 --> 00:01:16.000]  你們說話,是就說是
[00:01:16.000 --> 00:01:18.000]  不是就說不是
[00:01:18.000 --> 00:01:22.000]  免得你們落在審判之下
[00:01:22.000 --> 00:01:25.000]  我們先把今天的經文
[00:01:25.000 --> 00:01:28.000]  選這部分來先讀一遍
[00:01:28.000 --> 00:01:33.000]  那我們底下會交通到13節到20節
[00:01:33.000 --> 00:01:39.000]  我們整個把這部分的經文都要一同來思想的
[00:01:39.000 --> 00:01:42.000]  我們的題目是忍耐直到主來
[00:01:42.000 --> 00:01:45.000]  這是在第7節裡面這句話
[00:01:45.000 --> 00:01:50.000]  他說弟兄們,你們要忍耐直到主來
[00:01:50.000 --> 00:01:55.000]  那這是雅各蘇最後的一段
[00:01:55.000 --> 00:02:00.000]  也可以說是整本雅各蘇的一個總結了
[00:02:00.000 --> 00:02:03.000]  因為在這一段裡頭
[00:02:03.000 --> 00:02:08.000]  他把雅各蘇裡頭以前提過的內容
[00:02:08.000 --> 00:02:11.000]  又把它再總結一下
[00:02:11.000 --> 00:02:14.000]  把它再詳細的說一下
[00:02:14.000 --> 00:02:18.000]  比如在第一章就提到忍耐
[00:02:18.000 --> 00:02:20.000]  隨著到第五章提到忍耐
[00:02:20.000 --> 00:02:25.000]  在第三章講到言語的重要
[00:02:25.000 --> 00:02:28.000]  在這一章也講到言語
[00:02:28.000 --> 00:02:30.000]  這言語就表現是積極的
[00:02:30.000 --> 00:02:32.000]  是一個禱告
