
[00:00:00.000 --> 00:00:02.400]  我頂姐妹早晨
[00:00:02.400 --> 00:00:05.260]  不知大家還記不記得上個月講到
[00:00:05.260 --> 00:00:08.140]  我用尼稀米見到以色列民
[00:00:08.140 --> 00:00:11.900]  他們被擄終於歸回,可以回家了
[00:00:11.900 --> 00:00:14.180]  回到耶路撒冷定居
[00:00:14.180 --> 00:00:16.400]  應該是很興奮的時候
[00:00:16.400 --> 00:00:18.320]  因為他們終於可以回家
[00:00:18.320 --> 00:00:21.380]  可以得著自由,不用再被擄
[00:00:21.380 --> 00:00:24.060]  誰知回到家的時候
[00:00:24.060 --> 00:00:28.260]  就發現耶路撒冷城門發生什麼事
[00:00:28.260 --> 00:00:29.520]  被火燒
[00:00:29.520 --> 00:00:33.500]  然後城牆就沒有了,倒塌了
[00:00:33.500 --> 00:00:36.000]  城門、城牆被毀
[00:00:36.000 --> 00:00:38.000]  成為了家不成家
[00:00:38.000 --> 00:00:42.340]  完全失去了一份安全保護保障
[00:00:42.340 --> 00:00:43.600]  好像完全沒有了
[00:00:43.600 --> 00:00:45.880]  就好像你回到家的時候
[00:00:45.880 --> 00:00:48.220]  發現這扇門沒有了的時候
[00:00:48.220 --> 00:00:50.520]  所有人都走進來你家
[00:00:50.520 --> 00:00:53.320]  這個家就會被人霸佔了
[00:00:53.320 --> 00:00:54.720]  他們也是一樣
[00:00:54.720 --> 00:00:57.980]  耶路撒冷城門、城牆被毀的時候
[00:00:57.980 --> 00:01:00.160]  回到家竟然發現
[00:01:00.160 --> 00:01:02.500]  那些敵人可以隨時做什麼
[00:01:02.500 --> 00:01:06.400]  走進來攻打那些以色列民
[00:01:06.400 --> 00:01:09.040]  所以當時尼稀米很難過
[00:01:09.040 --> 00:01:10.740]  很傷心的時候
[00:01:10.740 --> 00:01:12.840]  那些百姓繼續下去的時候
[00:01:12.840 --> 00:01:15.240]  他們仍然沒有好日子過
[00:01:15.240 --> 00:01:18.280]  仍然過著一個秘魯的生活
[00:01:18.280 --> 00:01:20.580]  但是尼稀米很愛他們
[00:01:20.580 --> 00:01:24.520]  他亦很知道上帝給他的呼召和呼召
[00:01:24.520 --> 00:01:25.880]  尼稀米就說
[00:01:25.880 --> 00:01:29.960]  「我要決心做什麼?我要重建這個城牆」
[00:01:29.960 --> 00:01:33.360]  當這份熱誠帶著決心
[00:01:33.360 --> 00:01:34.560]  帶著祈禱
[00:01:34.560 --> 00:01:36.100]  帶著行動
[00:01:36.100 --> 00:01:39.300]  經過當時的「黃波斯王」
[00:01:39.300 --> 00:01:41.240]  亞達斯西王的批准
[00:01:41.240 --> 00:01:42.740]  把照書給你
[00:01:42.740 --> 00:01:45.160]  預備好所有的木材
[00:01:45.160 --> 00:01:46.400]  去吧!
