
[00:00:00.000 --> 00:00:02.380]  我們每個人都需要睡覺。
[00:00:02.380 --> 00:00:04.620]  有些人遲遲不能入睡,
[00:00:04.620 --> 00:00:08.020]  有些人隨時隨地都能睡覺。
[00:00:08.020 --> 00:00:11.020]  睡覺對不同的人都有不同的意識。
[00:00:11.020 --> 00:00:14.980]  當門徒們耶穌在禱告的時候睡着了,
[00:00:14.980 --> 00:00:17.660]  耶穌就責備他們。
[00:00:17.660 --> 00:00:20.580]  在馬可福音第十四章三十七節,
[00:00:20.580 --> 00:00:23.100]  耶穌就對西門彼得說,
[00:00:23.100 --> 00:00:27.980]  「西門,你睡覺嗎?不能警醒片詞嗎?」
[00:00:27.980 --> 00:00:33.060]  但是有時候睡覺卻給不一樣的人帶來不一樣的好處。
[00:00:33.060 --> 00:00:38.100]  有一天,老張去參加了一個有兩千人的語文競賽。
[00:00:38.100 --> 00:00:39.780]  這語文競賽的題目是,
[00:00:39.780 --> 00:00:46.980]  用一句話來形容什麼是和平、寧靜和快樂的意境。
[00:00:46.980 --> 00:00:51.540]  大家就絞盡腦汁,想盡辦法寫出最好的一句話。
[00:00:51.540 --> 00:00:55.180]  老張就在紙上隨便寫了幾個字。
[00:00:55.180 --> 00:00:57.780]  結果得頭獎的竟然是老張。
[00:00:57.780 --> 00:01:01.940]  大家非常地好奇,到底老張寫了什麼字呢?
[00:01:01.940 --> 00:01:04.500]  老張只寫了六個字,
[00:01:04.500 --> 00:01:08.540]  「我太太睡着了。」
[00:01:08.540 --> 00:01:13.140]  所有的評審頒獎的時候感動得淚流滿面,
[00:01:13.140 --> 00:01:15.260]  並深深地擁抱着他,
[00:01:15.260 --> 00:01:21.740]  告訴旁邊的人說,要精心禱告,不要睡覺。
[00:01:21.740 --> 00:01:25.420]  如果你稍微有留意基督教的階級的話,
[00:01:25.420 --> 00:01:31.180]  再過三個禮拜,就是我們一年力度的復活節還有送難節。
[00:01:31.180 --> 00:01:33.780]  你知道嗎,在這個之前的四十天,
[00:01:33.780 --> 00:01:39.380]  就是在2月18號,被稱爲聖徽星期三,H Wednesday,
[00:01:39.380 --> 00:01:41.900]  乃是改革中傳統的宗派,
[00:01:41.900 --> 00:01:45.580]  包括聖公會、路德會、慰禮公會,
[00:01:45.580 --> 00:01:51.580]  都會把這四十天的時間來鼓勵信徒們要好好地進食禱告,
[00:01:51.580 --> 00:01:57.060]  好好地在神面前反省、默想、然後悔改、認罪,
