
[00:00:00.000 --> 00:00:02.000]  各位大型姊妹早安
[00:00:02.000 --> 00:00:05.000]  各位禮堂裡面參與崇拜的小朋友早安
[00:00:05.000 --> 00:00:07.000]  今天是年初一
[00:00:07.000 --> 00:00:09.000]  在這裡恭祝大家新的一年
[00:00:09.000 --> 00:00:11.000]  能夠愛主更深
[00:00:11.000 --> 00:00:14.000]  以前教會裡面的目者
[00:00:14.000 --> 00:00:16.000]  每一次講到提到大衛王的仇
[00:00:16.000 --> 00:00:19.000]  總是視大衛王為一個好的王
[00:00:19.000 --> 00:00:23.000]  雖然他的生命裡面曾經犯過罪
[00:00:23.000 --> 00:00:26.000]  不過這些只是小小的污點而已
[00:00:26.000 --> 00:00:28.000]  畢竟神親自這樣說
[00:00:28.000 --> 00:00:30.000]  我尋得耶西的兒子大衛
[00:00:30.000 --> 00:00:33.000]  他是合我心意的人
[00:00:33.000 --> 00:00:35.000]  凡事要遵從我的旨意
[00:00:35.000 --> 00:00:37.000]  連神都這樣讚賞大衛
[00:00:37.000 --> 00:00:41.000]  為什麼大衛不是一個好的王呢
[00:00:41.000 --> 00:00:44.000]  畢竟猶大人對大衛是很重視的
[00:00:44.000 --> 00:00:45.000]  大衛王對他來說
[00:00:45.000 --> 00:00:48.000]  是一個歷史上很重要的王
[00:00:48.000 --> 00:00:50.000]  在我們的兒童級主教裡面
[00:00:50.000 --> 00:00:52.000]  每次講到大衛王的仇
[00:00:52.000 --> 00:00:55.000]  同樣會將他描述為一位大人的勇士
[00:00:55.000 --> 00:00:59.000]  他殺敗了那位褻瀆神的巨人哥利亞
[00:00:59.000 --> 00:01:02.000]  並且他在神面前有一個很好的心願
[00:01:02.000 --> 00:01:05.000]  就是要為神建造聖殿
[00:01:05.000 --> 00:01:06.000]  而我們看聖經裡面
[00:01:06.000 --> 00:01:09.000]  列王記和歷代志的時候
[00:01:09.000 --> 00:01:12.000]  我們發覺聖經裡面評論猶大諸王的仇
[00:01:12.000 --> 00:01:14.000]  都用大衛作為一把準尺
[00:01:14.000 --> 00:01:15.000]  作為一把準繩
[00:01:15.000 --> 00:01:17.000]  作為一把迫的尺
[00:01:17.000 --> 00:01:19.000]  當那些王是好的時候
[00:01:19.000 --> 00:01:20.000]  聖經就這樣形容
[00:01:20.000 --> 00:01:25.000]  這個王效法他列祖大衛閒夜王眼中何為正的事
[00:01:25.000 --> 00:01:27.000]  當這個王是不好的時候
[00:01:27.000 --> 00:01:29.000]  就會形容他利器夜禍
[00:01:29.000 --> 00:01:31.000]  他列祖的神
[00:01:31.000 --> 00:01:32.000]  由此可見
[00:01:32.000 --> 00:01:35.000]  大衛王是評價猶大諸王好壞的一把尺
[00:01:35.000 --> 00:01:37.000]  一個很重要的標準
[00:01:37.000 --> 00:01:39.000]  大衛的確是一個很偉大的人物
[00:01:39.000 --> 00:01:42.000]  聖經裡面提到他是偉大的王
[00:01:42.000 --> 00:01:43.000]  是勇敢的戰士
[00:01:43.000 --> 00:01:45.000]  曾經殺敗了菲利士人
[00:01:45.000 --> 00:01:46.000]  亞勒馬尼人
[00:01:46.000 --> 00:01:47.000]  阿摩人
[00:01:47.000 --> 00:01:48.000]  他是一位音樂家
[00:01:48.000 --> 00:01:50.000]  他的詩人
[00:01:50.000 --> 00:01:51.000]  在聖經裡面
[00:01:51.000 --> 00:01:52.000]  很多詩篇裡面的作品
[00:01:52.000 --> 00:01:54.000]  都是大衛所寫的
[00:01:54.000 --> 00:01:55.000]  而根據聖經的記述
[00:01:55.000 --> 00:01:58.000]  耶穌也是大衛的後裔
[00:01:58.000 --> 00:01:59.000]  由此可見
[00:01:59.000 --> 00:02:01.000]  大衛王在歷史上面
[00:02:01.000 --> 00:02:02.000]  在猶太人的歷史當中
[00:02:02.000 --> 00:02:04.000]  地位相當重要
[00:02:04.000 --> 00:02:05.000]  不過
[00:02:05.000 --> 00:02:07.000]  大衛王到底是一個好的王
[00:02:07.000 --> 00:02:08.000]  還是一個壞的王呢
[00:02:08.000 --> 00:02:12.000]  這一點值得我們重新去思考
