
[00:00:00.000 --> 00:00:07.500]  Elohi, Elohi, Lama Sabbathane
[00:00:07.500 --> 00:00:14.380]  Ilohi, Ilohi, Lama Sabbathane
[00:00:14.380 --> 00:00:23.260]  是基督對黑暗最深層的哀痛
[00:00:23.260 --> 00:00:26.660]  當你落在人生跌進恍如黑暗的日子
[00:00:26.660 --> 00:00:31.260]  這種感受其實特別明顯
[00:00:31.260 --> 00:00:33.260]  詩篇的二十二篇
[00:00:33.260 --> 00:00:37.660]  是耶穌在十字架引用的詩篇
[00:00:37.660 --> 00:00:41.860]  這一篇是一篇很貼切的哀歌
[00:00:41.860 --> 00:00:44.660]  大衛的這首詩所描繪的
[00:00:44.660 --> 00:00:48.660]  是一個人落在一個極度的困苦中
[00:00:48.660 --> 00:00:51.860]  他不單落入危難被受攻擊
[00:00:51.860 --> 00:00:52.860]  還被圍困
[00:00:52.860 --> 00:01:00.460]  而他的心靈更加是彷似跌進一個黑暗的深淵
[00:01:00.460 --> 00:01:01.260]  如果你有聖經
[00:01:01.260 --> 00:01:05.860]  你也可以揭開詩篇的第二十二篇
[00:01:05.860 --> 00:01:06.860]  在那裏
[00:01:06.860 --> 00:01:13.060]  詩人兩次去求告
[00:01:13.060 --> 00:01:16.260]  「求祢不要遠離我」
[00:01:16.260 --> 00:01:17.860]  「求祢不要遠離我」
[00:01:17.860 --> 00:01:21.260]  第一次是在第二十二篇十一節
[00:01:21.260 --> 00:01:23.660]  第二次是在第十九節
[00:01:23.660 --> 00:01:25.660]  一前一後這樣
[00:01:25.660 --> 00:01:30.060]  他將自己落在一個黑暗深淵的經歷寫出來
[00:01:30.060 --> 00:01:31.260]  在第十一節
[00:01:31.260 --> 00:01:32.460]  詩人的討告說
[00:01:32.460 --> 00:01:33.860]  「求祢不要遠離我」
[00:01:33.860 --> 00:01:35.060]  然後他就說
[00:01:35.060 --> 00:01:39.260]  因為有災難臨到沒有人幫
[00:01:39.260 --> 00:01:42.660]  他被強勢的人圍困
[00:01:42.660 --> 00:01:48.860]  現在敵人張牙舞爪地對著他
[00:01:48.860 --> 00:01:53.060]  他們所做的令他的骨頭分離
[00:01:53.060 --> 00:01:57.460]  心力消逝
[00:01:57.460 --> 00:02:01.060]  他說他已經用盡所有的力量
[00:02:01.060 --> 00:02:03.660]  他瀕臨死亡
[00:02:03.660 --> 00:02:08.460]  因為敵人刺穿了他的手和腳
[00:02:08.460 --> 00:02:10.060]  而旁邊很多人看著
[00:02:10.060 --> 00:02:12.260]  圍觀
[00:02:12.260 --> 00:02:18.860]  但他已經所有的衣物、外衣、內衣
[00:02:18.860 --> 00:02:21.660]  都被人搶奪
[00:02:21.660 --> 00:02:27.660]  連人的尊嚴都盡失
[00:02:27.660 --> 00:02:30.460]  所以詩人在第十九節再一次的祈禱說
[00:02:30.460 --> 00:02:35.260]  「求祢不要遠離我」
[00:02:35.260 --> 00:02:39.060]  詩篇是祈禱來的
[00:02:39.060 --> 00:02:40.660]  而耶穌基督
[00:02:40.660 --> 00:02:44.660]  就是這篇祈禱的實現
[00:02:44.660 --> 00:02:45.860]  詩篇是祈禱來的
[00:02:45.860 --> 00:02:49.660]  而耶穌基督就是這篇祈禱的實現
[00:02:49.660 --> 00:02:50.860]  在這篇描述耶穌
[00:02:50.860 --> 00:02:52.860]  釘生十誡的經文裏面
[00:02:52.860 --> 00:02:53.860]  在馬福音那裏
[00:02:53.860 --> 00:02:55.060]  我們看到、找到
[00:02:55.060 --> 00:02:59.460]  剛才我們聽讀經小組所讀的
[00:02:59.460 --> 00:03:02.060]  彷彿重演詩篇二十二篇
[00:03:02.060 --> 00:03:06.260]  每一處的地方
[00:03:06.260 --> 00:03:10.460]  馬福音這本最早期的福音書
[00:03:10.460 --> 00:03:15.860]  只記下了耶穌在十字架的一句說話
[00:03:15.860 --> 00:03:22.260]  就是「以來伊,拉瑪撒巴葛大尼」
[00:03:22.260 --> 00:03:24.660]  把耶穌的阿蘭文口語翻譯了
[00:03:24.660 --> 00:03:26.860]  聖經告訴我們
[00:03:26.860 --> 00:03:32.260]  「我的神,我的神,為什麼離棄我?」
[00:03:32.260 --> 00:03:33.460]  耶穌在十字架上
[00:03:33.460 --> 00:03:35.860]  引用這篇詩篇的第一節上半
[00:03:35.860 --> 00:03:38.060]  發出祈禱
[00:03:38.060 --> 00:03:41.260]  而馬可敘述的鋪排
[00:03:41.260 --> 00:03:47.060]  你可以翻到馬福音第十五章
[00:03:47.060 --> 00:03:48.260]  那裏讓你多了解
[00:03:48.260 --> 00:03:53.860]  主耶穌在十字架上這句說話的意義
[00:03:53.860 --> 00:03:55.860]  馬福音那裏
[00:03:55.860 --> 00:03:59.260]  第十五章的三十三節
[00:03:59.260 --> 00:04:01.860]  新書這樣說
[00:04:01.860 --> 00:04:08.660]  到了正午的時間
[00:04:08.660 --> 00:04:10.060]  正午在中東的地方
[00:04:10.060 --> 00:04:12.460]  本應是太陽高掛
[00:04:12.460 --> 00:04:14.460]  最光亮的時刻
[00:04:14.460 --> 00:04:17.060]  但在耶穌被釘上十字架的這一刻
[00:04:17.060 --> 00:04:19.260]  這個正午
[00:04:19.260 --> 00:04:21.660]  好像我們現在在中午的時間
[00:04:21.660 --> 00:04:23.860]  本應像窗外一樣
[00:04:23.860 --> 00:04:25.660]  陽光普照
[00:04:25.660 --> 00:04:27.860]  不過在主被釘上十字架的這一刻
[00:04:27.860 --> 00:04:31.060]  卻是遍地黑暗
[00:04:31.060 --> 00:04:32.860]  這個黑暗
[00:04:32.860 --> 00:04:34.860]  從正午的十二點
[00:04:34.860 --> 00:04:39.060]  一直持續了三個小時
[00:04:39.060 --> 00:04:42.860]  直至到下午的三點
[00:04:42.860 --> 00:04:43.860]  環境的黑暗
[00:04:43.860 --> 00:04:47.460]  其實是襯托了這個世界的黑暗
[00:04:47.460 --> 00:04:48.660]  一個荒謬的現實
[00:04:48.660 --> 00:04:51.460]  一個扭曲的人性
[00:04:51.460 --> 00:04:54.060]  一個屈往正直的制度
[00:04:54.060 --> 00:05:00.260]  一個隨意己而後快的社會
[00:05:00.260 --> 00:05:03.460]  耶穌自從被捕之後
[00:05:03.460 --> 00:05:05.460]  祂經歷了漫長的一夜審訊
[00:05:05.460 --> 00:05:06.260]  在大祭司
[00:05:06.260 --> 00:05:07.060]  在公議會
[00:05:07.060 --> 00:05:09.060]  在地方權勢的希律王
[00:05:09.060 --> 00:05:11.460]  在殖民強權的羅馬總督手下
[00:05:11.460 --> 00:05:13.460]  一連串的審問
[00:05:13.460 --> 00:05:14.460]  逼供
[00:05:14.460 --> 00:05:15.460]  誣衊
[00:05:15.460 --> 00:05:17.460]  侮辱
[00:05:17.460 --> 00:05:20.460]  祂還要接受士兵對祂施行的毆打
[00:05:20.460 --> 00:05:21.060]  虐待
[00:05:21.060 --> 00:05:21.860]  嘲笑
[00:05:21.860 --> 00:05:23.860]  玩弄
[00:05:23.860 --> 00:05:27.860]  各式各樣的暴力
[00:05:27.860 --> 00:05:32.260]  集中在耶穌的身上
