
[00:00:00.000 --> 00:00:08.000]  感恩今日能夠來到大家當中跟大家分享順利的華語
[00:00:08.000 --> 00:00:11.000]  亦都有點遺憾因為今天沒有實體崇拜
[00:00:11.000 --> 00:00:16.000]  在開始之前一起做個祈禱
[00:00:16.000 --> 00:00:23.000]  慈愛父上帝多謝你因為你愛我們
[00:00:23.000 --> 00:00:27.000]  你拆卸你的愛子
[00:00:27.000 --> 00:00:30.000]  耶穌基督來到世界上承擔我們的罪孽
[00:00:30.000 --> 00:00:33.000]  使我們由不潔變為聖潔
[00:00:33.000 --> 00:00:35.000]  由罪人得道重生
[00:00:35.000 --> 00:00:38.000]  主啊使我們聽聞你的福音
[00:00:38.000 --> 00:00:41.000]  主啊幫助我們思想你們的經文
[00:00:41.000 --> 00:00:44.000]  使你賜智慧聰明給孩子
[00:00:44.000 --> 00:00:46.000]  給孩子能夠清晰地宣講
[00:00:46.000 --> 00:00:48.000]  熾熱地宣講
[00:00:48.000 --> 00:00:50.000]  因為這是你的華語
[00:00:50.000 --> 00:00:53.000]  在你的華語裏面有令人動容的福音
[00:00:53.000 --> 00:00:56.000]  是你幫助我們打開我們的耳朵
[00:00:56.000 --> 00:00:57.000]  打開我們的眼睛
[00:00:57.000 --> 00:00:58.000]  打開我們的心
[00:00:58.000 --> 00:01:00.000]  以至我們聽到你的福音
[00:01:00.000 --> 00:01:01.000]  我們滿心喜樂
[00:01:01.000 --> 00:01:04.000]  全心全意重讚你的十字架
[00:01:04.000 --> 00:01:05.000]  我們禱告教託
[00:01:05.000 --> 00:01:07.000]  奉求救主耶穌名之祈求
[00:01:07.000 --> 00:01:08.000]  Amen
[00:01:08.000 --> 00:01:15.000]  今日我們宣講的經文是詩篇第十五篇
[00:01:15.000 --> 00:01:21.000]  實不相瞞這是我人生第一次用詩篇來做一個講道的經文
[00:01:21.000 --> 00:01:25.000]  所以我花了相當多的時間去思想
[00:01:25.000 --> 00:01:27.000]  當我選擇詩篇第十五篇的時候
[00:01:27.000 --> 00:01:30.000]  我沒有想過會這麼複雜
[00:01:30.000 --> 00:01:34.000]  所以我實不相瞞有一點點後悔
[00:01:34.000 --> 00:01:37.000]  有沒有想過什麼是詩篇呢
[00:01:37.000 --> 00:01:39.000]  很多時候有些詩歌
[00:01:39.000 --> 00:01:43.000]  用詩篇的經文句子來作一首詩歌做歌詞
[00:01:43.000 --> 00:01:44.000]  我們很喜歡重唱它
[00:01:44.000 --> 00:01:46.000]  或者我們心情低落的時候
[00:01:46.000 --> 00:01:47.000]  我們喜歡看詩篇
[00:01:47.000 --> 00:01:51.000]  但你有沒有想過什麼是詩篇的背景
[00:01:51.000 --> 00:01:53.000]  什麼是詩篇呢
[00:01:53.000 --> 00:01:57.000]  有沒有想過詩篇寫作的目的是什麼
[00:01:57.000 --> 00:01:58.000]  有不同的作者
[00:01:58.000 --> 00:02:02.000]  但是有一個人將這些不同作者的詩篇擺在一起
[00:02:02.000 --> 00:02:07.000]  究竟這個編輯者的目的是什麼呢
[00:02:07.000 --> 00:02:10.000]  我想告訴你詩篇背後的一些背景
[00:02:10.000 --> 00:02:13.000]  原來上帝揀選以色列人
