
[00:00:00.000 --> 00:00:02.600]  今日剛才大家讀的經文裡
[00:00:02.600 --> 00:00:03.600]  有一節的經文
[00:00:03.600 --> 00:00:06.000]  是全篇裡很突顯的
[00:00:06.000 --> 00:00:09.800]  也是我們剛剛所讀的金句
[00:00:09.800 --> 00:00:12.800]  就是「以耶和華為神的」
[00:00:12.800 --> 00:00:16.000]  為什麼我在這個題目後面點點點呢?
[00:00:16.000 --> 00:00:18.200]  因為按照聖經這裡是說
[00:00:18.200 --> 00:00:20.400]  「那國是有福的」
[00:00:20.400 --> 00:00:23.000]  不過我不想只說「那國」
[00:00:23.000 --> 00:00:25.200]  「以耶和華為神的」
[00:00:25.200 --> 00:00:27.400]  是「那國是有福的」
[00:00:27.400 --> 00:00:29.400]  「那家是有福的」
[00:00:29.400 --> 00:00:31.400]  「那人也是有福的」
[00:00:31.400 --> 00:00:34.400]  用這個層面去跟大家思想
[00:00:34.400 --> 00:00:35.800]  將我們的注意力
[00:00:35.800 --> 00:00:38.000]  再次帶到我們的主
[00:00:38.000 --> 00:00:40.600]  我們的神的面前
[00:00:40.600 --> 00:00:43.200]  我們說「溫故而知新」
[00:00:43.200 --> 00:00:45.800]  很多時候我們的眼睛
[00:00:45.800 --> 00:00:49.000]  從小時候開始很健康的
[00:00:49.000 --> 00:00:51.800]  長大後如果用的姿勢不對
[00:00:51.800 --> 00:00:54.400]  一會兒就開始要戴眼鏡
[00:00:54.400 --> 00:00:55.400]  近視
[00:00:55.400 --> 00:00:57.000]  再大一點
[00:00:57.000 --> 00:01:00.400]  近視也不行,就戴遠視
[00:01:00.400 --> 00:01:04.200]  遠視、近視、雙重也不行
[00:01:04.200 --> 00:01:06.600]  可能裡面有毛病
[00:01:06.600 --> 00:01:08.800]  要不就是白內障
[00:01:08.800 --> 00:01:10.800]  要不就是青光眼
[00:01:10.800 --> 00:01:14.600]  這麼嚴重,一會兒就視覺膜脫落
[00:01:14.600 --> 00:01:16.000]  因著不同的情況
[00:01:16.000 --> 00:01:17.800]  我們就要調教對眼
[00:01:17.800 --> 00:01:20.400]  有時候調教帶回近視
[00:01:20.400 --> 00:01:22.000]  有時候帶回遠視鏡
[00:01:22.000 --> 00:01:24.400]  有時候去做手術
[00:01:24.400 --> 00:01:26.200]  同樣我們熟齡的眼睛
[00:01:26.200 --> 00:01:28.400]  有時候也需要調教
[00:01:28.400 --> 00:01:32.000]  很久以前所認識的訊息
[00:01:32.000 --> 00:01:34.800]  我們要不要再一次溫一溫
[00:01:34.800 --> 00:01:37.400]  驗證一下我們的熟齡眼光
