
[00:00:00.000 --> 00:00:04.860]  今天我們說到寡婦的奉獻
[00:00:04.860 --> 00:00:11.380]  在寡婦的身上我們學到什麼呢?
[00:00:11.380 --> 00:00:17.020]  我們先來一個禱告
[00:00:17.020 --> 00:00:20.480]  我們親愛的天父
[00:00:20.480 --> 00:00:25.760]  我們感謝你給我們有生命的氣息
[00:00:25.760 --> 00:00:33.940]  有能力、有聰明智慧在當中賺取金錢
[00:00:33.940 --> 00:00:36.120]  我們很感謝你
[00:00:36.120 --> 00:00:40.840]  但希望透過今天的講題
[00:00:40.840 --> 00:00:45.320]  給我們多一點的了解
[00:00:45.320 --> 00:00:48.360]  請你帶領我們以下的時間
[00:00:48.360 --> 00:00:56.540]  我們這樣的禱告是奉教主耶穌基督聖名祈求
[00:00:56.540 --> 00:00:59.080]  在這一段的經文裡面
[00:00:59.080 --> 00:01:05.160]  我們看一看為什麼
[00:01:05.160 --> 00:01:12.560]  在這一段的經文裡面我們看看為什麼
[00:01:12.560 --> 00:01:22.320]  第一件事我們會說為什麼我們要奉獻呢?
[00:01:22.320 --> 00:01:25.680]  第一我們要說為什麼我們要奉獻呢?
[00:01:25.680 --> 00:01:28.280]  我想問問大家為什麼我們要奉獻呢?
[00:01:28.280 --> 00:01:30.780]  我們想問問大家為什麼我們要奉獻呢?
[00:01:30.780 --> 00:01:38.560]  有誰可以告訴我們?
[00:01:38.560 --> 00:01:41.160]  其實很簡單
[00:01:41.160 --> 00:01:46.000]  其實這個是神的一個吩咐
[00:01:46.000 --> 00:01:51.340]  因為其實不是在新約的時候已經提到奉獻的
[00:01:51.340 --> 00:01:54.740]  因為不是在新約的時候才提到奉獻
[00:01:54.740 --> 00:02:00.220]  其實在舊約的時候已經提到奉獻了
[00:02:00.220 --> 00:02:03.020]  而且特別會提到十分一的奉獻
[00:02:03.020 --> 00:02:07.220]  特別提到有十分一的奉獻
[00:02:07.220 --> 00:02:15.060]  所以我都找了一些在舊約裡面的經文
[00:02:15.060 --> 00:02:18.420]  不要怕我不會每一節都讀出來
[00:02:18.420 --> 00:02:24.980]  大家可以看到我是有些不同的顏色
[00:02:24.980 --> 00:02:27.860]  大家可以看到是有不同的顏色
[00:02:27.860 --> 00:02:33.460]  就會在紅色的地方多提一點
[00:02:33.460 --> 00:02:38.780]  在這一節的經文裡面就講到
[00:02:38.780 --> 00:02:45.940]  就是神就跟阿倫去說話
