
[00:00:00.000 --> 00:00:06.120]  好 各位英語姊妹 新年蒙恩
[00:00:06.120 --> 00:00:10.920]  在中國的傳統有一個習俗
[00:00:10.920 --> 00:00:13.680]  就是元旦的時候是要洗澡的
[00:00:13.680 --> 00:00:14.880]  不知道你那天有沒有洗澡
[00:00:14.880 --> 00:00:16.880]  你說我每天都有洗
[00:00:16.880 --> 00:00:19.040]  但是那天的洗澡是帶有宗教意義的
[00:00:19.040 --> 00:00:19.960]  你知道嗎
[00:00:19.960 --> 00:00:21.800]  中國有一句古話叫做
[00:00:21.800 --> 00:00:25.280]  狗日新 日日新 又日新
[00:00:25.280 --> 00:00:27.720]  商朝的第一個王把這句話
[00:00:27.720 --> 00:00:31.400]  刻在了他的澡盆上 洗澡盆上
[00:00:31.400 --> 00:00:32.640]  意思是什麼呢
[00:00:32.640 --> 00:00:34.400]  他要把自己洗乾淨
[00:00:34.400 --> 00:00:38.160]  要洗滌自己 更新自己
[00:00:38.160 --> 00:00:40.720]  我們盼望每一年新年的時候
[00:00:40.720 --> 00:00:42.040]  我們都要更新
[00:00:42.040 --> 00:00:43.040]  但是各位
[00:00:43.040 --> 00:00:46.520]  怎樣才能夠洗進我們的內心呢
[00:00:46.520 --> 00:00:50.280]  什麼才能夠更新我們的靈魂呢
[00:00:50.280 --> 00:00:51.960]  這是今天我要跟大家分享的
[00:00:51.960 --> 00:00:53.640]  唯有音信成義的福音
[00:00:53.640 --> 00:00:54.400]  阿悶
[00:00:54.400 --> 00:00:55.880]  我們低頭有一個禱告
[00:00:55.880 --> 00:00:57.760]  恩主是的 我們來到你的面前
[00:00:57.760 --> 00:00:59.360]  我們恭敬地把以下的時間
[00:00:59.360 --> 00:01:01.080]  仰望在主你的手中
[00:01:01.080 --> 00:01:02.640]  你是那位說話的神
[00:01:02.640 --> 00:01:04.320]  2025年第一個主日
[00:01:04.320 --> 00:01:06.000]  我們仰望在你的面前
[00:01:06.000 --> 00:01:08.280]  你與我們同在對我們的心說話
[00:01:08.280 --> 00:01:10.240]  用你的話把我們的心洗淨
[00:01:10.240 --> 00:01:10.800]  謝謝你
[00:01:10.800 --> 00:01:12.680]  奉耶穌基督的名禱告
[00:01:12.680 --> 00:01:15.080]  阿悶
[00:01:15.080 --> 00:01:18.520]  之所以選擇這段經文是因爲我們的
[00:01:18.520 --> 00:01:20.520]  如果你每天跟着晨禱
[00:01:20.520 --> 00:01:22.480]  跟着禱讀的進度
[00:01:22.480 --> 00:01:25.760]  就是今天的這十節的經文
[00:01:25.760 --> 00:01:28.800]  這段經文非常有張力
[00:01:28.800 --> 00:01:32.840]  顯得非常的緊張
[00:01:32.840 --> 00:01:33.640]  爲什麼呢
[00:01:33.640 --> 00:01:35.120]  因爲新約教會
[00:01:35.120 --> 00:01:37.680]  甚至新約聖經最重要的兩個人物
[00:01:37.680 --> 00:01:38.720]  當然除了耶穌以外
[00:01:38.720 --> 00:01:39.520]  一個叫做彼得
[00:01:39.520 --> 00:01:41.000]  一個叫做保羅
[00:01:41.000 --> 00:01:41.680]  你是基督徒
[00:01:41.680 --> 00:01:42.800]  你一定認得他們兩個
[00:01:42.800 --> 00:01:45.160]  他們兩個之間發生了一個張力
[00:01:45.160 --> 00:01:46.400]  發生了一個衝突
[00:01:46.400 --> 00:01:50.080]  有比這件事情更讓人看得心驚膽戰的嗎
[00:01:50.080 --> 00:01:52.520]  但是我們看到神的恩典
[00:01:52.520 --> 00:01:57.400]  這件事情就成了教會的一個祝福
[00:01:57.400 --> 00:01:59.160]  我不知道大家知不知道這個人
[00:01:59.160 --> 00:02:02.080]  這是2021年爆出來的一則新聞
[00:02:02.080 --> 00:02:03.680]  這個人叫做撒加利亞
[00:02:03.680 --> 00:02:07.560]  他是2020年去世
[00:02:07.560 --> 00:02:08.880]  爆出什麼新聞呢
[00:02:08.880 --> 00:02:10.520]  這一位神的僕人
[00:02:10.520 --> 00:02:13.720]  被一個獨立調查機構所曝光
[00:02:13.720 --> 00:02:16.640]  他多年來
[00:02:16.640 --> 00:02:18.360]  對許多的女性
[00:02:18.360 --> 00:02:23.120]  我看到超過200位女性有性騷擾的醜聞
[00:02:23.120 --> 00:02:24.240]  我不講細節了
[00:02:24.240 --> 00:02:26.320]  在網上還有他的信息
[00:02:26.320 --> 00:02:29.840]  那問題是這一位在美國享有聖諭
[00:02:29.840 --> 00:02:31.800]  被神大大使用的護教家
[00:02:31.800 --> 00:02:32.680]  神的僕人
[00:02:32.680 --> 00:02:34.280]  其實早在2015年
[00:02:34.280 --> 00:02:38.440]  就被一個從事基督教研究的律師所曝光了
[00:02:38.440 --> 00:02:41.040]  2017年說他學術造假
[00:02:41.040 --> 00:02:42.080]  文章造假
[00:02:42.080 --> 00:02:44.920]  包括2017年又被指控
[00:02:44.920 --> 00:02:46.120]  他與多位女性
[00:02:46.120 --> 00:02:49.600]  有這樣的一個性騷擾和性侵害
[00:02:49.600 --> 00:02:51.680]  但是這一切的指控
[00:02:51.680 --> 00:02:52.680]  你知道嗎
[00:02:52.680 --> 00:02:56.440]  都被他本人和他所忽視的機構
[00:02:56.440 --> 00:02:59.960]  用金錢還有這種的保密條約
[00:02:59.960 --> 00:03:03.640]  給平息過去了
[00:03:03.640 --> 00:03:05.400]  很讓人難過的一件事情
[00:03:05.400 --> 00:03:07.480]  我覺得不是一個神的僕人跌倒
[00:03:07.480 --> 00:03:08.400]  其實神的僕人跌倒
[00:03:08.400 --> 00:03:10.320]  當然是很讓人難過
[00:03:10.320 --> 00:03:12.880]  但是最讓人難過的是什麼呢
[00:03:12.880 --> 00:03:14.800]  當他出世的時候
[00:03:14.800 --> 00:03:16.080]  他不但沒有受到
[00:03:16.080 --> 00:03:20.320]  其他福音派牧師的一些的責問和監督
[00:03:20.320 --> 00:03:21.720]  相反的
[00:03:21.720 --> 00:03:24.680]  很多福音派人士都爲他站臺
[00:03:24.680 --> 00:03:26.280]  都爲他發聲
[00:03:26.280 --> 00:03:28.480]  使得他可以全身而退
[00:03:28.480 --> 00:03:30.800]  直到他死以後
[00:03:30.800 --> 00:03:33.040]  證據已經歷歷在目了
[00:03:33.040 --> 00:03:35.120]  這些的人才相繼出來
[00:03:35.120 --> 00:03:39.920]  承認說對他的指控都是真的
[00:03:39.920 --> 00:03:42.480]  很可悲對吧
[00:03:42.480 --> 00:03:43.520]  對於教會界來說
[00:03:43.520 --> 00:03:44.680]  是一件可悲的事情
[00:03:44.680 --> 00:03:45.520]  對他個人來說
[00:03:45.520 --> 00:03:47.240]  是一件更可悲的事情
[00:03:47.240 --> 00:03:48.920]  因爲有生之年
[00:03:48.920 --> 00:03:51.320]  他沒有機會悔改
[00:03:51.320 --> 00:03:55.680]  他只能在那個上帝基督審判臺前
[00:03:55.680 --> 00:03:59.320]  面對那位大而可畏的神
[00:03:59.320 --> 00:04:00.560]  各位
[00:04:00.560 --> 00:04:03.960]  今天我們回到今天的經文
[00:04:03.960 --> 00:04:06.800]  我們看到彼得
[00:04:06.800 --> 00:04:08.760]  這位在新約聖經當中
[00:04:08.760 --> 00:04:09.960]  耶穌的大弟子
[00:04:09.960 --> 00:04:11.000]  大門徒對不對
[00:04:11.000 --> 00:04:13.240]  使徒當中的老大
[00:04:13.240 --> 00:04:17.400]  他被當面當衆的責備
[00:04:17.400 --> 00:04:18.280]  英雄姊妹
[00:04:18.280 --> 00:04:21.040]  這是恩典
[00:04:21.040 --> 00:04:24.680]  這是教會一個自我更正的能力的體現
[00:04:24.680 --> 00:04:29.480]  這是聖靈在教會當中主權的一個表達
[00:04:29.480 --> 00:04:33.280]  讓我們看到今天這段經文的一個背景
[00:04:33.280 --> 00:04:34.800]  我們稍稍回顧一下
[00:04:34.800 --> 00:04:36.760]  如果你來參加我們的陳導
[00:04:36.760 --> 00:04:38.360]  你已經很清楚了
[00:04:38.360 --> 00:04:40.000]  但是如果你沒有來參加陳導的話
[00:04:40.000 --> 00:04:41.000]  我們稍稍回顧一下
[00:04:41.000 --> 00:04:43.200]  整個加拿大書第一章的背景
[00:04:43.200 --> 00:04:45.760]  在第一章保羅說只有一個福音
[00:04:45.760 --> 00:04:47.240]  有一些的假福音
[00:04:47.240 --> 00:04:49.200]  有一些的人把福音給篡改了
[00:04:49.200 --> 00:04:51.840]  但說其實只有一個福音
[00:04:51.840 --> 00:04:55.520]  保羅強調說福音的啓示是從神而來的
[00:04:55.520 --> 00:04:56.760]  不是人發明的
[00:04:56.760 --> 00:04:58.000]  不是人創造的
[00:04:58.000 --> 00:05:01.680]  所以這個福音是絕對不可以被改變的
[00:05:01.680 --> 00:05:05.200]  絕對不能被增加或者被減少的
[00:05:05.200 --> 00:05:06.800]  這是我們所信的福音
[00:05:06.800 --> 00:05:11.680]  歷久彌新的福音
[00:05:11.680 --> 00:05:13.600]  有一位傳道人
[00:05:13.600 --> 00:05:15.600]  他在全職傳道之前
[00:05:15.600 --> 00:05:17.200]  是在大學做老師的
[00:05:17.200 --> 00:05:18.280]  做教授的
[00:05:18.280 --> 00:05:19.360]  他說
[00:05:19.360 --> 00:05:21.560]  他做傳道人之後他發現一件事情
[00:05:21.560 --> 00:05:24.400]  他說在大學做教授
[00:05:24.400 --> 00:05:25.200]  他不是神學院
[00:05:25.200 --> 00:05:28.240]  他說在大學做教授交知識
[00:05:28.240 --> 00:05:30.040]  如果二十年前交的東西
[00:05:30.040 --> 00:05:31.800]  和二十年交的東西一模一樣
[00:05:31.800 --> 00:05:33.440]  他可能就要被停職了
[00:05:33.440 --> 00:05:35.040]  怎麼沒有進步呢
[00:05:35.040 --> 00:05:36.480]  他說來到教會
[00:05:36.480 --> 00:05:38.960]  他發現如果二十年前講的東西
[00:05:38.960 --> 00:05:42.000]  和二十年後講的東西
[00:05:42.000 --> 00:05:45.040]  如果不一樣
[00:05:45.040 --> 00:05:45.720]  怎麼樣
[00:05:45.720 --> 00:05:47.120]  他就要被停職了
[00:05:47.120 --> 00:05:49.080]  怎麼能不一樣呢
[00:05:49.080 --> 00:05:50.520]  福音不能添加
[00:05:50.520 --> 00:05:51.960]  福音不能減少
[00:05:51.960 --> 00:05:53.320]  福音不能更改
[00:05:53.320 --> 00:05:55.160]  因爲福音的作者是上帝
[00:05:55.160 --> 00:05:57.480]  不是我們研究出來的
[00:05:57.480 --> 00:05:59.680]  這個世界是求新的
[00:05:59.680 --> 00:06:01.480]  這個世界是求變的
[00:06:01.480 --> 00:06:05.080]  這個世界是要趕上時間的腳步去變化的
[00:06:05.080 --> 00:06:06.480]  但是我們所信靠的
[00:06:06.480 --> 00:06:10.320]  Again 是那個歷久彌新的福音
[00:06:10.320 --> 00:06:13.320]  那麼 問題來了
[00:06:13.320 --> 00:06:16.240]  你怎麼知道保羅所傳的那個福音
[00:06:16.240 --> 00:06:18.320]  就是那個
[00:06:18.320 --> 00:06:20.360]  那個上帝版本的福音呢
[00:06:20.360 --> 00:06:22.520]  會不會他自己研發出來的呢
[00:06:22.520 --> 00:06:25.480]  所以在加勒泰教會就有很多的人
[00:06:25.480 --> 00:06:28.280]  這樣攻擊保羅 誹謗保羅
[00:06:28.280 --> 00:06:31.240]  那接下來第二章我們就看到
[00:06:31.240 --> 00:06:34.800]  保羅有一個耶路撒冷的行程
[00:06:34.800 --> 00:06:36.280]  保羅來到耶路撒冷
[00:06:36.280 --> 00:06:38.960]  他遇見了起初的那些的使徒
[00:06:38.960 --> 00:06:41.880]  就是雅各 約翰 彼得
