
[00:00:00.000 --> 00:00:03.880]  有一個問題很多時候都有人問我
[00:00:03.880 --> 00:00:09.800]  就是為什麼上帝不拿走一些自然災害
[00:00:09.800 --> 00:00:14.260]  有颱風、地震、火災、水災
[00:00:14.260 --> 00:00:19.120]  為什麼上帝不取締一些人為的災害
[00:00:19.120 --> 00:00:21.120]  有戰爭、有難民
[00:00:21.120 --> 00:00:25.040]  昨天是九一一的二十週年紀念
[00:00:25.040 --> 00:00:28.680]  為什麼這麼淒慘的事情上帝都讓它發生
[00:00:28.680 --> 00:00:33.840]  為什麼上帝不取締這個新冠病毒
[00:00:33.840 --> 00:00:36.480]  我相信可能你都會問這個問題
[00:00:36.480 --> 00:00:38.480]  或者你會問多一個問題
[00:00:38.480 --> 00:00:43.840]  上帝我心裏面的波浪你可不可以拿走呢
[00:00:43.840 --> 00:00:48.360]  我面對的困難你可不可以幫我解決呢
[00:00:48.360 --> 00:00:52.960]  為什麼上帝你容許我經歷這麼多的憂患呢
[00:00:52.960 --> 00:01:03.360]  耶穌平靜風浪這件事是一個很吸引的神蹟
[00:01:03.360 --> 00:01:06.560]  但是每個人心裏面都有一個共鳴
[00:01:06.560 --> 00:01:10.280]  我心裏面、我生命裏面有一個風浪
[00:01:10.280 --> 00:01:13.400]  可不可以求耶穌拿走呢
[00:01:13.400 --> 00:01:16.840]  今天這段經文是讓我們知道
[00:01:16.840 --> 00:01:19.160]  耶穌做這件事的神蹟
[00:01:19.160 --> 00:01:23.360]  就讓我們知道祂是掌管天地的真神
[00:01:23.360 --> 00:01:28.720]  我們信靠祂就能夠泰然面對人生的波浪
[00:01:28.720 --> 00:01:31.760]  處變不驚化險為夷
[00:01:31.760 --> 00:01:37.160]  所以今天上帝是透過這個記錄讓你知道
[00:01:37.160 --> 00:01:41.560]  耶穌仍然在這裏仍然幫到你
[00:01:41.560 --> 00:01:44.280]  首先我們看看這段經文的背景
[00:01:44.280 --> 00:01:51.080]  《馬福音》第四章這段經文記載第39到45節
[00:01:51.080 --> 00:01:56.280]  第四章第一節講到那一天開始的時候
[00:01:56.280 --> 00:02:00.840]  早上到下午耶穌就在海邊教導人
[00:02:00.840 --> 00:02:05.400]  有一大群人聚集聽祂的教訓
[00:02:05.400 --> 00:02:07.880]  祂就坐在船上
[00:02:07.880 --> 00:02:11.600]  群眾就對著海站在岸上
[00:02:11.600 --> 00:02:16.600]  耶穌用比喻和教訓教導他們很多事情
[00:02:16.600 --> 00:02:19.960]  由早到晚到了黃昏講完了
[00:02:19.960 --> 00:02:25.800]  耶穌就叫門徒我們坐船去到加利利海的另一邊
[00:02:25.800 --> 00:02:27.400]  這個海不是很大
[00:02:27.400 --> 00:02:30.200]  這是一個湖當然也有一定的大
[00:02:30.200 --> 00:02:33.280]  他們稱它為加利利海
[00:02:33.280 --> 00:02:35.600]  但其實是一個大湖
[00:02:35.600 --> 00:02:37.600]  他們就坐船去那邊
[00:02:37.600 --> 00:02:40.960]  晚上就發生了風浪
[00:02:40.960 --> 00:02:43.400]  到了另一邊的時候
[00:02:43.400 --> 00:02:48.200]  第二天早上就是《馬可福音》五章一到二節
[00:02:48.200 --> 00:02:50.120]  我們到海的另一邊
[00:02:50.120 --> 00:02:53.400]  進入一個格拉森人的地方
[00:02:53.400 --> 00:02:55.000]  耶穌一下船
[00:02:55.000 --> 00:02:59.160]  就有一個被污淩、邪靈附著的人
[00:02:59.160 --> 00:03:04.040]  在墓地當中居住的人來找耶穌
[00:03:04.040 --> 00:03:06.360]  耶穌就醫治了他
[00:03:06.360 --> 00:03:10.240]  你看到整天由早到晚講道
[00:03:10.240 --> 00:03:12.560]  然後坐船去到加利利海
[00:03:12.560 --> 00:03:14.160]  耶穌就很累了
[00:03:14.160 --> 00:03:15.360]  就睡著了
[00:03:15.360 --> 00:03:17.920]  在船上睡著了是不容易的
[00:03:17.920 --> 00:03:21.560]  因為那艘船不是三千噸的大遊船
[00:03:21.560 --> 00:03:23.560]  你吃完之後睡一睡
[00:03:23.560 --> 00:03:25.120]  這艘小船
[00:03:25.120 --> 00:03:29.360]  據當時的考古記載
[00:03:29.360 --> 00:03:33.600]  大約是十六至十七呎
[00:03:33.600 --> 00:03:35.600]  寬是五呎六呎
[00:03:35.600 --> 00:03:38.360]  耶穌就在船尾睡著了
[00:03:38.360 --> 00:03:41.320]  風浪大他也睡著了
[00:03:41.320 --> 00:03:44.400]  你試過在風浪大的小艇上睡著了嗎?
[00:03:44.400 --> 00:03:45.760]  根本不可能
