
[00:00:00.000 --> 00:00:03.720]  是的 很多信徒都跟我說
[00:00:03.720 --> 00:00:07.900]  今天的題目 傳道人是幹什麼的
[00:00:07.900 --> 00:00:09.900]  是一個很吸引的題目
[00:00:09.900 --> 00:00:15.540]  因為在他們的眼中 傳道人做什麼是一個奧秘
[00:00:15.540 --> 00:00:17.220]  不知道他們在做什麼
[00:00:17.220 --> 00:00:21.440]  記得有一位信徒最近跟我說
[00:00:21.440 --> 00:00:28.700]  他說 牧師我前幾天去教會的辦公室參觀
[00:00:28.700 --> 00:00:32.820]  我覺得我見到教會同工坐在辦公室裏面
[00:00:32.820 --> 00:00:36.880]  很有趣 他們是聚精會神
[00:00:36.880 --> 00:00:42.800]  很有目的 很勤奮地去做事
[00:00:42.800 --> 00:00:45.080]  他們是做得很喜樂的
[00:00:45.080 --> 00:00:48.220]  但他們桌上不是很多東西放在那裏
[00:00:48.220 --> 00:00:50.020]  不是很多文件
[00:00:50.020 --> 00:00:54.560]  究竟傳道人是做什麼的呢
[00:00:54.560 --> 00:00:56.320]  我只懂得回答一句
[00:00:56.320 --> 00:00:59.280]  我們是做事的
[00:00:59.280 --> 00:01:03.680]  我記得有位姊妹跟我說
[00:01:03.680 --> 00:01:06.520]  她說有一天她老公煮飯
[00:01:06.520 --> 00:01:10.480]  家裏自告奮勇煮飯給太太吃
[00:01:10.480 --> 00:01:16.000]  那些沙煲午餐就鋪滿整個廚房 鋪在廳裏
[00:01:16.000 --> 00:01:19.580]  但煮來煮去都沒有飯出來
[00:01:19.580 --> 00:01:25.600]  只見到生肉 就不見到米熟
[00:01:25.600 --> 00:01:27.600]  我們傳道人就不是這樣的
[00:01:27.600 --> 00:01:30.640]  我們每樣都熟悉
[00:01:30.640 --> 00:01:33.920]  那你就說 穆斯究竟你做什麼的
[00:01:33.920 --> 00:01:38.700]  我看你那張書桌都不是放很多東西在那裏
[00:01:38.700 --> 00:01:43.280]  你有兩個辦法可以知道我做什麼
[00:01:43.280 --> 00:01:45.120]  你考慮一下哪個好用
[00:01:45.120 --> 00:01:48.060]  第一 你告一天假
[00:01:48.060 --> 00:01:51.880]  你來到我辦公室 坐在我對面的椅子裏
[00:01:51.880 --> 00:01:54.960]  不要出聲 整天坐在那裏
[00:01:54.960 --> 00:01:57.960]  我去打電話 你就聽著
[00:01:57.960 --> 00:02:00.580]  我出去拿杯咖啡 你就拿一杯
[00:02:00.580 --> 00:02:05.520]  我去買罐可樂 你就跟著我去買罐
[00:02:05.520 --> 00:02:08.280]  我預備講道 你就看著我
[00:02:08.280 --> 00:02:12.680]  我去醫院探訪 你就跟著來 幫我戴上口罩
[00:02:12.680 --> 00:02:15.760]  到了晚上 你就會有一個體驗
[00:02:15.760 --> 00:02:19.120]  原來羅穆斯是做這樣的事
[00:02:19.120 --> 00:02:22.120]  你會覺得很悶
[00:02:22.120 --> 00:02:24.120]  第二個方法就簡單一點
[00:02:24.120 --> 00:02:26.120]  你現在就睜大隻耳朵
[00:02:26.120 --> 00:02:28.120]  在接下來的半個小時裏面
[00:02:28.120 --> 00:02:32.520]  認認真真地聽我講解
[00:02:32.520 --> 00:02:38.200]  講解哥倫多 哥羅西書第一章十四節
[00:02:38.200 --> 00:02:40.700]  二十二十四節到第二章七節
[00:02:40.700 --> 00:02:44.720]  那裏是保羅 史道保羅講他自己
[00:02:44.720 --> 00:02:47.940]  他自己做一個傳道人 他做些什麼
[00:02:47.940 --> 00:02:51.680]  我發現保羅做的事跟我做的事一模一樣
[00:02:51.680 --> 00:02:52.960]  你是不是很奇妙
[00:02:52.960 --> 00:02:55.500]  我做的是同樣的事 不過他做的好一點
[00:02:55.500 --> 00:02:58.240]  我做的沒有他的效果
[00:02:58.240 --> 00:03:01.160]  所以如果你聽到保羅做些什麼
[00:03:01.160 --> 00:03:04.360]  你都知道羅穆斯做些什麼
[00:03:04.360 --> 00:03:09.560]  其他的教睦同工都是跟我做同樣的事
[00:03:09.560 --> 00:03:15.760]  不單止這樣 這段經文對你都很有提示
[00:03:15.760 --> 00:03:19.880]  因為這段經文說到你都是做同樣的事
[00:03:19.880 --> 00:03:23.600]  我不是傳道人來的
[00:03:23.600 --> 00:03:27.520]  其實你是的 在上帝的眼中你是傳道人
[00:03:27.520 --> 00:03:31.160]  有白紙黑字 我可以給大家看到
[00:03:31.160 --> 00:03:36.400]  彼得前書第二章第九節
[00:03:36.400 --> 00:03:38.560]  那裏說 唯有你們
[00:03:38.560 --> 00:03:40.800]  你們就是指所有的基督徒
[00:03:40.800 --> 00:03:45.360]  是被揀選的族類 是君尊的祭司
[00:03:45.360 --> 00:03:48.960]  即是在上帝的眼中 你有君王的身份
[00:03:48.960 --> 00:03:53.520]  有祭司的身份 祭司就開始做傳道人
[00:03:53.520 --> 00:03:56.440]  在聖基督的國度 是屬神的子民
[00:03:56.440 --> 00:03:59.600]  要叫你們去宣揚耶穌基督
[00:03:59.600 --> 00:04:02.840]  就是宣揚那位照你們出黑暗
[00:04:02.840 --> 00:04:07.880]  入奇妙光明的耶穌基督 他的美德
[00:04:07.880 --> 00:04:10.360]  你說你是不是傳道人呢
[00:04:10.360 --> 00:04:11.880]  所以今天我所說的
[00:04:11.880 --> 00:04:15.080]  不單止是告訴你知道傳道人做些什麼
[00:04:15.080 --> 00:04:20.200]  我們也說你究竟是一個蒙上帝揀選的基督徒
[00:04:20.200 --> 00:04:24.360]  你也是一個傳道人 你應該做些什麼
[00:04:24.360 --> 00:04:28.280]  所以今天對我們大家都很有幫助
[00:04:28.280 --> 00:04:30.200]  我們看看保羅做些什麼
[00:04:30.200 --> 00:04:33.440]  這段經文提到保羅做了四件事
[00:04:33.440 --> 00:04:37.400]  一個傳道人 這四件事都是我做 都是你做
[00:04:37.400 --> 00:04:43.080]  第一件事就是在第一章第二十四節
