
[00:00:00.000 --> 00:00:02.000]  我哋一齊祈禱
[00:00:02.000 --> 00:00:04.740]  大嘅上帝呀
[00:00:04.740 --> 00:00:06.300]  所以當佢
[00:00:06.300 --> 00:00:07.900]  親愛天父我哋多謝你
[00:00:07.900 --> 00:00:09.900]  俾我哋能夠有呢段時間
[00:00:09.900 --> 00:00:11.900]  去默想
[00:00:11.900 --> 00:00:13.900]  去聆聽主嘅道
[00:00:13.900 --> 00:00:19.020]  我哋好需要聖靈喺我哋眾人心裏面嘅工作
[00:00:19.020 --> 00:00:22.140]  我哋先能夠明白
[00:00:22.140 --> 00:00:24.140]  主真道嘅意思
[00:00:24.140 --> 00:00:27.740]  先心被恩感
[00:00:27.740 --> 00:00:29.740]  去渴慕
[00:00:29.740 --> 00:00:31.740]  去遵行主嘅道
[00:00:31.740 --> 00:00:34.740]  倘若唔係你聖靈嘅工作嘅時候
[00:00:34.740 --> 00:00:36.740]  人聽咗道
[00:00:36.740 --> 00:00:38.740]  左耳入右耳出
[00:00:38.740 --> 00:00:41.740]  對我哋唔單止冇好處
[00:00:41.740 --> 00:00:43.740]  並且神嘅話語
[00:00:43.740 --> 00:00:45.740]  就成為我哋嘅絆腳石
[00:00:45.740 --> 00:00:49.740]  但係同時我哋都知道
[00:00:49.740 --> 00:00:51.740]  當我哋聽到行道嘅時候
[00:00:51.740 --> 00:00:53.740]  上帝就祝福
[00:00:53.740 --> 00:00:55.740]  凡係行道嘅人
[00:00:55.740 --> 00:00:57.740]  將一切嘅福氣
[00:00:57.740 --> 00:00:59.740]  一切我哋所需求嘅
[00:00:59.740 --> 00:01:01.740]  你都賜予畀我哋
[00:01:01.740 --> 00:01:03.740]  呢個係你自己嘅應許
[00:01:03.740 --> 00:01:05.740]  所以我哋懇求主
[00:01:05.740 --> 00:01:07.740]  自己俾我哋眾人有謙卑嘅心
[00:01:07.740 --> 00:01:09.740]  領受主嘅道
[00:01:09.740 --> 00:01:11.740]  奉主耶穌名求
[00:01:11.740 --> 00:01:13.740]  Amen
[00:01:13.740 --> 00:01:18.740]  傳道書第三章嗰度講到
[00:01:18.740 --> 00:01:21.740]  佢話凡事都有定期
[00:01:21.740 --> 00:01:25.740]  萬物都有定時
[00:01:25.740 --> 00:01:27.740]  生有時
[00:01:27.740 --> 00:01:30.740]  死有時
[00:01:30.740 --> 00:01:32.740]  災中有時
[00:01:32.740 --> 00:01:34.740]  拔出嚟災中亦都有時
[00:01:34.740 --> 00:01:36.740]  殺戮有時
[00:01:36.740 --> 00:01:38.740]  醫治有時
[00:01:38.740 --> 00:01:39.740]  拆毀有時
[00:01:39.740 --> 00:01:41.740]  建造有時
[00:01:41.740 --> 00:01:43.740]  哭有時
[00:01:43.740 --> 00:01:45.740]  笑有時
[00:01:45.740 --> 00:01:47.740]  哀動有時
[00:01:47.740 --> 00:01:49.740]  跳舞亦都有時
[00:01:49.740 --> 00:01:51.740]  拋擲石頭有時
[00:01:51.740 --> 00:01:53.740]  堆砌石頭有時
[00:01:53.740 --> 00:01:56.740]  懷抱嘅時候有時
[00:01:56.740 --> 00:01:58.740]  唔再懷抱嘅時候有時
[00:01:58.740 --> 00:02:00.740]  尋找有時
[00:02:00.740 --> 00:02:01.740]  失落嘅有時
[00:02:01.740 --> 00:02:03.740]  保守嘅有時
[00:02:03.740 --> 00:02:05.740]  捨棄嘅有時
[00:02:05.740 --> 00:02:06.740]  撕裂嘅有時
[00:02:06.740 --> 00:02:08.740]  縫補嘅有時
[00:02:08.740 --> 00:02:11.740]  靜默嘅有時
[00:02:11.740 --> 00:02:14.740]  講說話亦都有時
[00:02:14.740 --> 00:02:16.740]  喜愛有時
