
[00:00:00.000 --> 00:00:02.960]  今天講到的題目
[00:00:02.960 --> 00:00:05.240]  是在我們基督教裡面
[00:00:05.240 --> 00:00:07.540]  都很熟悉的一個話題
[00:00:07.540 --> 00:00:09.200]  也經常講的
[00:00:09.200 --> 00:00:13.020]  但是經常講是不是代表我們也很清楚呢?
[00:00:13.020 --> 00:00:13.940]  又未必
[00:00:13.940 --> 00:00:17.280]  所以還是要再講一講
[00:00:17.280 --> 00:00:18.520]  適當的時間
[00:00:18.520 --> 00:00:19.620]  題目是
[00:00:19.620 --> 00:00:21.820]  "試煉與患難"
[00:00:21.820 --> 00:00:23.680]  用的經文主要是在
[00:00:23.680 --> 00:00:27.520]  《客服書》的一章一至十五節
[00:00:27.520 --> 00:00:29.640]  十五節的經文
[00:00:29.640 --> 00:00:31.640]  剛剛一個好的段落
[00:00:31.640 --> 00:00:34.720]  大家讀的時候也熟悉了
[00:00:34.720 --> 00:00:36.720]  講這個試探
[00:00:36.720 --> 00:00:38.160]  這個試探
[00:00:38.160 --> 00:00:39.960]  講的時候有時候
[00:00:39.960 --> 00:00:44.080]  到差不多的時候又說試驗、試煉
[00:00:44.080 --> 00:00:46.300]  特別到了第二節那一段
[00:00:46.300 --> 00:00:48.400]  第二節開始的時候
[00:00:48.400 --> 00:00:51.360]  你們落在百般的試煉中
[00:00:51.360 --> 00:00:52.780]  大家讀下去的時候
[00:00:52.780 --> 00:00:55.120]  到了十三節又說人被試探
[00:00:55.120 --> 00:00:59.120]  《中文和學本》是有一些心思的
[00:00:59.120 --> 00:01:04.440]  將文字譯作試煉或者試探
[00:01:04.440 --> 00:01:06.460]  但是我們研究《聖經》的人
[00:01:06.460 --> 00:01:08.280]  看多不同的譯本
[00:01:08.280 --> 00:01:10.040]  特別是原文的時候就發現
[00:01:10.040 --> 00:01:10.640]  咦?
[00:01:10.640 --> 00:01:11.880]  在原文裡面
[00:01:11.880 --> 00:01:14.420]  這個所謂試煉、試探
[00:01:14.420 --> 00:01:15.960]  是同一個字來的
[00:01:15.960 --> 00:01:17.960]  為什麼翻譯了做不同呢?
[00:01:17.960 --> 00:01:18.760]  當然了
[00:01:18.760 --> 00:01:21.240]  翻譯《聖經》的人有他自己一些的意思
[00:01:21.240 --> 00:01:22.720]  想帶出來
[00:01:22.720 --> 00:01:23.800]  但是呢
[00:01:23.800 --> 00:01:25.880]  在原文裡面同一個字
[00:01:25.880 --> 00:01:27.640]  也是有它的重要性
[00:01:27.640 --> 00:01:30.460]  我們要用這個角度去想一想
[00:01:30.460 --> 00:01:31.960]  為什麼會是同一個字呢?
[00:01:31.960 --> 00:01:34.220]  試煉我們傳統是說
[00:01:34.220 --> 00:01:39.400]  試煉沒有什麼惡念
[00:01:39.400 --> 00:01:42.120]  沒有什麼古惑在當中
[00:01:42.120 --> 00:01:44.400]  但是試探就不是了
[00:01:44.400 --> 00:01:47.300]  試探本質是有些問題
[00:01:47.300 --> 00:01:49.180]  想你跌倒犯罪
[00:01:49.180 --> 00:01:50.680]  用這樣來分辨的
[00:01:50.680 --> 00:01:53.920]  但是我們試一下用原文同一個字
[00:01:53.920 --> 00:01:54.960]  來看的時候
[00:01:54.960 --> 00:01:57.280]  我們首先不將它來分辨
[00:01:57.680 --> 00:01:59.640]  好或壞
[00:01:59.640 --> 00:02:01.280]  總之這個字出現的時候
[00:02:01.280 --> 00:02:04.480]  就是一個這樣的試驗
[00:02:04.480 --> 00:02:05.720]  明白嗎?
[00:02:05.720 --> 00:02:06.680]  中性的
[00:02:06.680 --> 00:02:11.360]  未曾出現善意或者惡意
[00:02:11.360 --> 00:02:12.760]  我們先不去分辨
[00:02:12.760 --> 00:02:13.880]  這樣來看
[00:02:13.880 --> 00:02:14.480]  好了
[00:02:14.480 --> 00:02:18.880]  第一節就是一個問候的句子
[00:02:18.880 --> 00:02:21.400]  到第二節就開始真正的內容了
[00:02:21.400 --> 00:02:27.320]  很多的譯本都是按中文行文的暢順來譯的
[00:02:27.320 --> 00:02:28.400]  例如我們的弟兄
[00:02:28.400 --> 00:02:30.880]  你們落在百般的試煉中
[00:02:30.880 --> 00:02:32.640]  都要以為大喜樂
[00:02:32.640 --> 00:02:35.160]  但是這一節的經文
[00:02:35.160 --> 00:02:38.720]  我之前在講道的時候也有提過
[00:02:38.720 --> 00:02:41.720]  但是我覺得不厭其煩再提幾次也沒有問題的
[00:02:41.720 --> 00:02:44.400]  特別是大家讀聖經讀完一次兩次之後
[00:02:44.400 --> 00:02:45.880]  就覺得讀了很多了
[00:02:45.880 --> 00:02:47.440]  你多看一些不同的譯本
[00:02:47.440 --> 00:02:51.200]  又嘗試翻查一些原文的翻譯
[00:02:51.200 --> 00:02:52.080]  來研究
[00:02:52.080 --> 00:02:53.120]  你就會發現
[00:02:53.440 --> 00:02:58.720]  那個句子的字的鋪排前後
[00:02:58.720 --> 00:03:01.840]  是不同中文的前後的
[00:03:01.840 --> 00:03:03.320]  上次我講過了
[00:03:03.320 --> 00:03:06.280]  在希臘文有一個很特別的特色
[00:03:06.280 --> 00:03:09.560]  就是你那些句子裡面的主詞
[00:03:09.560 --> 00:03:11.600]  那些動詞
[00:03:11.600 --> 00:03:13.240]  那些授詞
[00:03:13.240 --> 00:03:14.720]  甚至乎應用詞
[00:03:14.720 --> 00:03:16.560]  你可以把它大兜亂
[00:03:16.560 --> 00:03:18.760]  文法上也是通的
[00:03:18.760 --> 00:03:20.200]  不可以說你錯
[00:03:20.200 --> 00:03:22.200]  為什麼可以這樣呢?
[00:03:22.600 --> 00:03:25.320]  就是相等於其實我們有時候說話
