
[00:00:00.000 --> 00:00:04.000]  好 我們很光榮看到大家在現場和大家一起去崇拜
[00:00:04.000 --> 00:00:07.000]  亦都是網上在芝加哥以外的地區 我們歡迎你
[00:00:07.000 --> 00:00:14.000]  我們繼續我們講到的series就是講中末論和啟示錄
[00:00:14.000 --> 00:00:17.000]  講到中末論的時候 我們講到一些必要性的東西
[00:00:17.000 --> 00:00:19.000]  不是一些想聽的東西
[00:00:19.000 --> 00:00:25.000]  為什麼呢 好像剛才麗仙所分享的一些事項
[00:00:25.000 --> 00:00:29.000]  這些都不是我們希望 願意 或者想聽的東西
[00:00:29.000 --> 00:00:32.000]  這些不是我們want to hear的東西
[00:00:32.000 --> 00:00:35.000]  但是中末的東西呢 聖經裡面 我不知道有沒有想過
[00:00:35.000 --> 00:00:37.000]  其實大部分聖經裡面的東西
[00:00:37.000 --> 00:00:41.000]  都是一些不是我們想聽的東西
[00:00:41.000 --> 00:00:45.000]  但是我們必須要聽的東西 是吧
[00:00:45.000 --> 00:00:50.000]  大家認識我的話 你知道我一向睡覺都有問題
[00:00:50.000 --> 00:00:53.000]  我不是睡著沒有問題
[00:00:53.000 --> 00:00:56.000]  但是睡了之後我會醒的 那個是問題 是不是
[00:00:56.000 --> 00:01:00.000]  我睡兩個小時 兩個小時鬆一點我又會醒 然後又睡不著 是不是
[00:01:00.000 --> 00:01:06.000]  所以我掙扎了這個問題也挺久
[00:01:06.000 --> 00:01:10.000]  結果上次我看醫生的時候 我就和醫生講
[00:01:10.000 --> 00:01:13.000]  我有些這樣的問題 他見我其實check過之後
[00:01:13.000 --> 00:01:17.000]  他覺得你都很健康ok 好像沒有什麼了 是不是
[00:01:17.000 --> 00:01:21.000]  我就說不是 其實我有一個問題 我在struggle
[00:01:21.000 --> 00:01:27.000]  我發現如果我再年輕一點的時候 我就ok的
[00:01:27.000 --> 00:01:31.000]  因為年輕一點好像橙那樣 可以抓一些橙汁
[00:01:31.000 --> 00:01:33.000]  還有幾滴出來 是不是
[00:01:33.000 --> 00:01:36.000]  現在年紀開始大了 就發現不行了
[00:01:36.000 --> 00:01:39.000]  我要好好保養我自己 是不是
[00:01:39.000 --> 00:01:41.000]  所以我就和醫生講
[00:01:41.000 --> 00:01:44.000]  喂 這樣搞法不行 我會很快死的
[00:01:44.000 --> 00:01:47.000]  我真的這樣和他說
[00:01:47.000 --> 00:01:51.000]  因為你知道美國醫生一定要和他說大劑他才聽到
[00:01:51.000 --> 00:01:55.000]  結果他就說 不如這樣吧
[00:01:55.000 --> 00:01:58.000]  我試過有些病人開過一種藥給他
[00:01:58.000 --> 00:02:01.000]  是work的 不addictive的
[00:02:01.000 --> 00:02:05.000]  他問我試不試 我說試試看
[00:02:05.000 --> 00:02:07.000]  結果他就開了給我
[00:02:07.000 --> 00:02:10.000]  我就試了幾天之後我就習慣了
[00:02:10.000 --> 00:02:13.000]  我覺得是ok的
[00:02:13.000 --> 00:02:18.000]  起碼我可以睡到五個小時六個小時鬆一點
[00:02:18.000 --> 00:02:20.000]  連續這樣睡
[00:02:20.000 --> 00:02:24.000]  所以我就和他說 和他解釋了之後
[00:02:24.000 --> 00:02:26.000]  他就開了一些藥給我
